gloss,spoken,label,model/niasl-g2t,model/k3-g2t,model/k13-g2t,model/13k3k-g2t,model/my-g2t,model/niasltg-t2g,model/k3tg-t2g,model/k13tg-t2g,model/13k3ktg-t2g,model/mytg-t2g
괜찮다 OK 좋다 ., 좋아요.,0,"안전안내. 오늘 OK, OK, OK",괜찮으세요?,괜찮아.,괜찮아 .,괜찮아 괜찮아.,햇빛 .,좋다,좋다,좋다,좋다 . .
휴대폰 번호 무엇 ?, 휴대폰 번호가 어떻게 되나요?,1,금일 10:00경 휴대폰 번호 변경되었습니다.,휴대폰 번호입니다.,휴대폰 번호입니다.,휴대폰 번호 어디에 있습니까?,휴대폰 번호 번호 뭐에요?,휴대폰 번 호 19 .,핸드폰 번호 무엇,핸드폰 번호 무엇,핸드폰 번호 무엇,휴대폰 번호 어떻게 되다 ?
나 휴대폰 번호 010-2456-2642 ., 내 휴대폰 번호는 010-2456-2642입니다.,0,010-2456-2642,휴대폰 번호 010-2456-2642 .,휴대폰 번호입니다.,휴대폰 번호입니다.,나의 휴대폰 번호 010-2456-2642.,전화 번호 번호 010 2456 2642 왜 내 휴대폰 번호는 010 - 2562 .,핸드폰 번호 010-2456-262,핸드폰 번호 010-2456-2642,핸드폰 번호 010-2456-2642,내 휴대폰 번호 010-2456-2642 .
앞으로 자주 문자메시지를 주고받다 연락하다 OK ., 앞으로 자주 연락 나눠요.,0,앞으로 자주톡을 중심으로 많은 연락을 주고받겠습니다.,앞으로 자주문자를 주고받자,앞으로 자주문자를 주고받자,앞으로 자주문자를 주고받자,앞으로 자주 문자메시지를 주고받으면서 연락하자.,앞으로 만나 연락 기다리다 앞으로 목록 알려주다 .,미래 연락 연락 필요,미래 연락 연락,미래 연락 연락,미래 자주 연락 나누다 .
당신 1살 위 ., 저보다 한 살 더 많으시네요.,0,[한국도발도빌트] 1살 위인 황당무계한 이야기꾼들을 잡아주시기 바랍니다.,당신입니다.살아있습니다.,당신보다 1살 위이다,당신보다 가장 위입니다.,당신보다살이가 더 위야,글 평균다 살다 계시다  저보다 몇 살 많다 .,나 보다 한 살 많다,저 -보다 살 더 많다,저 -보다 살 더 많다,저 한 살 많다 .
나 2살 아래 ., 제가 두 살 더 적습니다.,0,나이는 2살 아래입니다.,나 2살 아래입니다.,나보다 살이 아래야,나 2살 아래야,나는 2살 아래야,글 두두 살 더 적다  제가 두 살 더 적다 .,나 두 두 살 더 적다,저 두보다 두 살 더 적다,나 지금보다 키크다,나 두 살 적다 .
그 신발 돈 얼마 ?, 그 신발은 얼마입니까?,1,금일 신발 고리가 조금 풀려 신발 고리가 조금 풀려 있습니다.,얼마인가요?,얼마예요?,그 신발금은 얼마인가요?,그 신발 신발은 얼마에요?,신발 얼마 무엇 무엇  그물 그치다 무엇 .,신발  얼마,신  얼마,신  얼마,그 신발 얼마 ?
4만 5천 ., 4만 5천원입니다.,0,4만 5천의 하늘이 내려준 산입니다.,4만 5천입니다.,4만 5천입니다.,4만 5천입니다.,4만 5천은 안돼,글  5천 5백 원 .,돈 마사지  4만 5천원,오천원,오천원,4만 5천원 .
같다 전공 친구 ., 같은 과 친구예요.,0,전공 관련 같아도 전공 친구는 없습니다.,같은 전공 전공 친구 .,같은 전공에 있니?,같은 대학에 전공 친구야,같은 전공 친구야.,과 친구 같다 .,다르다 친구,과 친구다,과 친구 같다, 같다 과 친구 .
당신 전공 무엇 ?, 전공이 무엇인가요?,1,[김도훈 조달청장],어떤거요?,당신의 전공은 무엇입니까?,당신의 전공은 뭐야,당신의 전공은 무엇인가요?,전공 무엇 무엇 북쪽 지도 무엇 .,전공 무엇 무엇,전공 무엇 무엇,전공 무엇 무엇,전공 무엇다 ?
나 전공 무엇 수화 통역 ., 나는 수화통역을 전공하고 있습니다.,0,금일 전공과 관련 수화통역학을 공부하였습니다.,어떤 전공 전공으로 가나요?,나는 전공전공을 수화통역이라서 많이 통역했다,나는 전공 수화 통역사를 한다,나는 전공의 무엇에 대해 통역한다.,북쪽 수화통역 전공 .,나 화  통역 전공,수화  통역  전공  중,수화  통역  전공  중,나 수화 통역 전공 있다 .
가족 소개 주세요 ., 가족 소개를 해 주세요.,0,가족관계 통합서비스 제공.,가족을 소개주세요.,가족 소개 소개 주세요.,가족 소개 소개 주세요.,가족 소개 소개해주세요.,가족 가족개를 부탁 글 붙이다 가족 .,가족 개석 해 주세요,가족 소개 소개 부탁,가족 소개 소개,가족 소개 소개 주다 .
나 가족 부모님 오빠 나 4 사람 ., 우리 가족은 부모님 오빠 나 모두 4명입니다.,0,"[중령군청] 가족·지인·지인(가족, 가족, 지인) 4명(가족, 가족, 가족) 사적모임 금지 및 대화자제 바랍니다.",우리 가족 부모님은 모두 4명이고 나는 4명이다,우리 가족 부모는 자식들과 자식들 모두 4남 4녀를 책임졌다,우리 가족 부모님과 자식들은 모두 4명이다,"나의 가족은 부모님과 오빠, 그리고 자식들 모두다.",우리 가족 부모님 오빠 나 모두 4 자녀 자녀 모두 모이다 늙다 부모님 오빠 .,나 부모님 부모님 오빠 나 모두 4사람,나 가족 부모님 오빠 나 모두 4,나 가족 부모님 오빠 나 4,우리 가족 부모님 오빠 나 모두 4이다 .
나 가족 조부모님 부모님 누나 나 남동생 7사람 ., 우리 가족은 할아버지 할머니 부모님 누나 나 남동생 모두 7명입니다.,0,가족 모두부모님(장남식 부모님)과 누나(남동생 남동생 7명)입니다.,우리 가족 조부모님과 남동생이 7명입니다.,우리 가족 조부모님과 남동생이 7명이었다,"우리 가족 조부모님과 누나, 남동생 모두가 7사람이다","우리 가족 조부모님 부모님과 누나, 그리고 남동생 7명이다.",우리 가족 할아버지 할머니 부모님 누나 나 남동생 모두 7 가족 친척 .,할아버지 부모님 손자 남동생 모두 7명,나 가족 할아버지 할머니 집 누나 나 남동생 모두 7,할아버지 할머니 집 누나 나 남동생 모두 7,우리 가족 할아버지 할머니 부모님 누나 남동생 모두 7명 .
가족 많다 부럽다 ., 가족이 많아 부럽군요.,0,수도권 주택도 부럽지 않습니다. 가족간에도 정이 많이 오세요.,가족이 많은럽다,가족이 많아서 부럽다,가족들이 부럽다,가족들이 많아져서 부럽다,가족 많다 부럽다 글 글 가족 많다 .,가족 많다 부럽다,가족 많다 부럽다,가족 많다 부럽다,가족 많 부럽다 .
나 전공 사회 행복 ., 내 전공은 사회복지입니다.,0,[나특별자치도청]  사회적 약자 배려로 행복더하기,전공 사회 행복하다,우리 전공은 행복하다,우리 전공은 행복하다,나는 전공 사회에서 행복해.,내 전공 전공은 사회복지 .,사회복지 전공,내 전공 전공 사회복지,내 전공 전공 무엇,내 전공 사회복지 .
나 특별 교육 공부 ., 내 전공은 특수교육입니다.,0,[중특별자치도청] 특별자치도교육 공부방(경기도청) 운영.,나 특별 교육 공부하기,나는 특별에 공부하고 있다,나는 특별에 공부하고 있다,나는 특별 교육 공부야.,북쪽 특수 전공 특수교육 .,특수교육  내 전공  특수교육  방법,내 전공 학교 공부,내 전공 특수 교육,내 전공 특수교육 .
저 사람 같다 전공 선배 ., 저분은 같은 과 선배입니다.,0,[상라북도청] 저자니아 옴니버스 첫차 모델이 부상을 입어 화제가 되고 있습니다. 전공과목을 함께 하시기 바랍니다.,저 사람 사람이 나와서 물어봐,저는 저 선배와 같은 전공 선배입니다.,저 사람 같다,저는 사람 선배야.,과 선배 같다 선배 .,나  같은 과 선배,저기 과 과 선배,저분 선배 같다,그분 같다 과 선배 .
저 사람 동아리 동기 ., 저 사람은 동아리 동기입니다.,0,저널리 저수지 물고기 잡으러 다니시기 바랍니다.,저 사람 동아리 동기입니다.,저 사람 동아리 동기해,저 사람 동아리 동기해,저 사람 동아리 동기야.,동아리 동기 크다 운동 단체 지도 .,저 사람 사람 동아리 동기,사람 동아리 동기,사람 동아리 동기,그 사람 동아리 동기 .
당신 결혼 끝 ?, 당신은 결혼을 했습니까?,1,결혼식은도리 옴.,당신 결혼 결혼했어요?,당신은 결혼 끝내고 결혼했어,당신은 결혼을 끝내고 결혼했습니까?,당신과 결혼했어?,글로스미상 결혼 몇번째 장소 .,당신 결혼 했습니다,결혼,결혼,당신 결혼 하다 ?
아니오 . 결혼 아직 ., 아니오. 아직 안 했습니다.,0,결혼식이 미혼모인 줄 알았습니다.,결혼은 아직 안 했어요.,결혼은 아직 안 했나요?,결혼이 아직 안 했나요?,결혼은 아직 안 했나요?,아직 안다 안 했습니다.,아직 안다,아직,아니다 아직다 아직,아직 안 하다 .
나 태어나다 곳 부산 ., 내 고향은 부산입니다.,0,[부산광역시청]  타지역(부산광역시)에서도 타지역과 같은 이유로 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는 타지역 시민들께서는,나는 태어나의 고향이 부산이다,내가 태어나던 장소는 부산역이었다,내가 태어나기에 가장 가까운 곳이 부산이다,내가 태어나 곳은 부산입니다.,고향 부산 부산 .,고향 부산 부산,내 고향  곳  부산,내 고향  곳  부산,내 고향 고향 부산 .
부모님 태어나다 곳 부산 같다 ?, 부모님 고향도 부산입니까?,1,[부산광역시청] 부모님 고향이 부산광역시입니다.,부모님이 태어난 곳이 부산인가 ?,고향이 부산이 같아,고향은 부산이 같아,부모님이 태어난 곳이 부산인가요?,부모님 고향 장소 부산 동쪽 지도 부산 .,부모님 고향 곳,부모님 고향 곳  부산,부모님 고향 곳  부산,부모님 고향 부산 ?
아니오 . 아버지 대구 어머니 부산 ., 아니오. 아버지 고향은 대구이고 어머니 고향은 부산입니다.,0,"[대구특별자치도청] 아버지 대구광역시(동구, 부산진구)군 군민들께서는 군민들께서는 별도의 행동을 하실 필요가 없음을 알려드립니다.",아버지는 대구의 어머니산을 가셨다,"아버지는 대구구에 있었고, 어머니는 부산에 있다",아버지는 대구에 있었고 어머니는 부산에 있습니다,"아버지는 대구의 어머니, 어머니는 부산의 어머니다.",아버지 고향 대구 어머니 고향 부산 .,아버지 고향 곳,아버지 고향 곳 대구,아버지 고향 곳 대구,아버지 고향 대구 고향 부산이다 .
나 태어나다 곳 천안 ., 내 고향은 천안입니다.,0,[천안시청] 천안천은 원래 태어나지 않은 곳입니다.,나는 태어나의 고향이 천안입니다.,내가 태어나하는 장소는 천안 .,내가 태어나기에 가장 가까운 곳이 천안 .,내가 태어난 곳은 천안이야,고향 천안 천안 .,고향 천안 천안,내 고향 천안,내 고향은 천안,내 고향 천안 .
나 태어나다 곳 천안 호두 과자 유명하다 ., 내 고향 천안은 호두과자가 유명합니다.,0,천안 호두 과자가 유명합니다. 그 중 하나로 천안 호두 과자가 유명합니다.,나는 태어나다닌 천안 호두과자가 유명하다,나는 고향에 호두과자가 유명하다,나는 고향에 호두를 가지고 있다,나는 태어나의 호두 과자가 유명하다.,내 고향 천안 안 호두과자 유명하다 .,나 고향 천안 호두과자 유명하다,천지 모두 호두과자 유명하다,천지 모두 호두과자 유명하다,내 고향 천안 호두과자 유명하다 .
춘천 닭 갈비 유명하다 전주 비빔밥 유명하다 ., 춘천에는 닭갈비가 유명하고 전주는 비빔밥이 유명합니다.,0,"춘천 닭갈비 유명, 전주비빔밥 유명하세요.",춘천 닭 갈비 유명하다,춘천은 닭이 유명하다,춘천은 치킨이 유명하다,춘천은 닭 갈비가 유명하다.,춘천 춘천 닭갈비 유명하다 전주 비빔밥 유명하다 .,춘천 닭 닭갈비 유명하다 전주 비빔밥 유명,춘천 닭 닭갈비 유명하다,춘천 닭 닭갈비 유명하다,춘천 닭갈비 유명하다 전주 비빔밥 유명하다 .
우리 둘 함께 전국 맛있다 음식 찾다 여행 출발 어때 ?, 우리 함께 전국의 맛있는 음식을 찾아 여행을 떠날까요?,1,우리지역에 전라도에서 나는 향긋한 음식으로 여행 출발을 알립니다.,우리 둘이 함께 맛있는 음식을 찾으러 여행갔어,우리 함께 함께 맛있는 음식을 찾았어,우리 함께 함께 맛있는 음식을 찾아 여행 출발해봅시다,우리 둘이 함께 전국의 맛있는 음식을 찾아 여행 출발 어때요?,우리 함께 맛있는 장소 여행 무엇 어디 전국 글 글 글 여행 .,나  맛있는  곳  가다  방법,나  음식  찾다  여행  어디,나  음식  찾다  여행 가다,우리 지역 맛있다 음식 찾다 여행 가다 ?
보성 방문 경험 ?, 보성에 가본 적 있나요?,1,보성군 현재. 주민들께서는 보성방문 전 설문지를 참고하시기 바랍니다.,보성 방문 경험 ?,보성에 방문했어요.,보성 방문 경험이 있나요?,보성 방문 경험이 있나요?,보성 가본 적 있나요?,보성에 가다 전하다,보성 가다 적 있다,보성 가다 적 있다,보성 가다 경험 있다 ?
녹차밭 예쁘다 ., 녹차 밭이 무척 예뻤어요.,0,녹차밭이 예쁘지 않던 시절이 있었다.,녹차가밭이 예쁘다,녹차가밭이 예쁘다,녹차가이 예쁘다,녹차밭이 너무 예쁘다.,녹차 밭 예뻤다 장소 지시 .,차 다  아름답다  곳,녹차 밭 예쁘다,녹차 밭 너무 예쁘다,녹차 밭 예쁘다 .
당신 미국 방문 경험 ?, 미국에 가본 적 있어요?,1,[한국도널드 트럼프 미국대통령] 방문 중 경험담이 공개되오니 참고하시기 바랍니다.,당신은 미국 방문 경험 ?,당신은 미국에 방문 경험이 있나요?,당신은 미국에 방문 경험이 있나요?,당신은 미국 방문 경험이 있나요?,미국 가 가본 적 있어요?,미국 가다다 가다 적 있다,미국 가다,미국 가다본 적 있다,미국 가다 경험 있다 ?
그러나 1 방문 원하다 ., 하지만 꼭 한번 가보고 싶어요.,0,[행정특별시청] 1세대 1인 코로나19. 현재 거주지 행정복지센터 방문을 원하오니 참고하시기 바랍니다.,1박 방문하고 싶어,1을 방문하고 싶다,1로 방문하고 싶다,그러나 1 방문하고 싶어.,꼭 한번 한번 가보고 싶다 글 글 .,가방  하지만 꼭 한번,그렇지만  한번 가다보다 원하다,그렇지만  한번 가다 보다 원하다,그렇지만 꼭 한번 가다 싶다 .
좋다 음식 무엇 ?, 좋아하는 음식이 무엇인가요?,1,오늘 좋다안 좋다음료수가 좋다음료수가 8종류입니다.,좋은 음식은 어디에 있나요?,좋은 음식 뭐 있어?,좋은 음식은 뭐야,가장 좋은 음식은 뭐에요?,글 글다  글쎄 .,좋아하는 음 무엇,좋아하는 음식 무엇,좋아하는 음식 무엇,좋다 음식 무엇 ?
나 비빔밥 좋다 ., 나는 비빔밥을 좋아해요.,0,오늘 나빔밥이 매우 좋습니다.,나 비빔밥이 좋다,나 비빔밥이 좋아,나는 비빔밥이 좋다,나 비 비빔밥 좋아해.,비빔밥 좋아하다 글  글 .,나 비빔밥 좋아하다,비빔밥 좋다,비빔밥 좋다,나 비빔밥 좋아하다 .
비빔밥 맛있다 이루다 장소 알다 ?, 비빔밥 맛있는 음식점을 알고 있나요?,1,[상식in] 비빔밥 인기의 가장 큰 이유는 무엇일까요?,비빔밥을 먹은 장소가 어디에 있는지 알 수 있다,비빔밥을 이루어서 장소 알았어,비빔밥을 먹은 장소는 알고 있나요?,비빔밥이 맛있는 장소 알아?,비빔밥 맛있는 음식 장소 알아두다 .,비빔밥 맛있다 음식 알고 있다,비빔밥  곳  알고 있다,비빔밥  맛있게  비빔밥  곳  알고 있다,비빔밥 맛있다 음식점 알다 있다 ?
먹다 장소 유명하다 ., 식당이 유명해요.,0,[상도남도청] 경상남도 경상북도 경상북도 지역 유명 음식점 ‘핫도넛’ 입니다.,식당은 어디에 있습니까?,음식은 유명하다,식당은 어디에 있나요?,먹는 장소로 유명하다.,글 글다 식당 깨끗하다 장소 .,먹다  유명하다  식당  유명하다,먹다  유명하다,먹다  유명하다,식당 유명하다 .
당신 취미 무엇 ?, 취미가 뭐예요?,1,[상미삼거리탐방],당신 취 취미는 뭐인가요?,당신의 취미는 뭐입니까?,당신의 취미는 뭐입니까?,당신의 취 취미는 무엇인가요?,취미 무엇 취미 무엇 최고 아니다 .,취미 무엇,취미 무엇,취미 무엇,취미 무엇 ?
나 취미 무엇 영화 보다 ., 내 취미는 영화감상이에요.,0,취미 무엇을 취미 삼아도 좋으니 취미 삼아도 좋습니다.,나는 취미 있어서 영화를 보다,나는 뭐 영화를 보고 있다,나는 뭐에 취미가 있다,나는 취미로 뭐 영화를 본다.,북쪽 취미  재미 무엇 무엇  날 지시  영화 보다 영광 되다 .,취미 곳 영화 보다,취미 정보 수집,취미 취미 영화 보다 영화 감상,나 취미 영화감상이다 .
요즈음 재미있다 영화 무엇 ?, 요즈음 재미있는 영화가 있나요?,1,요즈음 재미있거나 호기심을 자극하는 영화들이 많아지고 있습니다.,요즈 하면서 즐거웠다,요즈음 재미있는 영화들은 뭐예요?,요즈음 재미있는 영화는 뭐야,요즈음 가장 재미있었던 영화 뭐야?,요즈 오늘 재미없다 무엇 무엇 요즈음 .,요즘 재미있는 영화 재미있다,요즘 재미있 재미 영화 있다,요즘 재미있 영화 있다,요즘 재미있 재미있다 영화 있다 ?
그러나 한국 영화 자막 없다 섭섭하다 ., 하지만 한국 영화는 자막이 없어서 안타까워요.,0,한국영화 망각. 망각의 영화 자막은 없습니다.,한국 영화 자막 없어서 섭섭하다,한국 영화 자막이 없어서 섭섭하다,한국 영화 자막이 없어서 섭섭하다,그러나 한국 영화에는 자막이 없어 섭섭하다,한국 한국 자막 없다 안타까워 .,한국 영화 자막 부족하다 안타까워,한국 영화 자막 없다 슬프다,한국 영화 영화 자막 없다 안타까워,한국 영화 자막 없다 안타까워하다 .
배고프다 . 밥 출발 ., 배고파요. 밥 먹으러 갑시다.,0,오늘 0 출항한 선박들은 모두 항내 정박 중인 밥차에서 출발합시다.,배고파서 밥이 안되네,배고파서 밥 출발했다,배고파서 밥 출발했다,배가고파요. 밥 출발합니다.,배고다 밥 먹다 장소 갔다오다 .,배고프다 밥 먹다 가다,배고프다 먹다 가다,배고프다 먹다 가다,배고프다 밥 먹다 가다 .
나 같다 . 먹다 무엇 ?, 저도요. 뭐 먹으러 갈까요?,1,[상도군청] 나쁨의 날씨를 3일입니다.,나 같다 같아 . 먹다가 뭐 먹을까,나 같아 같아,내가 뭐 먹을게,내가 먹는 먹는 뭐 있어?,글 글다 어디 어디 어디 먹다 장소 커피 .,먹다 가다,먹다 가다,먹다 무엇 가다,저도 무엇 무엇 먹다 가다 ?
맵다 김치 끓이다 괜찮다 ?, 얼큰한 김치찌개 어때요?,1,"매운 고춧가루로 만든 김치찌개가 괜찮은 걸까요?
아니면 멸치볶음밥이나 김치찌개를 끓여 먹는 것도 괜찮은 방법입니다.",김치를 끓이면 괜찮다,김치 끓 끓인 괜찮아?,김치 끓 끓이면 괜찮아,매운 김치 끓여도 될까요?,얼큰 김치찌개 어때요?,김치찌찌개 맛있다,김치찌다개  곳  얼큰하다 김치찌개  곳,춥큰 김치찌개  곳  어디,얼큰하다 김치찌개 어떻다 ?
나 맵다 싫다 ., 나는 매운 음식을 싫어해요.,0,맵시 싫다,나는 이이 너무 싫다,나는 맵다,나는 맵다,나는 매맵기 싫어,매운다 음식을 싫어하다 글 글 매치다 .,나 매맵다 싫다,맵다 음식 싫다,나 매운 음식 싫다,나 매운 음식 싫어하다 .
좋아하다 운동 무엇 ?, 좋아하는 운동이 뭐예요?,1,[한국도착상] 이번 주에는 어디에서 운동을 하였는지 알려드리겠습니다.,좋아해서 운동은 뭐 ?,좋아하는 운동 뭐 좋아해?,좋아하는 운동 뭐야,좋아하는 운동 뭐 있어?,북쪽 좋아하는하다 운동 어디 운동 .,좋아하는 운동 무엇,좋아하는 운동 무엇,좋아하는 운동 무엇,좋아하다 무엇 ?
수영 탁구 좋아하다 ., 나는 수영과 탁구를 좋아해요.,0,탁구구 좋아하시기 때문입니다.,수영을 좋아해,수영을 좋아하다,수영을 좋아하다,수영 탁구를 좋아해,수영 탁 탁구 좋아하다 글 붙이다   글 .,나 수영 운동 좋아하다,수영 배 탁구 좋다,수영 탁 탁구 좋아하다,나 수영 탁구 좋아하다 .
당신 취미 무엇 ?, 취미가 무엇인가요?,1,[상미삼거리탐방],당신 취 취미는 뭐인가요?,당신의 취미는 뭐입니까?,당신의 취미는 뭐입니까?,당신의 취 취미는 무엇인가요?,취미 무엇 취미 무엇 .,취미 무엇,취미 무엇,취미 무엇,취미 무엇 ?
나 취미 독서 음악 듣다 ., 내 취미는 독서와 음악감상이에요.,0,취미 취미활동과 모아서 만든 음악으로 취미활동을 하시다 보면 감흥이 있으신 분은 어디에서든 들으시기 바랍니다.,취미로 독서 음악을 듣다,나 취 독서음악을 들었어,나는 취에 음악을 들었다,나는 취미로 독서 음악을 듣는다.,독서와 음악 감상을 제일 좋아하다 글 읽다 감상을 .,나 취 독서와 음악 감상,취미 무엇 독서와 음악 감상,취미 취미 책 감상,나 취 독서 음악감상 .
4올 20일 날 무엇 ?, 4월 20일이 무슨 날인가요?,1,20일자았다.,4번째으로 가려면 어떻게 가나요?,20일은 무엇에 있나요?,20일은 어떻게 가나요?,4올 20일은 뭐야?,4월20일 날  4월20일 날  4월20일 날 .,오늘  날 무엇,오늘 하루 시간,오늘 하루 4월 20일,4월 20일 무슨 날 ?
장애인 날 ., 장애인의 날이에요.,0,장애인복지이동동 : 054-2050년,장애인 복지입니다.,장애인의 날은 어디에 있습니까?,장애인 복지입니다.,장애인 인권이 어느 때보다 중요합니다.,장애인의 날 햇빛 .,장애인 날 날,장애인의 날,오늘 장애 장애인의 날,장애인 날 .
그렇군요 ! 농인 날 언제 ?, 그렇군요! 농인의 날은 언제인가요?,1,오늘 농 농인 날씨를 차차 알겠습니다.,농인 날이 언제 ?,농인 날이 언제야,농인 날이 언제야,농인 날이 언제인가요?,농부의 날 언제 언제 오늘 .,농인 날  언제,농인 날  어느 시간,농인 날  어느 시간,농인 날 언제 ?
6월 3일 ., 6월 3일이에요.,0,6월 3일 3일,6월 3일,6월 3일.,6월 3일입니다.,6월 3일,6월3일1일 .,6월 3일,6월 3일,6월 3일,6월 3일 .
10시 30분 ., 10시 30분이에요.,0,10시 30분 30분,10시 30분입니다.,10시 30분까지입니다.,10시 30분입니다.,10시 30분은,아침 10시30분 .,9시 30분다,9시 10분다,9시 30분,10시 30분 .
11시 공부 시작 . 나 먼저 가다 ., 11시에 수업이 시작합니다. 나 먼저 가볼게요.,0,11시경 공부 시작. 나 먼저 가겠습니다.,나 먼저 갈게,나는 11시 갈게 공부해,11시 공부 공부 시작하니 먼저 갈게,나는 11시 갈 거야.,아침 11시 11시 수업 시작 나 먼저 갔다오다 .,수업 시작 나 먼저 가다,학교 공부 시작 나 먼저 가다,학교 공부 시작 나 먼저 가다,수업 시작 나 먼저 가다 .
알다 . 다음 또 만나다 ., 알았어요. 다음에 또 만나요.,0,다음에도 또 만날 가능성이 있습니다.,다음 역 만나서 이야기 합시다,다음에 또서 만나주세요.,다음에 또서 또 만나서 .,다음에 또 만날게,알다 다음 또 만나다 .,다음 만나 또 만나다,다음 또 또 만나다,다음 또 또 만나다,다음 또 만나다 .
당신 태어나다 날 언제 ?, 생일이 언제인가요?,1,[김특별취재팀] 「동창회」가 6일 11시 서울특별시 중구 신당동 소재 동아공고에서 개최됩니다.,당신은 태어나 되신건가요?,당신은 언제 생일이 언제야,당신의 생 언제입니까?,당신의 태어나 언제인가요?,생일이 언제 오늘 .,생일이 언제,태어나다 날 어느 시간,태어나다 날 어느 시간,생일 언제 언제 ?
8월 18일 ., 8월 18일이에요.,0,8월 18일 18일,8월 18일입니다.,8월 18일,8월 18일입니다.,8월 18일,8월18일 글 8월18일 .,8월 18일,8월 18일,8월 18일,8월 18일 있다 .
5월 15일 날 무엇 ?, 5월 15일은 무슨 날인가요?,1,5월 15일 15일,5월 15일인가요?,5월 15일 되나요?,5월 15일인가요?,5월 15일 날은 뭐에요?,5월15일 날 5월15일 날 .,5월 15일 날 무엇,5월 15일 날 무엇,5월 15일 날 무엇,5월 15일 무슨 날 ?
