gloss,spoken,form
나 새 키우다 싶다 .,나는 새를 키우고 싶어,b
여행 중 행복하다 때 언제 ?,여행 중 가장 행복했던 순간은?,b
왜 그렇게 생각하다 ?,왜 그렇게 생각해?,b
아빠 나 운전 연습 하다 싶다 .,"아빠, 나 운전 연습 좀 하고 싶어.",b
수업 언제 시작하다 ?,수업 언제 시작해?,b
매일 밤 10시 잠들다 .,매일 밤 10시에 잠들어,b
너 말 맞다 생각하다 ?,네 말이 맞다고 생각해?,b
졸업 후 계획 무엇 ?,졸업 후 계획이 뭐에요?,b
우리 지구 생명 지키다 되다 .,우리는 지구의 생명들을 지켜야 해,b
나 좋아하다 플레이리스트 만들다 .,내가 좋아하는 플레이리스트 만들었어.,b
어제 가족 외식하다 .,어제 가족들과 외식했어.,b
알고리즘 문제 해결 하다 어렵다 .,알고리즘 문제 해결하는 게 어려워.,b
보너스 언제 주다 ?,보너스 언제 주는 거야?,b
인간 본질적 선하다 ?,인간은 본질적으로 선한가?,b
매일 아침 우유 마시다 .,매일 아침 우유를 마셔,b
우체국 택배 보내다 .,우체국에서 택배를 보냈어.,b
우유 없다 마트 가다 .,우유가 없어서 마트에 가야 해,b
이게 무슨 뜻 ?,이게 무슨 뜻이야?,b
아기 모자 씌우다 .,아기에게 모자를 씌웠어.,b
수업 끝나다 바로 도서관 가다 .,수업이 끝나면 바로 도서관으로 갈 거야.,b
고양이 자주 독립적 .,고양이는 자주 독립적이야,b
물고기 물 좋아하다 .,물고기는 물을 좋아해,b
이 프로그램 언제 방송 시작 하다 거 ?,이 프로그램은 언제부터 방송 시작한 거야?,b
생각 행동 옮기다 .,생각을 행동으로 옮겨,b
프론트엔드 백엔드 통신 테스트 중이다 .,프론트엔드와 백엔드 통신 테스트 중이야.,b
부서 이동 요청서 내다 .,부서 이동 요청서 내야 돼.,b
희망 가지다 살다 삶 밝다 .,희망을 가지고 살면 삶이 밝아져.,b
부스터 팩 구매 하다 ?,부스터 팩 구매했어?,b
언제 오다 ?,언제 올거야?,b
여행 가방 준비하다 행복하다 .,여행 가방을 준비하는 것부터 행복해.,b
너 추억 장소 어디 이다 ?,너의 추억의 장소는 어디야?,b
수업 중 핸드폰 사용 금지다 .,수업 중에 핸드폰 사용이 금지야.,b
주말 캠핑 가다 어때 ?,주말에 캠핑 가는 건 어때?,b
집 피아노 치다 것 좋아하다 .,집에서 피아노 치는 것을 좋아해,b
게임 내 미션 성공 하다 !,게임 내 미션 성공했어!,b
비상구 옆 자리 원하다 .,비상구 옆 자리를 원해.,b
너 무엇 알다 그렇다 ?,네가 뭘 안다고 그래?,b
우리 추억 영원하다 지우다 않다 것이다 .,우리의 추억은 영원히 지워지지 않을 것이야.,b
나 행운 숫자 5이다 .,나의 행운의 숫자는 5야,b
나 그 작품 부정적 평가 받다 .,나는 그 작품에 대해 부정적인 평가를 받았어.,b
화학 실험 중 손 다치다 .,화학 실험 도중에 손을 다쳤어.,b
독일 뮌헨 맥주 축제 즐기다 .,독일의 뮌헨에서는 맥주 축제를 즐겼어.,b
이번 주 중간고사 있다 수업 없다 .,이번 주에는 중간고사가 있어서 수업이 없어.,b
행운 돌 발견하다 .,행운의 돌을 발견했어,b
나 베이컨 원하다 않다 .,나는 베이컨을 원하지 않아.,b
밤새 책 읽다 해 뜨다 .,밤새 책을 읽다가 해가 떴다.,b
점심 메뉴 무엇 먹다 ?,점심 메뉴로 뭐 먹을까?,b
내 친구 학교밴드 가입하다 .,내 친구는 학교밴드에 들어갔어.,b
요즘 기분 우울하다 .,요즘 기분이 좀 우울해.,b
내일 날씨 어떻다 ?,내일 날씨 어때?,b
너도 나만큼 솔직하다 않다 .,너도 나만큼 솔직하지 못하네.,b
우체국 EMS 서비스 이용 가능 .,우체국에서 EMS 서비스를 이용할 수 있어.,b
인생 짧다 모든 것 경험하다 못하다 .,인생은 짧아서 모든 것을 경험할 수 없어,b
라이브러리 충돌 나다 고민 있다 .,라이브러리 충돌 나서 고민이야.,b
여권 잘 보관 하다 ?,여권 잘 보관했어?,b
햄스터 바퀴 돌다 있다 .,햄스터가 바퀴를 돌고 있어,b
햄스터 모래 위 놀다 .,햄스터는 모래 위에서 놀아,b
다음 주 다시 약속하다 .,우리 다음 주에 다시 약속하자,b
나 좋아하다 드라마 추천 ?,내가 좋아할 만한 드라마 추천해줘.,b
새로운 업데이트 언제 오다 ?,새로운 업데이트 언제 와?,b
퇴근 후 취미 즐기다 .,퇴근 후에는 취미 생활을 즐겨,b
행운 링 끼다 있다 .,행운의 링을 끼고 있어,b
다음 번 다른 메뉴 시도하다 .,다음 번에는 다른 메뉴를 시도해 볼래.,b
내일 체육 시간 무엇 하다 ?,내일 교통체육 시간에 뭐 하지?,b
그 추억 항상 나 마음속 있다 .,그 추억은 항상 나의 마음속에 있어.,b
담주 특집 방송 기대 되다 .,담주 특집 방송이 기대돼.,b
너무 덥다 .,너무 더워,b
내 생일 기억 ?,내 생일 기억해?,b
우리 인생 선택 연속이다 .,우리의 인생은 선택의 연속이야,b
우체국 어디 있다 알다 ?,우체국이 어디에 있는지 알아?,b
내일 스쿨 트립 있다 .,내일은 스쿨 트립이야.,b
휴가 때 무엇 하다 계획 ?,휴가 때 뭐 할 계획이야?,b
핸드폰 충전기 빌리다 주다 .,핸드폰 충전기 빌려줘,b
이탈리아 베니스 간다리아 타다 .,이탈리아의 베니스에서는 간다리아를 타고 돌아봤어.,b
로마 역사 유적지 방문 싶다 .,로마의 역사적인 유적지를 방문하고 싶어.,b
엄마 내일 친구 집 오다 .,"엄마, 내일 친구들이 집에 올 거야.",b
세상 항상 변하다 있다 .,세상은 항상 변하고 있어,b
새로운 식당 맛있다 저녁 먹다 .,새로운 식당에서 맛있는 저녁을 먹었어.,b
여기 오다 놀다 좋다 .,여기 와서 놀기 정말 좋다.,b
언니 내 말 듣다 화나다 .,언니가 내 말 듣고 화냈나 봐.,b
연봉 인상률 어떻다 되다 ?,연봉 인상률 어떻게 되?,b
이 음식 맛있다 .,이 음식은 정말 맛있어.,b
우체국 항상 사람 많다 .,우체국에는 항상 사람이 많아.,b
강아지 사람 잘 따르다 다니다 .,강아지는 사람을 잘 따라다녀,b
한 시간 후 보다 .,한 시간 뒤에 뵐게,b
인간 과거 오류 배우다 되다 .,인간은 과거의 오류에서 배워야 해,b
어제 토요일 있다 .,어제는 토요일이었어,b
다가오다 시험 때문 걱정 있다 .,다가오는 시험 때문에 걱정이야.,b
너 희망 포기하다 않다 주다 .,네 희망을 포기하지 말아줘.,b
약속 장소 너무 멀다 다른 곳 하다 .,약속 장소가 너무 멀어서 다른 곳에서 하자,b
그 만화 연재 중이다 ?,그 만화는 연재 중이야?,b
강아지 산책 좋아하다 .,강아지는 산책 좋아해,b
나 산 오르다 때마다 감동 받다 .,나는 산을 오를 때마다 감동받아.,b
여기 무엇 먹다 안 되다 있다 ?,여기 뭐 먹으면 안 돼는게 있었지?,b
오늘 아침 부터 비 오다 .,오늘은 아침부터 비가 왔어.,b
주말 무엇 하다 계획 이다 ?,주말에 뭐 할 계획이야?,b
매일 아침 물고기 먹이 주다 .,매일 아침에 물고기에게 먹이를 줘,b
요즘 자전거 타다 빠지다 있다 .,요즘은 자전거 타기에 푹 빠져 있어.,b
멋지다 일 이다 !,멋진 일이다!,b
체험판 먼저 해보다 ?,체험판 먼저 해볼까?,b
페럿 귀엽다 놀다 .,페럿은 귀엽게 놀아,b
마지막 세트 힘내다 해보다 !,마지막 세트도 힘내서 해보자!,b
아이 편지 쓰다 .,아이에게 편지 썼어.,b
회의실 예약 어떻다 하다 ?,회의실 예약은 어떻게 하나?,b
비행 시간 얼마 걸리다 ?,비행 시간 얼마나 걸려?,b
그 게임 리뷰 어떻다 ?,그 게임 리뷰 어때?,b
넷플릭스 자막 설정 어떻게 바꾸다 ?,넷플릭스 자막 설정 어떻게 바꿔?,b
나에게 왜 그렇다 ?,나한테 왜 그래?,b
여름 휴가 어디 가다 싶다 ?,여름 휴가 어디로 가고 싶어?,b
새로운 책 사다 읽다 있다 .,새로운 책 사서 읽고 있어.,b
밤 핸드폰 끄다 자다 .,밤에는 핸드폰을 끄고 자,b
수업 중 휴대폰 사용 안하다 ?,수업 중에는 휴대폰 못 써?,b
어제 유튜브 재미있다 영상 보다 .,어제 유튜브에서 재미있는 영상 봤어.,b
인생 기회 연속이다 .,인생은 기회의 연속이야,b
매일 아침 7시 일어나다 .,매일 아침 7시에 일어나,b
항공료 반환 받다 가능 ?,항공료 반환 받을 수 있어?,b
재택근무 가능 ?,재택근무 할 수 있어?,b
인생 방향 잡다 .,인생의 방향을 잡아,b
넷플릭스 한국 영화 있다 ?,넷플릭스 한국 영화 있어?,b
나 밤 읽다 좋아하다 .,나는 밤에 읽기를 좋아해,b
아이 교통카드 잃어버리다 .,아이가 교통카드 잃어버렸어.,b
유튜브 댓글 정책 변경 되다 듣다 .,유튜브 댓글 정책이 변경됐다고 들었어.,b
비디오 게임 나 취미 중 하나 있다 .,비디오 게임은 내 취미 중 하나야.,b
동생 내 옷 또 입다 .,동생이 내 옷 또 입었어.,b
이 만화 추천 하다 주다 ?,이 만화 추천해줄래?,b
우체국 택배 신뢰 가능 .,우체국 택배는 신뢰할 수 있어.,b
내일 시험 있다 .,내일 시험이야,b
식사 맛있다 하다 ?,식사 맛있게 했어?,b
네버랜드 약속 읽다 보다 ?,네버랜드 약속 읽어봤어?,b
나 늦다 같다 .,나 늦을 것 같아,b
그때 추억 아직도 생생하다 .,그때의 추억은 아직도 생생해.,b
인간 세상 이해하다 위해 공부하다 .,인간은 세상을 이해하기 위해 공부해,b
그 게임 동료 찾다 ?,그 게임 동료 찾아?,b
약속 시간 언제 ?,약속 시간 언제였지?,b
주말 정원 일하다 .,나는 주말마다 정원 일을 해.,b
아기 밤 울다 .,아기가 밤새 울었어.,b
인생 길다 험하다 여정이다 .,인생은 길고 험한 여정이야,b
성공 노력 결과이다 .,성공은 노력의 결과야,b
학교 언제 끝나다 ?,학교 언제 끝나?,b
테스트 케이스 모두 통과 하다 .,테스트 케이스 모두 통과했어.,b
왜 그렇게 말하다 ?,왜 그렇게 말했어?,b
동생 방 이상하다 소리 나다 .,동생 방에서 이상한 소리가 나던데.,b
세계 수많다 미해결 미스터리 있다 .,세계에는 수많은 미해결의 미스터리가 있어,b
나중 전화하다 .,나중에 전화할게,b
지금 오후 3시 반이다 .,지금은 오후 3시 반이야,b
넷플릭스 4K 영상 지원 ?,넷플릭스 4K 영상 지원해?,b
나 어제 늦다 자다 .,나 어제 너무 늦게 잤어.,b
넷플릭스 다운로드 제한 있다 ?,넷플릭스 다운로드 제한 있어?,b
라디오 듣다 요리하다 .,라디오를 들으면서 요리를 해,b
이렇게 되다 어떻다 ?,이렇게 되면 어떡해?,b
어제 많다 비 오다 것처럼 하다 안 오다 .,어제 잔뜩 비올 것처럼 했는데 안 왔어.,b
학교 앞 친구 만나다 .,학교 앞에서 친구들과 만났어.,b
일주일 2번 슈퍼마켓 가다 .,일주일에 두 번 슈퍼마켓에 가,b
음악 듣다 것 좋다 .,음악 듣는 것이 좋아,b
나 그 사건 긍정적 있다 .,나는 그 사건에 대해 긍정적이야.,b
나 고양이 새로운 트릭 가르치다 노력하다 .,나는 고양이에게 새로운 트릭을 가르치려고 했어.,b
리자드 따뜻하다 곳 좋아하다 .,리자드는 따뜻한 곳을 좋아해,b
꽃 아름답다 !,꽃들이 너무 아름다워!,b
이번 주 프로젝트 발표 있다 .,이번 주에 프로젝트 발표가 있어.,b
우리 평화 지향하다 되다 .,우리는 평화를 지향해야 해,b
주말 영화 보다 가다 ?,주말에 영화 보러 갈래?,b
뉴욕 타임스퀘어 연말 즐기다 .,뉴욕의 타임스퀘어에서는 연말을 즐겼어.,b
밥 무엇 하다 ?,밥은 뭐로 할까?,b
너 무슨 음식 좋아하다 ?,너는 무슨 음식을 좋아해?,b
가족 함께 피크닉 계획 중 .,가족들과 함께 피크닉 계획 중이야.,b
나 우유 마시다 못하다 .,나는 우유를 못 마셔.,b
지금 순간 역사 되다 있다 .,지금 이 순간도 역사가 되고 있어,b
서버 불안정하다 .,서버가 불안정해.,b
지각 하다 않다 .,지각하지 않을게요,b
GIT 버전 관리 하다 있다 .,GIT으로 버전 관리하고 있어.,b
나도 너 생각하다 .,나도 네 생각해,b
아기 애완동물 사주다 .,아기에게 애완동물을 사줬어.,b
넷플릭스 아이돌 리얼리티 있다 ?,넷플릭스에 아이돌 리얼리티도 있어?,b
희망 없다 삶 힘들다 되다 .,희망이 없으면 삶이 힘들어져.,b
저녁 같이 밥 먹다 가다 .,저녁에 같이 밥 먹으러 가자.,b
어떻게 그림 그리다 가르치다 주다 ?,어떻게 그림을 그리는지 가르쳐 줄래?,b
주말 다시 약속 잡다 보다 ?,우리 주말에 다시 약속을 잡아볼까?,b
아기 병원 검진 받다 ?,아기 병원 검진 받았어?,b
연차 사용 신청 어떻다 하다 ?,연차를 쓰려면 어떻게 신청해?,b
중간고사 성적 어떻다 나오다 ?,중간고사 성적 어떻게 나왔어?,b
그 사회생활 인정받다 사람이다 .,그는 사회생활에서 인정받는 사람이야.,b
다음 주 특별 방송 하다 .,다음 주에는 특별 방송이래.,b
인도 타지마할 로맨틱하다 .,인도의 타지마할은 로맨틱했어.,b
무엇 하다 싶다 ?,무엇을 하고 싶어?,b
세상 문제 함께 풀다 나가다 되다 .,세상의 문제는 함께 풀어나가야 해,b
나 일기 쓰다 습관 있다 .,나는 일기를 쓰는 습관이 있어,b
그 사회생활 대인관계 좋다 .,그는 사회생활에서 대인관계가 좋아.,b
이 바로 행운 시작이다 .,이게 바로 행운의 시작이야,b
주식 시장 불안 .,주식 시장이 불안해.,b
학교 도서관 공부 하다 .,학교 도서관에서 공부하려고 해.,b
세상 항상 기대 이상이다 .,세상은 항상 기대 이상이야,b
집 시간 많다 독서하다 .,집에 있는 시간이 많아져서 독서를 많이 해,b
어디서 만나다 ?,어디서 만날까?,b
라면 물 끓이다 조리하다 .,라면은 물을 끓여서 조리해야 해.,b
인생 가치 직접 만들다 가다 .,인생의 가치는 직접 만들어가,b
자바스크립트 웹 애플리케이션 만들다 .,자바스크립트로 웹 애플리케이션 만들었어.,b
내년 결혼식 있다 .,내년에는 결혼식이 있어,b
아기 햇볕 타다 .,아기가 햇볕에 탔어.,b
1월 1일 새해이다 .,1월 1일은 새해야,b
사회생활 고백 항상 용기 필요하다 .,사회생활에서의 고백은 언제나 용기가 필요해.,b
주말 가족 외식하다 .,주말에는 가족과 외식을 해,b
이번 휴가 여행 가다 있다 .,이번 휴가에는 여행 가려고 해.,b
데이터베이스 연결 문제 있다 .,데이터베이스 연결에 문제가 있어.,b
광고 많이 나오다 짜증나다 .,광고 너무 많이 나와서 짜증나.,b
유럽 경제 위기 투자 어렵다 .,유럽 경제 위기 때문에 투자가 어려워.,b
식사 후 차 마시다 .,식사 후에는 차를 마셔,b
파이썬 배우다 있다 .,파이썬을 배우고 있어.,b
휴가 때 여행 가다 자주하다 .,휴가 때는 여행을 가곤 해,b
약속 시간 비 오다 것 같다 .,약속 시간에 비가 올 것 같아,b
웹툰 만화책 더 좋다 ?,웹툰보다 만화책이 더 좋아?,b
저녁 운동 1시간하다 .,저녁에는 운동을 한 시간 해,b
토요일 영화 보다 가다 ?,토요일에 영화 보러 갈래?,b
여름 방학 봉사 활동 하다 .,여름 방학 때는 봉사 활동을 할 거야.,b
무거운 짐 도움 주다 ?,무거운 짐 도와드릴까요?,b
그 사람 좋다 .,그 사람 좋은 사람이야,b
인생 무대 최선 다하다 .,인생의 무대에서 최선을 다해,b
나중 얘기하다 .,나중에 얘기하자,b
오늘 가족 모임 시간 언제 ?,"오늘 가족 모임 있잖아, 시간 언제였지?",b
주말 계획 무엇 이다 ?,주말 계획이 뭐야?,b
그 사람 어떻게 알다 ?,그 사람 어떻게 알아?,b
유튜브 프리미엄 광고 없이 보다 .,유튜브 프리미엄으로 광고 없이 보고 있어.,b
정의 무엇 탐구하다 어렵다 .,정의란 무엇인가를 탐구하는 것은 어려워.,b
일요일 아침 늦잠 자다 .,일요일 아침은 늦잠을 자,b
세상 아직 모르다 것 너무 많다 .,세상에는 아직 모르는 것이 너무 많아,b
너도 같이 게임 하다 ?,너도 같이 게임 할래?,b
오늘 넷플릭스 새 영화 업데이트 ?,오늘 넷플릭스에 새로운 영화 업데이트 됐어?,b
잘 자다 .,잘 자,b
옷 어디서 사다 ?,옷을 어디서 샀어?,b
무슨 생각하다 ?,무슨 생각해?,b
한국 전통 마을 방문 싶다 .,한국의 전통 마을을 방문하고 싶어.,b
실시간 대전 모드 있다 ?,실시간 대전 모드도 있어?,b
우체국 몇 시 까지 영업하다 ?,우체국은 몇 시까지 영업하나?,b
날씨 때문 기운 없다 .,날씨 때문에 기운이 없어.,b
요즘 스트레스 받다 .,요즘 너무 스트레스 받아.,b
스택 오버플로우 해결방법 찾다 .,스택 오버플로우에서 해결방법 찾았어.,b
30분 더 자다 싶다 .,30분만 더 자고 싶어,b
말하다 힘들다 가보다 .,말하는 게 힘들면 가봐.,b
할아버지 생신 내일 모임 있다 .,할아버지 생신 때문에 내일 모임 있어.,b
교실 발표 준비하다 중 .,교실에서 발표 준비를 하는 중이야.,b
입국 카드 작성 완료 하다 .,입국 카드 작성 완료했어.,b
이번 주 데이트 어디 하다 ?,이번 주에 데이트 어디서 할까?,b
이 요리 가격 얼마 ?,이 요리는 얼마에요?,b
전 세계 사람 인터넷 연결되다 .,전 세계 사람들은 인터넷으로 연결돼,b
희망 가지다 것 삶 에너지이다 .,희망을 갖는 것은 삶의 에너지야.,b
팀원 이메일 보내다 .,팀원들에게 이메일 보내줘.,b
회의 시간 언제 ?,회의 시간이 언제야?,b
내일 무엇 하다 ?,내일은 뭐할까?,b
복지 혜택 무엇 ?,복지 혜택 뭐 있어?,b
인간 동물 함께 지구 살다 .,인간과 동물은 함께 지구에서 살아,b
신입사원 오늘 근무 시작하다 .,신입사원들이 오늘부터 근무 시작해.,b
나 오늘 피곤하다 일찍 자다 .,나 오늘 피곤해서 일찍 자려고.,b
강아지 목욕 싫어하다 .,강아지는 목욕을 싫어해,b
우산 챙기다 안하다 젖다 .,우산을 챙기지 않아서 젖었어,b
오늘 점심 무엇 먹다 ?,오늘 점심은 뭐 먹을까?,b
프로젝트 계획서 수정 부탁 .,프로젝트 계획서 수정 부탁해.,b
아기 유치원 등록 하다 ?,아기 유치원 등록했어?,b
지구 온난화 심각하다 문제이다 .,지구 온난화는 심각한 문제야,b
기내 면세품 구입 하다 .,기내에서 면세품 구입할 거야.,b
기억 조각 마음 따뜻하다 .,기억의 조각들이 마음을 따뜻하게 해.,b
뱀 반려동물 인기 있다 .,뱀은 반려동물로 인기가 있어,b
아기 이유식 준비 하다 ?,아기 이유식 준비했어?,b
나 동생 자전거 타다 법 가르치다 주다 .,나는 동생에게 자전거 타는 법을 가르쳐 줬어.,b
세계 연결되다 있다 .,세계는 연결되어 있어,b
나 예술 수업 좋아하다 .,나는 예술 수업을 좋아해.,b
내일 팀 미팅 있다 .,내일 팀 미팅 있어.,b
사람 생각 다양하다 다르다 가능 .,사람들의 생각은 다양하게 다를 수 있어.,b
포르투갈 포르토 포트 와인 즐기다 .,포르투갈의 포르토에서는 포트 와인을 즐겼어.,b
목표 향하다 끝없이 달리다 .,목표를 향해 끝없이 달려,b
사장님 오늘 회사 오다 ?,사장님 오늘 회사 오셨어?,b
FPS 게임 RPG 게임 중 무엇 좋다 ?,FPS 게임이랑 RPG 게임 중 뭐가 좋아?,b
세상 아직 탐험하다 못하다 곳 많다 .,세상에는 아직 탐험하지 않은 곳이 많아,b
이 식당 분위기 좋다 .,이 식당의 분위기가 좋아.,b
인생 목적 무엇 ?,인생의 목적은 무엇일까?,b
다음 약속 때 늦다 않다 오다 .,다음 약속 때는 늦지 않게 올게,b
오늘 행운 날 같다 .,오늘은 행운의 날이 될 것 같아,b
아기 유모차 타다 산책 하다 .,아기를 유모차에 태워 산책했어.,b
치킨 어떤 소스 먹다 ?,치킨은 어떤 소스로 먹을까?,b
커피 설탕 얼마 넣다 ?,커피에 설탕은 얼마나 넣어?,b
나중 저녁 같이 먹다 가다 .,나중에 저녁 같이 먹으러 가자.,b
경기장 이용 규칙 알다 주다 ?,경기장 이용 규칙을 알려줄래?,b
이 만화 여주인공 중심 스토리 ?,이 만화는 여주인공 중심의 스토리야?,b
거북이 물가 살다 .,거북이는 물가에 살아,b
아이 물어보다 질문 답 하다 어렵다 .,아이가 물어본 질문에 답하기 어려워.,b
