GKSL,WKL,GKSL_encoded,WKL_encoded
누가 칼 가지다,어떤 사람이 무기/흉기를 소지하고 있어요.,"[2, 1527, 4642, 767, 5782, 3]","[2, 3224, 2589, 2097, 59, 7983, 5573, 2822, 7318, 7788, 3868, 6999, 54, 3]"
주변 건물 붕괴,근처에 있는 건물이 붕괴되고 있어요.,"[2, 4229, 884, 2502, 3]","[2, 1229, 6896, 3860, 884, 7096, 2502, 5887, 3868, 6999, 54, 3]"
지하철 안 불 피해 심하다,지하철 역 안에서 화재가 발생했어요.,"[2, 4347, 3135, 2485, 4912, 3060, 7798, 3]","[2, 4347, 3322, 3135, 6903, 5120, 5330, 2243, 7874, 54, 3]"
불 상처,화상을 입었어요.,"[2, 2485, 2679, 3]","[2, 5112, 6531, 3836, 6885, 6857, 54, 3]"
친구 먹다 중간 흰 네모 자르다 먹다 실수,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요.,"[2, 4627, 2010, 5782, 4258, 517, 7995, 1469, 6213, 3886, 6113, 5782, 2010, 5782, 3042, 3]","[2, 4627, 5330, 3609, 7088, 2010, 5782, 5330, 3042, 6079, 2267, 6398, 7236, 834, 2010, 6885, 6857, 54, 3]"
친구 전기 몸 자극,친구가 감전 사고를 당했어요.,"[2, 4627, 4015, 2084, 3888, 3]","[2, 4627, 5330, 784, 7207, 2576, 6116, 1618, 7874, 54, 3]"
친구 쉼쉬다 안되다,친구가 숨을 안 쉬는 것 같아요.,"[2, 4627, 517, 6656, 6653, 5782, 3135, 5886, 5782, 3]","[2, 4627, 5330, 2919, 7088, 3135, 2923, 5760, 905, 832, 6999, 54, 3]"
차 안 강아지 방치 두다,차 안에 강아지가 방치되어있어요.,"[2, 4402, 3135, 807, 6797, 7318, 2267, 7483, 1773, 5782, 3]","[2, 4402, 3138, 807, 6797, 7319, 2267, 7483, 5894, 7141, 6857, 54, 3]"
누가 잡다,어떤 사람한테 납치당했어요.,"[2, 1527, 3950, 5782, 3]","[2, 3224, 2584, 7835, 1427, 5804, 7874, 54, 3]"
산 뱀 물다,산에서 뱀에게 물렸어요.,"[2, 2640, 517, 6319, 2135, 5782, 3]","[2, 2640, 6903, 517, 6319, 6897, 2135, 6072, 6857, 54, 3]"
개 미치다 병 물다,광견병에 걸린 개에게 물렸어요.,"[2, 835, 2149, 7483, 5782, 2351, 2135, 5782, 3]","[2, 1096, 5414, 6361, 6896, 891, 835, 6897, 2135, 6072, 6857, 54, 3]"
누가 건물 추락,어떤 사람이 건물에서 추락했어요.,"[2, 1527, 884, 4546, 3]","[2, 3224, 2589, 884, 6903, 4546, 7874, 54, 3]"
눈 물건 더럽다 들어오다,눈에 이물질이 들어갔어요.,"[2, 1535, 2137, 1698, 6044, 5782, 1810, 5782, 3]","[2, 1540, 3647, 6243, 7096, 1804, 5348, 6857, 54, 3]"
동굴 무너지다 감히다,터널이 무너져 갇혔어요.,"[2, 1741, 5516, 2095, 5691, 7318, 5782, 784, 7996, 5782, 3]","[2, 4728, 5696, 7096, 2095, 5691, 7245, 517, 5339, 7919, 6857, 54, 3]"
어디 연기 불 느끼다,어디선가 연기가 나요. 불이 나고 있는 것 같아요.,"[2, 3223, 3341, 2485, 1546, 5782, 3]","[2, 3223, 6559, 5330, 3341, 5330, 1370, 6999, 54, 2485, 7096, 1370, 5439, 3860, 905, 832, 6999, 54, 3]"
물 강 빠르다 서다 넘어지다,급류에 친구가 휩쓸렸어요.,"[2, 2135, 807, 2554, 6113, 5782, 2718, 5782, 1465, 7318, 5782, 3]","[2, 1250, 6107, 6896, 4627, 5330, 5190, 6072, 6857, 54, 3]"
비행기 추락,비행기가 추락하고 있어요.,"[2, 2545, 4546, 3]","[2, 2545, 5330, 4546, 7788, 3868, 6999, 54, 3]"
누가 거리 곳 피 머리 흐르다,어떤 사람이 길거리에서 피를 많이 흘리고 있어요.,"[2, 1527, 871, 1021, 4909, 2008, 5196, 6113, 5782, 3]","[2, 3224, 2589, 1315, 5382, 6903, 4909, 6116, 1956, 5202, 5439, 3868, 6999, 54, 3]"
스키 넘어지다 서다 불가능,스키를 타다가 넘어져서 못 일어나겠어요.,"[2, 517, 6683, 1465, 7318, 5782, 2718, 5782, 2486, 3]","[2, 517, 6683, 6116, 4698, 5782, 5330, 1465, 7245, 6553, 2086, 3813, 5405, 6857, 54, 3]"
폭발,폭탄이 터졌어요.,"[2, 4874, 3]","[2, 4871, 7590, 7096, 4728, 7248, 6857, 54, 3]"
벌 크다 침 팔 주사,말벌에게 쏘였어요.,"[2, 2309, 4684, 4630, 4814, 4213, 6493, 3]","[2, 1958, 6332, 6897, 517, 6770, 6944, 6857, 54, 3]"
해파리 팔 주사,해파리에게 쏘였어요.,"[2, 4998, 7682, 6122, 4814, 4213, 6493, 3]","[2, 4998, 7682, 6122, 6897, 517, 6770, 6944, 6857, 54, 3]"
독 버섯 먹다 같다,독버섯을 먹은 것 같아요.,"[2, 1725, 2302, 6571, 2010, 5782, 831, 3]","[2, 1725, 6323, 6571, 7088, 2010, 7086, 905, 832, 6999, 54, 3]"
엄지손가락 자르다,신체부위가 절단됐어요.,"[2, 3255, 7318, 6616, 5330, 6015, 3886, 6113, 5782, 3]","[2, 3010, 7436, 6398, 7044, 5330, 4067, 5788, 5878, 6857, 54, 3]"
바다 배 길 실종,바다에서 조난을 당했어요.,"[2, 2191, 2287, 1315, 3051, 3]","[2, 2191, 6903, 4162, 5663, 7088, 1618, 7874, 54, 3]"
누가 벼락 엄지손가락,어떤 사람이 벼락을 맞았어요.,"[2, 1527, 517, 6353, 6015, 3255, 7318, 6616, 5330, 6015, 3]","[2, 3224, 2589, 517, 6353, 6015, 7088, 1970, 6827, 6857, 54, 3]"
문 몸 끼다,문에 몸이 끼었어요.,"[2, 2120, 2084, 1369, 5782, 3]","[2, 2120, 6896, 2084, 7096, 1369, 6885, 6857, 54, 3]"
가스 고장 흐르다,가스가 새고 있는 것 같아요.,"[2, 754, 993, 7178, 5196, 6113, 5782, 3]","[2, 754, 5330, 2695, 5439, 3860, 905, 832, 6999, 54, 3]"
전기 기둥 줄 끊어지다,고압선이 끊어져 있어요.,"[2, 4015, 1258, 5913, 4252, 517, 5643, 6855, 7318, 5782, 3]","[2, 993, 6825, 6559, 7096, 517, 5643, 6855, 7245, 3868, 6999, 54, 3]"
숨 안되다,숨이 안 쉬어져요.,"[2, 2919, 3135, 5886, 5782, 3]","[2, 2919, 7096, 3135, 2923, 6855, 7245, 6999, 54, 3]"
몸 손묶다 갇히다,몸이 결박 당해있어요.,"[2, 2084, 2860, 6233, 5782, 517, 5339, 7996, 5782, 3]","[2, 2084, 7096, 937, 6280, 1618, 7848, 7141, 6857, 54, 3]"
누가 나 죽이다,어떤 사람이 저를 죽이려고 해요.,"[2, 1527, 1370, 4244, 7100, 3]","[2, 3224, 2589, 3990, 6116, 4244, 7096, 6061, 4998, 6999, 54, 3]"
돕다 부탁,도와주세요!,"[2, 517, 5870, 5782, 2458, 3]","[2, 1716, 7282, 5, 3]"
산 동물 만나다 공격,산에서 야생동물을 만났어요. 저를 공격할 것 같아요.,"[2, 2640, 1746, 1933, 5782, 1030, 3]","[2, 2640, 6903, 3206, 6542, 5872, 6242, 1931, 5671, 6857, 54, 3990, 6116, 1030, 7836, 905, 832, 6999, 54, 3]"
나 집 불,우리 집에 불이 났어요.,"[2, 1370, 4384, 2485, 3]","[2, 3501, 4384, 6896, 2485, 7096, 517, 5671, 6857, 54, 3]"
위 집 불,윗집에 불이 났어요.,"[2, 3552, 4384, 2485, 3]","[2, 517, 7061, 7354, 6896, 2485, 7096, 517, 5671, 6857, 54, 3]"
이웃 집 불,옆집에 불이 났어요.,"[2, 3731, 4384, 2485, 3]","[2, 3395, 7354, 6896, 2485, 7096, 517, 5671, 6857, 54, 3]"
아래 집 불,아랫집에 불이 났어요.,"[2, 3108, 4384, 2485, 3]","[2, 3093, 6030, 7354, 6896, 2485, 7096, 517, 5671, 6857, 54, 3]"
가스 고장 흐르다,가스가 새고 있어요.,"[2, 754, 993, 7178, 5196, 6113, 5782, 3]","[2, 754, 5330, 2695, 5439, 3868, 6999, 54, 3]"
전지 몸 자극,감전 사고가 났어요.,"[2, 4012, 7318, 2084, 3888, 3]","[2, 784, 7207, 2577, 517, 5671, 6857, 54, 3]"
집 낯선 넘어오다,집에 모르는 사람이 침입했어요.,"[2, 4384, 517, 5675, 6559, 1465, 6964, 5782, 3]","[2, 4384, 6896, 2049, 5760, 2589, 4630, 7138, 7874, 54, 3]"
강도 넘어오다 아마,강도가 들어온것 같아요.,"[2, 807, 5859, 1465, 6964, 5782, 3093, 6141, 3]","[2, 807, 5859, 5330, 1804, 6971, 5398, 832, 6999, 54, 3]"
아기 낳다 오다,아기를 낳을것 같아요.,"[2, 3093, 5561, 1433, 5782, 3417, 5782, 3]","[2, 3093, 5573, 1433, 7088, 5398, 832, 6999, 54, 3]"
아기 갑자기 토하다,아기가 갑자기 토해요.,"[2, 3093, 5561, 806, 4737, 7798, 3]","[2, 3093, 5562, 806, 4737, 7848, 6999, 54, 3]"
아기 숨 힘들다,아기가 숨을 안 쉬어요.,"[2, 3093, 5561, 2919, 5213, 5782, 3]","[2, 3093, 5562, 2919, 7088, 3135, 2923, 6857, 54, 3]"
아이 놀다 곳 실종,아이를 공원에서 잃어버렸어요.,"[2, 3121, 1504, 5782, 1021, 3051, 3]","[2, 3121, 6116, 1023, 7022, 517, 7135, 6855, 6323, 6072, 6857, 54, 3]"
낯선 아기 데리다,아이를 모르는 사람이 데려갔어요.,"[2, 517, 5675, 6559, 3093, 5561, 1706, 6122, 5782, 3]","[2, 3121, 6116, 2049, 5760, 2589, 1706, 6060, 5348, 6857, 54, 3]"
아기 독 약 삼키다,아이가 독극물을 삼켰어요.,"[2, 3093, 5561, 1725, 3211, 2650, 7573, 5782, 3]","[2, 3121, 5330, 1725, 5543, 6242, 2650, 7532, 6857, 54, 3]"
아기 장남감 삼키다,아이가 장난감을 삼켰어요.,"[2, 3093, 5561, 3954, 5666, 5341, 2650, 7573, 5782, 3]","[2, 3121, 5330, 3958, 5344, 2650, 7532, 6857, 54, 3]"
배 아프다,복통이 심해요,"[2, 2287, 3093, 7753, 5782, 3]","[2, 2401, 7636, 7096, 3060, 7848, 6999, 3]"
아프다 참다 불가능,아파서 못 참을것 같아요.,"[2, 3093, 7753, 5782, 4427, 5782, 2486, 3]","[2, 3093, 7682, 6553, 2086, 4427, 7088, 5398, 832, 6999, 54, 3]"
빨리 돕다 부탁,빨리 도와주세요.,"[2, 2563, 517, 5870, 5782, 2458, 3]","[2, 2563, 1716, 7282, 54, 3]"
아기 방 갇히다,아이가 방에 갇혔어요.,"[2, 3093, 5561, 2267, 517, 5339, 7996, 5782, 3]","[2, 3121, 5330, 2267, 6896, 517, 5339, 7919, 6857, 54, 3]"
저 방 갇히다,내가 방에 갇혔어요.,"[2, 3990, 2267, 517, 5339, 7996, 5782, 3]","[2, 1435, 2267, 6896, 517, 5339, 7919, 6857, 54, 3]"
집 흔들리다,집이 흔들려요.,"[2, 4384, 5199, 6122, 5782, 3]","[2, 4384, 7096, 5199, 6060, 6999, 54, 3]"
집 벽 넘어지다,집 벽이 무너질려고 해요.,"[2, 4384, 2338, 1465, 7318, 5782, 3]","[2, 4384, 2338, 7096, 2095, 5691, 7350, 6061, 4998, 6999, 54, 3]"
유리 고장 발 밟다 발바닥 상처,유리가 깨져서 발을 다쳤어요.,"[2, 3584, 993, 7178, 2235, 517, 6302, 5782, 2235, 6273, 5786, 2679, 3]","[2, 3584, 5330, 1342, 7245, 6553, 2235, 7088, 1562, 7444, 6857, 54, 3]"
남편 높다 추락 머리 피흐르다,남편이 높은데서 떨어져서 머리에서 피나요.,"[2, 1425, 1513, 4546, 2008, 4909, 7984, 6113, 5782, 3]","[2, 1425, 7096, 1520, 5850, 6553, 1857, 6553, 2008, 6903, 4909, 5655, 6999, 54, 3]"
사람 물건 무겁다 깔리다,사람이 무거운 물건에 깔렸어요.,"[2, 2584, 2137, 2095, 5397, 5782, 1340, 6122, 5782, 3]","[2, 2589, 2095, 5377, 7010, 2137, 6896, 1340, 6072, 6857, 54, 3]"
몸 병 뜨겁다 머리 진통,몸에 열이 많이 나고 두통이 심해요.,"[2, 2084, 2351, 517, 5991, 5397, 5782, 2008, 4360, 7636, 3]","[2, 2084, 6896, 3358, 7096, 1956, 1370, 5439, 1773, 7636, 7096, 3060, 7848, 6999, 54, 3]"
나이 병원 예약 부탁,세브란스 병원 진료 예약을 해주세요.,"[2, 1397, 2353, 3411, 2458, 3]","[2, 2801, 6432, 6016, 6664, 2353, 4362, 3411, 7088, 4998, 7282, 54, 3]"
아기 갑자기 머리 우산,우리아이가 갑자기 의식을 잃었어요.,"[2, 3093, 5561, 806, 2008, 3498, 6516, 3]","[2, 3501, 6804, 5330, 806, 3631, 7088, 517, 7135, 6885, 6857, 54, 3]"
119 구하다 급하다 부르다 부탁,119 구조대를 불러주세요.,"[2, 529, 116, 1115, 7798, 1250, 7798, 2432, 5782, 2458, 3]","[2, 529, 116, 1126, 5813, 2493, 7282, 54, 3]"
어지럽다 서다 불가능 돌아서다,어지러워서 서있을 수 없어요.,"[2, 3220, 7318, 6044, 5782, 2718, 5782, 2486, 1734, 6553, 5782, 3]","[2, 3220, 7318, 6037, 7018, 6553, 2718, 7141, 7088, 2872, 3278, 6999, 54, 3]"
밖 불 119 부르다 부탁,밖에 불이 났어요. 소방차를 불러주세요.,"[2, 517, 6284, 2485, 529, 116, 2432, 5782, 2458, 3]","[2, 2205, 2485, 7096, 517, 5671, 6857, 54, 2830, 7389, 6116, 2493, 7282, 54, 3]"
낯선 밖다 걷다,밖에 모르는 사람이 서성거려요.,"[2, 517, 5675, 6559, 517, 6284, 5782, 888, 5782, 3]","[2, 2205, 2049, 5760, 2589, 2718, 6573, 5377, 6060, 6999, 54, 3]"
112 신고 부탁,112에 신고해주세요.,"[2, 538, 119, 3012, 2458, 3]","[2, 538, 119, 6896, 3012, 7848, 7282, 54, 3]"
밖 싸움 경찰 부르다 부탁,밖에 싸움이 났어요. 경찰을 불러주세요.,"[2, 517, 6284, 517, 6753, 975, 2432, 5782, 2458, 3]","[2, 2205, 517, 6753, 7096, 517, 5671, 6857, 54, 975, 7088, 2493, 7282, 54, 3]"
아내 쓰러지다,아내가 쓰러졌어요.,"[2, 3096, 3084, 6037, 7318, 5782, 3]","[2, 3096, 5330, 3084, 6037, 7248, 6857, 54, 3]"
아들 놀다 곳 놀다 팔 잡다,아들이 놀이터에서 놀다가 팔이 부러졌어요.,"[2, 3107, 1504, 5782, 1021, 1504, 5782, 4814, 3950, 5782, 3]","[2, 3107, 7096, 1504, 7096, 7609, 6903, 1504, 5782, 5330, 4814, 7096, 2423, 6037, 7248, 6857, 54, 3]"
발 발목 발바닥,발목을 접질렀어요.,"[2, 2235, 2241, 2235, 6273, 5786, 3]","[2, 2241, 7088, 4086, 7350, 6046, 6857, 54, 3]"
집 전기 그치다,집에 전기가 나갔어요.,"[2, 4384, 4015, 1185, 7483, 5782, 3]","[2, 4384, 6896, 4015, 5330, 1370, 5348, 6857, 54, 3]"
먹다 음식 베다,음식을 하다가 손가락을 칼에 베였어요.,"[2, 2010, 5782, 3609, 2333, 5782, 3]","[2, 3609, 7088, 4932, 5330, 2860, 5330, 6015, 7088, 4642, 6896, 2333, 6944, 6857, 54, 3]"
허리 아프다 일어서다 불가능,허리가 아파서 일어날 수 없어요.,"[2, 5039, 3093, 7753, 5782, 3803, 6855, 6553, 5782, 2486, 3]","[2, 5039, 5330, 3093, 7682, 6553, 3803, 6855, 5664, 2872, 3278, 6999, 54, 3]"
누가 칼 살인 피 흐르다,어떤 사람이 칼에 찔려서 피를 많이 흘리고 있어요.,"[2, 1527, 4642, 2645, 4909, 5196, 6113, 5782, 3]","[2, 3224, 2589, 4642, 6896, 517, 7386, 6060, 6553, 4909, 6116, 1956, 5202, 5439, 3868, 6999, 54, 3]"
아기 벌 크다 침 팔 주사 쓰러지다,아이가 말벌에 쏘여서 기절했어요.,"[2, 3093, 5561, 2309, 4684, 4630, 4814, 4213, 6493, 3084, 6037, 7318, 5782, 3]","[2, 3121, 5330, 1958, 6332, 6896, 517, 6770, 6916, 6553, 1258, 7217, 7874, 54, 3]"
무릎 인대 상처,무릎 인대를 다친 것 같아요.,"[2, 2106, 3758, 5808, 2679, 3]","[2, 2106, 3758, 5813, 1562, 7489, 905, 832, 6999, 54, 3]"
엄마 콩 간 병 쓰러지다,엄마가 신장병에 있는데 쓰러지셨어요.,"[2, 3257, 517, 7546, 777, 2351, 3084, 6037, 7318, 5782, 3]","[2, 3257, 5330, 3010, 7178, 6361, 6896, 3861, 3084, 6037, 7318, 6604, 6857, 54, 3]"
여기 곳 서대문구 홍제동 한양 아파트 집 위 곳 사람 추락 목적 서다,여기 서대문구 홍제동 한양아파트인데 옥상에서 사람이 떨어지려고해요.,"[2, 3301, 1021, 2718, 5808, 6234, 5495, 5108, 7234, 5872, 4955, 6853, 3131, 4384, 3552, 1021, 2584, 4546, 2076, 2718, 5782, 3]","[2, 3301, 2718, 5808, 6234, 5495, 5108, 7234, 5872, 4955, 6853, 6809, 7120, 3436, 6527, 6903, 2589, 1859, 6061, 7848, 6999, 54, 3]"
동생 문 손 끼다,동생이 문틈에 손이 끼었어요.,"[2, 1750, 2120, 2860, 1369, 5782, 3]","[2, 1750, 7096, 2120, 7671, 6896, 2860, 7096, 1369, 6885, 6857, 54, 3]"
아프다,너무 아파요.,"[2, 3093, 7753, 5782, 3]","[2, 1458, 3093, 7682, 6999, 54, 3]"
빨리 오다 부탁,빨리 와주세요.,"[2, 2563, 3417, 5782, 2458, 3]","[2, 2563, 517, 6983, 7282, 54, 3]"
누가 칼 협박 가지다,어떤 사람이 칼로 위협하고 있어요.,"[2, 1527, 4642, 5075, 767, 5782, 3]","[2, 3224, 2589, 4642, 6079, 3572, 7788, 3868, 6999, 54, 3]"
술 취하다 나무 막대 사람 때리다,술 취한 사람이 방망이로 사람들을 때리고 있어요.,"[2, 2918, 4598, 7798, 517, 5660, 1927, 5808, 2584, 1844, 6122, 5782, 3]","[2, 2918, 4598, 7828, 2589, 2267, 6165, 7096, 6079, 2585, 7088, 1844, 6122, 5439, 3868, 6999, 54, 3]"
왼쪽,왼쪽입니다.,"[2, 3479, 3]","[2, 3479, 7139, 54, 3]"
왼쪽 ?,왼쪽이요?,"[2, 3479, 633, 3]","[2, 3479, 7096, 6999, 258, 3]"
오른쪽,오른쪽입니다.,"[2, 517, 6967, 3]","[2, 517, 6967, 7139, 54, 3]"
오른쪽 ?,오른쪽이요?,"[2, 517, 6967, 633, 3]","[2, 517, 6967, 7096, 6999, 258, 3]"
여기,이것입니다.,"[2, 3301, 3]","[2, 3650, 7139, 54, 3]"
여기 ?,이것인가요?,"[2, 3301, 633, 3]","[2, 3650, 7119, 5330, 6999, 258, 3]"
저기,저것입니다.,"[2, 3990, 5561, 3]","[2, 3990, 5398, 7139, 54, 3]"
저기 ?,저것인가요?,"[2, 3990, 5561, 633, 3]","[2, 3990, 5398, 7119, 5330, 6999, 258, 3]"
운전 천천히,천천히 가주세요.,"[2, 3520, 4471, 7422, 7996, 3]","[2, 4471, 7422, 7996, 517, 5330, 7282, 54, 3]"
운전 천천히 ?,천천히 가드릴까요?,"[2, 3520, 4471, 7422, 7996, 633, 3]","[2, 4471, 7422, 7996, 517, 5330, 5920, 6135, 5591, 6999, 258, 3]"
운전 빨리,빨리 가주세요.,"[2, 3520, 2563, 3]","[2, 2563, 517, 5330, 7282, 54, 3]"
가다 빨리 ?,빨리 가드릴까요?,"[2, 517, 5330, 5782, 2563, 633, 3]","[2, 2563, 517, 5330, 5920, 6135, 5591, 6999, 258, 3]"
시간 급하다,제가 많이 급합니다.,"[2, 2962, 1250, 7798, 3]","[2, 4128, 5330, 1956, 1250, 7843, 54, 3]"
시간 급하다 ?,많이 급하세요?,"[2, 2962, 1250, 7798, 633, 3]","[2, 1956, 1250, 7814, 258, 3]"
급하다,제가 좀 급합니다.,"[2, 1250, 7798, 3]","[2, 4128, 5330, 4196, 1250, 7843, 54, 3]"
급하다 ?,급하세요?,"[2, 1250, 7798, 633, 3]","[2, 1250, 7814, 258, 3]"
약속 늦다,제가 약속시간에 늦었습니다.,"[2, 3213, 517, 5767, 5782, 3]","[2, 4128, 5330, 3213, 6706, 6896, 517, 5767, 6890, 54, 3]"
약속 늦다 ?,약속시간에 늦으셨나요?,"[2, 3213, 517, 5767, 5782, 633, 3]","[2, 3213, 6706, 6896, 517, 5767, 7074, 6604, 5655, 6999, 258, 3]"
나,접니다,"[2, 1370, 3]","[2, 4086, 5772, 3]"
나 ?,저요?,"[2, 1370, 633, 3]","[2, 3990, 6999, 258, 3]"
당신,당신입니다.,"[2, 1618, 6733, 3]","[2, 1618, 6733, 7139, 54, 3]"
당신 ?,그쪽이세요?,"[2, 1618, 6733, 633, 3]","[2, 1185, 7376, 7096, 6586, 258, 3]"
그남자 맞다,이 분입니다.,"[2, 1185, 5668, 1970, 5782, 3]","[2, 3647, 2468, 7139, 54, 3]"
그남자 맞다 ?,이 분이죠?,"[2, 1185, 5668, 1970, 5782, 633, 3]","[2, 3647, 2468, 7096, 7275, 258, 3]"
말하다 잘못,제가 잘못 알려드렸습니다.,"[2, 1958, 7798, 3943, 3]","[2, 4128, 5330, 3943, 3169, 5920, 6072, 6701, 54, 3]"
말해주다 잘못 ?,잘못 알려주신건가요?,"[2, 1965, 7276, 5782, 3943, 633, 3]","[2, 3943, 3169, 7276, 6733, 5384, 5330, 6999, 258, 3]"
위험,위험합니다.,"[2, 3571, 3]","[2, 3571, 7843, 54, 3]"
위험 ?,위험한가요?,"[2, 3571, 633, 3]","[2, 3571, 7828, 5330, 6999, 258, 3]"
항상,늘 그렇습니다.,"[2, 4996, 3]","[2, 1550, 1185, 6049, 6701, 54, 3]"
항상 ?,늘 그런가요?,"[2, 4996, 633, 3]","[2, 1550, 1201, 5330, 6999, 258, 3]"
원래,원래 그렇습니다.,"[2, 3537, 3]","[2, 3537, 1185, 6049, 6701, 54, 3]"
원래 ?,원래 그런가요?,"[2, 3537, 633, 3]","[2, 3537, 1201, 5330, 6999, 258, 3]"
오천원,오천원입니다.,"[2, 3417, 7422, 7020, 3]","[2, 3417, 7422, 7020, 7139, 54, 3]"
오천원 ?,오천원인가요?,"[2, 3417, 7422, 7020, 633, 3]","[2, 3417, 7422, 7020, 7119, 5330, 6999, 258, 3]"
만원,만원입니다.,"[2, 517, 6153, 3]","[2, 517, 6153, 7139, 54, 3]"
만원 ?,만원인가요?,"[2, 517, 6153, 633, 3]","[2, 517, 6153, 7119, 5330, 6999, 258, 3]"
택시 기본 오천원,기본 요금은 오천원입니다.,"[2, 4727, 1280, 3417, 7422, 7020, 3]","[2, 1280, 3484, 7086, 3417, 7422, 7020, 7139, 54, 3]"
