augmentation_method,idx,Gloss level Korean Sign Language (GKSL) sentence,Word level Korean Language (WKL) sentence
SR,111,?? ?? ?? ??? ?? ?,? ???? ??? ?? ?? ??? ??
SR,112,?? ?? ?? ??? ??,? ??? ??? ???? ??? ?????
SR,113,?? ?? ?? ??? ??,? ??? ??? ???? ??? ?????
SR,114,?? ?? ?? ??? ??,? ??? ??? ???? ??? ?????
SR,115,?? ? ?? ??,? ??? ?? ??
SR,116,?? ? ?? ??,? ??? ?? ??
SR,117,?? ? ?? ??,? ??? ?? ??
SR,118,?? ?? ??? ?? ?? ??,? ??? ???? ??? ??? ?? ?????
SR,119,?? ?? ??? ?? ?? ??,? ??? ???? ??? ??? ?? ????
SR,120,?? ? ??? ??,??? ?? ?? ?? ???
SR,121,?? ? ??? ??,??? ?? ?? ?? ???
SR,122,?? ?? ?? ?? ?? 3 ???,??? ???? ??? ? ??? ????
SR,123,?? ?? ?? ?? ?? ?? ??,??? ?? ???? ??? ?? ??? ??? ???
SR,124,?? ?? ?? ?? ?? ?? ??,??? ?? ????? ??? ?? ??? ??? ???
SR,125,?? ?? ?? ?? ?? ?? ??,??? ?? ??? ??? ?? ??? ??? ???
SR,126,?? ?? ?? ?? ?? ?? ??,??? ?? ?? ??? ?? ??? ??? ???
SR,127,?? ?? ?? ?? ?? ?? ??,??? ?? ???? ??? ?? ??? ??? ???
SR,128,?? ?? ??? ??,?? ?? ???? ????
SR,129,?? ?? ?? ????,?? ??? ??? ?????
SR,130,?? ?? ?? ????,?? ??? ??? ?????
SR,131,?? ?? ?? ????,?? ??? ??? ?????
SR,132,?? ?? ?? ????,?? ??? ??? ?????
SR,133,?? ?? ?? ????,?? ??? ??? ?????
SR,134,?? ? ???,??? ?? ???? ????
SR,135,?? ? ???,??? ?? ???? ????
SR,136,?? ? ???,??? ?? ???? ????
SR,137,?? ? ???,??? ?? ???? ????
SR,138,?? ? ???,??? ?? ???? ????
SR,139,?? ? ???,??? ?? ???? ????
SR,140,?? ? ???,??? ?? ???? ????.
SR,141,?? ? ???,??? ?? ???? ????.
SR,142,?? ? ???,??? ?? ???? ????.
SR,143,?? ? ???,??? ?? ???? ????.
SR,144,?? ? ???,??? ?? ???? ????.
SR,145,?? ? ???,??? ?? ???? ????.
SR,146,? ???,??? ??? ????
SR,147,? ???,??? ??? ????
SR,148,? ???,??? ??? ????
SR,149,? ???,??? ??? ????.
SR,150,? ???,??? ??? ????.
SR,151,? ???,??? ??? ????.
SR,152,?? ?? ??,??? ?? ??? ???? ???.
SR,153,?? ?? ??,??? ?? ??? ???? ???.
SR,154,?? ?? ??,??? ?? ??? ???? ???.
SR,155,?? ? ???,??? ?? ???? ????
SR,156,?? ? ???,??? ?? ???? ????
SR,157,?? ? ???,??? ?? ???? ????
SR,158,?? ? ???,??? ?? ???? ????.
SR,159,?? ? ???,??? ?? ???? ????.
SR,160,?? ? ???,??? ?? ???? ????.
SR,161,?? ??,???? ??? ????.
SR,162,?? ??,???? ??? ????.
SR,163,?? ??,???? ??? ????.
SR,164,? ? ??? ?? ???? ,??? ??? ?????.
SR,165,??  ???  ?  ???  ??  ??  ?,?? ???? ?? ??? ? Kg????
SR,166,??  ???  ?  ???  ??  ??  ??  ?,?? ???? ?? ??? ? Kg????
SR,167,? ?? ??,???? ? ??? ??
SR,168,? ?? ??,???? ? ??? ??
SR,169,? ?? ??,???? ???
SR,170,? ?? ??,???? ???
SR,171,?,??????.
SR,172,? ? ?? ???? ??,? ???? ??? ??? ? ??
SR,173,? ? ???,?? ??? ???
SR,174,? ? ??,?? ?? ??
SR,175,? ? ??,?? ??? ??
SR,176,? ??? ?? ??? ???,?? ????? ??? ??? ???
SR,177,? ??? ???? ???,?? ???? ??? ??? ???
SR,178,?? ?? ??? ? ?? ??,??? ?? ??? ??? ??
SR,179,?? ?? ??? ? ?? ??,??? ?? ??? ??? ??
SR,180,? -?? ? ??? ??,??? ?? ????? ??? ??
SR,181,? ? ?? ???,? ??? ??? ? ??
SR,182,? ? ?? ??,? ?? ?? ??
SR,183,? ? ?? ??,? ??? ?? ??
SR,184,??? ?? ?? ??,?? ??? ??? ???? ???
SR,185,??? ?? ?? ??,?? ??? ??? ???? ???
SR,186,?? ?? ?? ?? ???? ??,???? ???? ??? ????
SR,187,?? ?? ?? ?? ???? ??,??? ???? ??? ????
SR,188,?? ?? ?? ?? ???? ??,??? ????? ??? ????
SR,189,?? ?? ?? ?? ???? ??,??? ???? ??? ????
SR,190,?? ?? ?? ?? ???? ??,??? ???? ??? ????
SR,191,?? ?? ?? ?? ???? ??,??? ???? ??? ????
SR,192,?? ?? 1 ???? 10 ?? ??,?????? ??? ???? ?? ???
SR,193,?? ?? 1 ???? 10 ?? ??,??????? ??? ???? ?? ???
SR,194,?? ?? 1 ???? 10 ?? ??,???? ??? ???? ?? ???
SR,195,?? ?? 1 ???? 10 ?? ??,?????? ??? ???? ?? ???
SR,196,? ? ??,? ??? ????
SR,197,?? ?? ????,? ??? ???? ????
SR,198,?? ? ??,? ??? ?? ???
SR,199,?? ?? ??? ??? ??,? ??? ??? ??? ????
SR,200,? ? -?? ???,?? ???? ? ?
SR,201,? -?? ? ? ???,?? ???? ??
SR,202,? ? ???,?? ?? ????.
SR,203,?? ?? ??,?? ???? ??? ???
SR,204,? ?? ? ??,?? ? ? ?? ?? ?? ???
SR,205,? ?? ? ??,?? ? ? ?? ??? ?? ???
SR,206,? ?? ? ??,?? ? ? ?? ??? ?? ???
SR,207,??? ?? ????,?? ?? ???????
SR,208,??? ?? ????,?? ?? ???????
SR,209,??? ?? ????,?? ?? ?????.
SR,210,??? ?? ????,?? ?? ?????.
SR,211,? ?? ?? ???,?? ? ??? ???
SR,212,? ?? ?? ???,? ? ???? ???
SR,213,? ?? ?? ???,? ? ??? ???
SR,214,? ??? ???,?? ??? ????
SR,215,? ?? ?? ???? ???,?? ?? ??? ? ??? ???
SR,216,? ? ? ??? ??,??? ?? ???? ???
SR,217,? ??? ?? ?,??? ?? ????
SR,218,? ??? ?? ?,?? ?? ????
SR,219,? ??? ?? ?,?? ?? ????
SR,220,? ??? ?? ?,?? ?? ????
SR,221,?? ?? ? ??? ??,?? ??? ??? ??? ???
SR,222,?? ?? ? ??? ??,?? ??? ??? ??? ???
SR,223,? -?? ?? ? ???,???? ? ??? ? ???
SR,224,? -?? ?? ? ???,??? ? ???? ? ???
SR,225,? -?? ?? ? ???,??? ? ??? ? ???
SR,226,? ? ?? ? ???,???? ?? ? ??
SR,227,? ?? ??,? ??? ???
SR,228,? ?? ??,? ??? ???
SR,229,? ?? ??,? ??? ???
SR,230,? ?? ??,? ??? ???
SR,231,? ?? ???? ??,?? ??? ?????
SR,232,? ?? ???? ??,??? ??? ?????
SR,233,?? ??? ?? ??,?? ???? ?? ???
SR,234,?? ?? ??? ??? ?? ???,??? ??? ?? ???? ???
SR,235,?? ?? ??? ??? ?? ???,??? ??? ??? ???? ???
SR,236,?? ? ???,??? ??? ???
SR,237,??,??????
SR,238,??,??????.
SR,239,? ? ??? ?? -?,? ??? ??? ??
SR,240,? ? ??? ?? -?,? ??? ??? ??
SR,241,? ?? ?? ????,? ??? ????? ????
SR,242,? ?? ?? ????,? ?? ????? ????
SR,243,?  ???  ??  ?,???? ??? ??? ??? ?????
SR,244,?  ???  ?  ??,???? ??? ??? ??? ?????
SR,245,?  ???  ??,???? ??? ??? ??? ?????
SR,246,?  ???  ?,???? ??? ??? ??? ?????
SR,247,?  ???  ??  ?,???? ??? ??? ??? ?????
SR,248,?  ???  ?  ??,???? ??? ??? ??? ?????
SR,249,?  ???  ??,???? ??? ??? ??? ?????
SR,250,?  ???  ?,???? ??? ??? ??? ?????
SR,251,????,?????.
SR,252,????,?????.
SR,253,????,?????.
SR,254,?? ? ?? ?,?? ??? ??? ???
SR,255,?? ? ?? ?,?? ??? ??? ???
SR,256,?? ? ?? ?,?? ??? ??? ???
SR,257,?? ? ?? ?,?? ??? ??? ???
SR,258,?? ? ?? ?,?? ??? ??? ???
SR,259,?? ? ?? ?,?? ??? ??? ???
SR,260,?? ? ?? ?,?? ??? ??? ???
SR,261,?? ?? ??? ???,?? ???? ??? ???
SR,262,?? ?? ??? ???,?? ???? ??? ???
SR,263,?? ?? ?? ??,?? ??? ?? ???
SR,264,?? ??,? ? ?? ?? ?? ??????
SR,265,?? ?? ??,? ? ?? ??????
SR,266,?? ? ?? ???,?? ??? ?? ????? ???
SR,267,?? ? ?? ???,?? ??? ?? ????? ???
SR,268,?? ?? ????,??? ??? ? ????
SR,269,?? ?? ????,??? ??? ? ????
SR,270,? ??? ?? ?? ??,??? ???? ?? ?? ????
SR,271,? ? ??? ?? ??,??? ?? ?? ?? ??? ???.
SR,272,? ??? ?,??? ????
SR,273,? ??? ?? ???,???? ???? ??? ???
SR,274,? ??? ?? ???,??? ???? ??? ???
SR,275,? ??? ?? ???,?? ???? ??? ???
SR,276,? ???? ? ??? ??,???? ?? ???? ?? ???
SR,277,? ???? ? ??? ??,??? ?? ???? ?? ???
SR,278,? ??? ???,???? ?? ?????.
SR,279,? ??? ???,??? ?? ?????.
SR,280,? ??? ?? ?? ???,???? ??? ? ???
SR,281,? ??? ?? ?? ???,??? ??? ? ???
SR,282,? ? ???,???? ???
SR,283,? ? ???,??? ???
SR,284,??? ??? ??? ??,??? ???? ?? ????
SR,285,?? ??,?? ????
SR,286,? ? ??,?? ??? ????.
SR,287,?? ?? ?? ?? ????,??? ?? ???? ??
SR,288,?? ?? ?? ?? ????,??? ?? ???? ??
SR,289,?? ?? ?? ?? ????,??? ?? ???? ??
SR,290,?? ?? ?? ?? ????,??? ?? ???? ??
SR,291,?? ?? ?? ?? ????,??? ?? ???? ??
SR,292,?? ?? ?? ?? ????,??? ?? ???? ??
SR,293,?? ?? ?? ?? ????,??? ?? ???? ??
SR,294,?? ?? ??,?? ??? ??? ?????.
SR,295,?? ?? ??,?? ??? ?? ?????.
SR,296,? ? 119 ??? ??,?? ??? ???. ???? ??????.
SR,297,? ?? ?? ??? ??,?? ??? ???. ??? ?????.
SR,298,? ?? ??? ??? ? ???,?? ??? ??? ?? ?? ??
SR,299,??? ?? ??? ??,??? ???? ??? ???.
SR,300,??? ?? ??? ??,??? ????? ??? ???.
SR,301,??? ?? ??? ??,??? ????? ??? ???.
SR,302,??? ?? ??? ??,??? ???? ??? ? ? ????
SR,303,??? ?? ??? ??,??? ????? ??? ? ? ????
SR,304,??? ?? ??? ??,??? ????? ??? ? ? ????
SR,305,??? ??? ??,?? ??? ? ????
SR,306,?? ? ?? ? ??,????? ??? ?????.
SR,307,?? ? ? ?? ???,????? ??? ?????.
SR,308,?? ? ? ?? ????,????? ??? ?????.
SR,309,?? ? ? ?? ?? ???,????? ??? ?????.
SR,310,?? ? ? ?? ?? ????,????? ??? ?????.
SR,311,?? ? ? ?? ???,????? ??? ?????.
SR,312,?? ? ? ?? ????,????? ??? ?????.
SR,313,?? ? ? ?? ???,????? ??? ?????.
SR,314,?? ? ? ?? ????,????? ??? ?????.
SR,315,?? ? ? ?? ?? ???,????? ??? ?????.
SR,316,?? ? ?? ? ??,????? ??? ?????.
SR,317,?? ? ? ?? ???,????? ??? ?????.
SR,318,?? ? ? ?? ????,????? ??? ?????.
SR,319,?? ? ? ?? ?? ???,????? ??? ?????.
SR,320,?? ? ? ?? ?? ????,????? ??? ?????.
SR,321,?? ? ? ?? ???,????? ??? ?????.
SR,322,?? ? ? ?? ????,????? ??? ?????.
SR,323,?? ? ? ?? ???,????? ??? ?????.
SR,324,?? ? ? ?? ????,????? ??? ?????.
SR,325,?? ? ? ?? ?? ???,????? ??? ?????.
SR,326,?? ? ?? ? ??,????? ??? ?????.
SR,327,?? ? ? ?? ???,????? ??? ?????.
SR,328,?? ? ? ?? ????,????? ??? ?????.
SR,329,?? ? ? ?? ?? ???,????? ??? ?????.
SR,330,?? ? ? ?? ?? ????,????? ??? ?????.
SR,331,?? ? ? ?? ???,????? ??? ?????.
SR,332,?? ? ? ?? ????,????? ??? ?????.
SR,333,?? ? ? ?? ???,????? ??? ?????.
SR,334,?? ? ? ?? ????,????? ??? ?????.
SR,335,?? ? ? ?? ?? ???,????? ??? ?????.
SR,336,?? ? ?? ??,????? ??? ???????
SR,337,?? ? ?? ???,????? ??? ???????
SR,338,?? ? ?? ????,????? ??? ???????
SR,339,?? ? ?? ?? ?,????? ??? ???????
SR,340,?? ? ?? ?? ?? ???,????? ??? ???????
SR,341,?? ? ?? ?? ?? ????,????? ??? ???????
SR,342,?? ? ?? ??,????? ??? ???????
SR,343,?? ? ?? ???,????? ??? ???????
SR,344,?? ? ?? ????,????? ??? ???????
SR,345,?? ? ?? ?? ?,????? ??? ???????
SR,346,?? ? ?? ?? ?? ???,????? ??? ???????
SR,347,?? ? ?? ?? ?? ????,????? ??? ???????
SR,348,?? ? ?? ??,????? ??? ???????
SR,349,?? ? ?? ???,????? ??? ???????
SR,350,?? ? ?? ????,????? ??? ???????
SR,351,?? ? ?? ?? ?,????? ??? ???????
SR,352,?? ? ?? ?? ?? ???,????? ??? ???????
SR,353,?? ? ?? ?? ?? ????,????? ??? ???????
SR,354,?? ? ?? ??,????? ??? ?????.
SR,355,?? ? ?? ???,????? ??? ?????.
SR,356,?? ? ?? ????,????? ??? ?????.
SR,357,?? ? ?? ?? ?,????? ??? ?????.
SR,358,?? ? ?? ?? ?? ???,????? ??? ?????.
SR,359,?? ? ?? ?? ?? ????,????? ??? ?????.
SR,360,?? ? ?? ??,????? ??? ?????.
SR,361,?? ? ?? ???,????? ??? ?????.
SR,362,?? ? ?? ????,????? ??? ?????.
SR,363,?? ? ?? ?? ?,????? ??? ?????.
SR,364,?? ? ?? ?? ?? ???,????? ??? ?????.
SR,365,?? ? ?? ?? ?? ????,????? ??? ?????.
SR,366,?? ? ?? ??,????? ??? ?????.
SR,367,?? ? ?? ???,????? ??? ?????.
SR,368,?? ? ?? ????,????? ??? ?????.
SR,369,?? ? ?? ?? ?,????? ??? ?????.
SR,370,?? ? ?? ?? ?? ???,????? ??? ?????.
SR,371,?? ? ?? ?? ?? ????,????? ??? ?????.
SR,372,?? ? ??,??????? ???????
SR,373,?? ? ??? ??,??????? ???????
SR,374,?? ? ???? ??,??????? ???????
SR,375,?? ? ??,??????? ???????
SR,376,?? ? ??? ??,??????? ???????
SR,377,?? ? ???? ??,??????? ???????
SR,378,?? ? ??,??????? ???????
SR,379,?? ? ??? ??,??????? ???????
SR,380,?? ? ???? ??,??????? ???????
SR,381,?? ? ??,??????? ?????.
SR,382,?? ? ??? ??,??????? ?????.
SR,383,?? ? ???? ??,??????? ?????.
SR,384,?? ? ??,??????? ?????.
SR,385,?? ? ??? ??,??????? ?????.
SR,386,?? ? ???? ??,??????? ?????.
SR,387,?? ? ??,??????? ?????.
SR,388,?? ? ??? ??,??????? ?????.
SR,389,?? ? ???? ??,??????? ?????.
SR,390,?? ?? ??,?????? ??? ????
SR,391,?? ?? ??,?????? ??? ????
SR,392,?? ?? ??,?????? ??? ????
SR,393,???? ? ?? ? ?? ??,?? ?? ??? ?? ??
SR,394,???? ? ?? ? ?? ??,??? ?? ??? ?? ??
SR,395,???? ? ?? ? ?? ??,??? ?? ??? ?? ??
SR,396,???? ? ?? ? ?? ??,??? ?? ??? ?? ??
SR,397,???? ? ?? ? ?? ??,??? ?? ??? ?? ??
SR,398,???? ? ?? ? ?? ??,??? ??? ??? ?? ??
SR,399,????? ???,??? ???
SR,400,????? ???,???? ???
SR,401,????? ???,???? ???
SR,402,??? ??? ??,???? ??? ??
SR,403,?? ?? ?? ??? ??,???? ??? ?? ?? ??????
SR,404,?? ?? ?? ??? ??,???? ??? ?? ?? ??????
SR,405,?? ?? ?? ??? ??,???? ??? ?? ?? ??????
SR,406,??? ??,???? ???? ???.
SR,407,??? ? ?? ? ????,??? ? ????? ?? ?????.
SR,408,??? ? ?? ? ????,??? ? ????? ?? ?????.
SR,409,??? ? ?? ? ????,??? ? ????? ?? ?????.
SR,410,?? ?? ?? ???,???? ?? ??? ???
SR,411,?? ?? ?? ???,???? ?? ??? ???
SR,412,?? ?? ?? ???,??? ??? ? ? ??
SR,413,?? ??? ????,??? ??? ?????.
SR,414,?? ?? ??? ???,??? ??? ??? ????.
SR,415,?? ?? ?? ?? ???,???? ??? ??? ???
SR,416,?? ?? ?? ?? ???,???? ?? ??? ???
SR,417,?? ?? ???,??? ?? ???
SR,418,?? ?? ???,?? ?? ??? ???
SR,419,?? ?? ???,?? ?? ??? ???
SR,420,?? ?? ???,?? ?? ?? ???
SR,421,?? ?? ???,?? ?? ??? ???
SR,422,?? ?? ??? ??? ??,??? ??? ?? ???
SR,423,??,??? ??? ?? ???
SR,424,?? ?? ??? ??? ??,??? ??? ?? ???
SR,425,??,??? ??? ?? ???
SR,426,??? ?? ??? ????,??? ???? ???????.
SR,427,??? ?? ??? ????,??? ????? ???????.
SR,428,??? ?? ??? ????,??? ?????? ???????.
SR,429,??? ? ?? ????,???? ??? ??? ??????
SR,430,??? ? ?? ????,???? ??? ??? ??????
SR,431,?? ??? ????,??? ??? ????
SR,432,?? ?? ?? ??,???? ?? ?? ??? ????.
SR,433,?? ?? ?? ??,???? ?? ?? ??? ????.
SR,434,?? ?? ?? ??,???? ?? ?? ??? ????.
SR,435,?? ??,??? ???
SR,436,? ??? ?? ?? ?? ??? ,? ?? ??? ???? ???? ??? ???.
SR,437,? ???,??? ? ????.
SR,438,?? -? ? ?? ?,?? ??? ??? ???
SR,439,?? -? ? ?? ?,?? ??? ??? ???
SR,440,? ??? ?? ???,?? ?? ? ???? ??
SR,441,? ??? ?? ???,?? ?? ? ???? ??
SR,442,??? ? ??,????? ?? ??? ??????
SR,443,??? ? ??,????? ?? ??? ??????
SR,444,???? ??,????? ??? ?? ????
SR,445,??? ?? ???,???? ??? ???
SR,446,??? ?? ???,???? ??? ???
SR,447,??? ?? ???? ?? ?? ? 2?,???? ??? ??? ??? ????
SR,448,?? ??? ???,????? ??? ???.
SR,449,?? ??? ???,???? ??? ???.
SR,450,?? ??? ???,????? ??? ???.
SR,451,?? ??? ???,???? ??? ???.
SR,452,?? ? ???,????? ?? ? ???.
SR,453,?? ? ???,???? ?? ? ???.
SR,454,?? ? ???,????? ?? ? ???.
SR,455,?? ? ???,???? ?? ? ???.
SR,456,?? ??? ?? ???,????? ???? ????.
SR,457,?? ??? ?? ???,???? ???? ????.
SR,458,?? ??? ?? ???,????? ???? ????.
SR,459,?? ??? ?? ???,???? ???? ????.
SR,460,?? ??? ? ????,????? ??? ?? ??? ? ??
SR,461,?? ??? ? ????,???? ??? ?? ??? ? ??
SR,462,?? ??? ? ????,????? ??? ?? ??? ? ??
SR,463,?? ??? ? ????,???? ??? ?? ??? ? ??
SR,464,?? ??? ? ????,??? ??? ?? ??? ? ??
SR,465,?? ????,???? ?????.
SR,466,?? ????,???? ?????.
SR,467,?? ????,?? ?????.
SR,468,?? ????,??? ?????.
SR,469,??? ?? ? ??? ? ???,???? ????? ?? ???
SR,470,??? ?? ? ??? ? ???,???? ????? ?? ???
SR,471,??? ?? ? ??? ? ???,????? ????? ?? ???
SR,472,?? ? ??? ?? ??,??? ? ?? ???? ???
SR,473,?? ? ??? ?? ??,??? ? ?? ???? ???
SR,474,?? ? ??? ?? ??,??? ? ?? ???? ???
SR,475,?? ? ?? ??? ??? ? ???,??? ?? ???? ?? ??? ?? ??? ???
SR,476,?? ? ?? ??? ??? ? ???,??? ?? ???? ?? ??? ?? ??? ???
SR,477,?? ? ?? ??? ??? ? ???,??? ?? ???? ?? ??? ?? ??? ???
SR,478,?? ? ?? ??? ??? ? ???,???? ?? ???? ?? ??? ?? ??? ????
SR,479,?? ? ?? ??? ??? ? ???,???? ?? ???? ?? ??? ?? ??? ????
SR,480,??? ??? ??? ? ?? ?? ?? ???,??? ??? ?? ?? ??? ??? ???
SR,481,??? ??? ??? ? ?? ?? ?? ???,??? ??? ?? ?? ??? ??? ???
SR,482,??? ??? ??? ? ?? ?? ?? ???,??? ??? ?? ?? ??? ??? ???
SR,483,??? ?? ?? ??? ??,??? ??? ??? ??? ???? ??
SR,484,??? ?? ?? ??? ??,??? ??? ??? ??? ???? ??
SR,485,??? ?? ?? ??? ??,???? ??? ??? ??? ???? ??
SR,486,??? ?? ?? ??? ??,???? ??? ??? ??? ???? ??
SR,487,?? ?? ? ?? ?? ???,??? ???? ??? ??? ???
SR,488,?? ?? ? ?? ?? ???,??? ???? ??? ??? ???
SR,489,?? ?? ? ?? ?? ???,???? ???? ??? ??? ???
SR,490,?? ?? ???? ??? ??,??? ??? ???? ??? ??
SR,491,?? ?? ???? ??? ??,??? ??? ???? ??? ??
SR,492,?? ?? ???? ??? ??,???? ??? ???? ??? ??
SR,493,?? ?? 5 ??,???? ?? ?? ???
SR,494,?? ?? 5 ??,????? ?? ?? ???
SR,495,?? ?? 5 ??,???? ?? ?? ???
SR,496,?? ? ? ???,???? ???? ????.
SR,497,?? ? ? ???,??? ???? ????.
SR,498,?? ? ? ???,????? ???? ????.
