gloss,spoken
한국 글자 뜻 불량 사용 안되다,한글 인식이 안되나요?
핸드폰  거래  곳,휴대폰을 거래할 수 있는 곳이 어디입니까?
나 가능 사람 무엇,내가 할 수 있는 사람이 뭐가 있을까
집 안 강아지 방치 두다,집 안에 강아지가 방치되어있어요.
차  빌리다  어디  집,렌트카를 빌리는 집은 어디에 있습니까?
한국  안  착륙  어디  곳,국내선 입국장이 어디에 있습니까?
응급실 차내리다,응급실로 가주세요.
배,배에서 내려드릴까요?
고속터미널 내리다 가다,고속버스터미널로 가주세요.
마포대교 가다,마포대교를 건너주세요.
샛길 곳,골목으로 들어가 볼까요?
고양이 놀다 저녁 되다,고양이들과 놀다보니 어느새 저녁이 다 되었다
남동생 안경 가지다 학교 장소 가다,남동생이 안경을 가지고 학교에 갔다
한국  안  이륙  어디  곳,국내선 출국장은 어디인가요?
가을 보다 세상 노랗다 변하다,가을이 보면 온 세상이 노랗다
학교 차내리다 가다,학교로 가주세요.
나중  또  오다  부탁,나중에 또 이용해 주세요.
여자 위 여자 갑자기 쓰러지다,언니가 갑자기 쓰러지셨어요
안면 사용 불가능 고장,안면 인식이 안되네요.
119 곳 저기 다음 곳,소방서에서 내려주세요.
언덕 저기 곳 다음 도착 내리다,언덕 너머로 내려줄까요?
카드 사용 잘 안되다,카드가 인식되지 않습니다.
서울 곳 찾다 방법 무엇,서울로 가려면 어떻게 가나요?
시청 내리다 오케이,시청에서 내려드릴까요?
이것 때 성격 불 같다 화 많다,이때는 성격이 불같다
장사 불량,장사가 안되나요?
쉬다 곳 주차 되다,휴게소에 주차할 수 있나요?
광고 하다 원하다 돈 얼마,광고를 하고 싶은데 가격이 얼마나 되나요
여기 기차 되다,여기서 기차를  탈 수 있습니다.
밤 다음 도착 내리다,밤 지나서 내려드릴까요?
화나다,화났어?
부모 나 함께 되다 -중,부모님과 함께 되고 있다
사랑 실종 잃어버리다,사랑을 잃어버리셨나요?
다르다 이유,다른 이유를 주세요.
영어 하다 원하다,영어를 하고 싶어
비행기  비행기  안  가지다  가능,비행기를 기내에 가져갈 수 있나요?
나이가 들면 코밑 양쪽으로 생기는 팔자(八) 모양의 금을 나타내는 동작 남성 콩 간 병 쓰러지다,아빠가 신장병에 있는데 쓰러지셨어요.
나무 빽빽하다 곳 다음 도착 내리다,숲 지나서 내려주세요.
나 집 소 오늘 도 낳다,우리 집 소가 오늘 도 송아지를 낳았다
고등 학교 다니다,고등학교에 다니다
미래  찾다  중,미래를 찾고있습니다.
간 저기 곳 다음,간 지나서 내려주세요.
가방  맡기다  수  최고  가능  몇,위탁 수하물의 수 한도는 몇 Kg인가요?
호텔  항공  가깝다  곳,공항 근처에 호텔이 있습니까?
아들 놀다 곳 놀다 신발 손톱 잡다,아들이 놀이터에서 놀다가 발톱이 부러졌어요.
제주  홍보  어느 시간,제주 홍보관은 언제입니까?
당 10분 전,10분 내로 당합니다.
상황 사용 잘 안되다,상황 인식이 안되네요.
캐리어  무게  그 곳,캐리어 무게를 재는 곳은 저쪽인가요?
수 있다 말하다 해보다,무슨 수 있어 말해봐
태어나다 남자 만나다 위하다 명동 가다,아들을 만나러 명동에 갔다
쉬다 날 때문에 주변 장소 사람 많다,휴일이 되어서인지 주변에 사람이 많다
병원 다음 차내리다,병원 지나서 내려주세요.
돈 다이얼을 돌리는 동작 안 도착,금고 안으로 들어가주세요.
사랑 사람 잊다 쉽다 어렵다,사랑했던 사람을 잊는건 어렵다
문 열다 동시에 모두,문을 여는 동시에 모두가 왔다
천안아산역 가다,천안아산역으로 가세요.
불행 기억 잊다 새롭다 시작,나쁜 기억은 잊고 다시 시작하자
운전 천천히,천천히 가주세요
더불다 너무 더럽다,더불어 너무 더럽다
상세  어디  곳,상세 승강장은 어디에 있습니까?
매일 희다 보석 운동 계획 만들다,매일 은 운동하기로 계획하였다
일 끝 쉬다 원하다,근무를 빨리 끝내고 쉬고 싶어
샛길 다음 차내리다,골목길 지나서 내려드릴까요?
뒤 차내리다,뒤로 가주세요.
침대 뱀 물다,침대에서 뱀에게 물렸어요.
여자 나 친하다 여자,그녀는 나와 아주 친한 여자야
칭찬 확인 맞다,칭찬 해드릴까요?
사람 각각 목 말 다르다,사람들은 각각 발음이 다르다
서울  버스  곳  여기,서울 시내로 가는 버스 승강장은 여기에 있습니까?
이야기  느리다  부탁,이야기를 천천히 해주시기 바랍니다.
이마트 다음 곳 내리다,이마트 지나서 내려주세요.
도움 불량 사용 안되다,도움이 안되네요.
당신,당신입니다.
남자 잃다 싫다,그 남자를 잃기 싫어
시내 버스 전 저기 도착 내리다,시내버스정류장 못가서 내려주세요.
미안  정보  주고받다  없다,정보를 주고받을 수 없습니다.
뒤 목적,뒤로 가주세요.
매우 밭 목적 가다,대전대학교로 갈까요?
여자 아기 자다 죽다 몸 보다 행복 미소,그녀는 잠든 아이의 시신을 보고 행복한 미소를 지었다
홍수 집 물 채우다,홍수가 나서 가옥이 물에 잠기고 있어요.
저기 방 안에 자신 있다,저방에 자신이 있어
여자 과거 예 없다 혼자 자녀 3 키우다,그녀는 전례없이 혼자 세 자녀를 키워냈다
일 움직이다 일 마르다 가능,일을 자주 움직여야 살이 빠진다
지방  버스  곳  어디,시외버스 승강장은 어디에 있습니까?
주변 핵,근처에서 핵이 터졌어요.
신  곳,신은 어디에 있습니까?
카드 사용 불가능 안되다,카드 인식이 안되네요.
미안 다시 사람 생기다 아니다 주의,죄송합니다 다신 이런 사람이 없도록 주의하겠습니다.
주먹 심하다,주먹이 쎄다
아기  자유  빌리다  곳,자유 대여소가 어디에 있습니까?
아빠 딸 미국 보내다 위하여 일 열심히,아버지는 딸을 미국으로 유학 보내려고 열심히 일했습니다.
택시 구간 오천원,구간 요금은 오천원입니다.
서대문농아인복지관 내리다,서대문농아인복지관으로 가주세요.
천지 모두 차내리다,우주로 가주세요.
집 가다 짐 맡다 부탁,집에 다녀올테니 잠깐 짐 좀 맡아주세요
세금  공짜  곳  여기,면세점은 여기에 있습니까?
산 개 물다,산에서 개에게 물렸어요.
나 앞 놀다 와,우리앞에 놀러와
생각을 나타내는 동작 통하다 곳,동의대학교로 가주세요.
자동  문열다  출입  싶다  수리  어디,자동출입수리를 하려고 하는데 어디서 하나요?
미래 의사 원하다,커서 의사가 되고 싶다
의자 무엇,의자는 어디에 있습니까?
계획 끝 일 오늘 시작,계획한 일을 수행했다
무엇 꼴 나다 맞다,무슨 꼴이 생긴건 아니야
너 -보다 나 더 예쁘다,내가 자네보다 이뻐
밤 다음 도착 차내리다,밤 지나서 내려주세요.
학교 곳 가다 곳 방법,학교로 가려면 어떻게 가나요?
학교 목적 가다 무엇,학교로 가려면 어떻게 가나요?
오늘 갚다 납부 받다 중에 행복,지금 보상을 받고 있어서 행복하다
마음 힘들다 마음 편하다,마음은 힘들지만 마음을 편하다
3 목적 길 방법,3번 출구로 나가려면 어떻게 해야 하나요?
건너다,건너편에서 내려주세요.
집 무엇,집이 어디에 있나요?
밤 저기 다음 도착 차내리다,밤 지나서 내려주세요.
미래 잊다,미래가 무엇인지 잊어버렸다
종로 가다,종로역.
아파트 안 가다,아파트 단지 내부으로 가주세요.
우산 잃어버리다,우산을 잃어버렸습니다.
저 대전 살다 -중,저는 대전에 살고 있어
비교 사용 안되다 불가능,비교가 안되네요.
돈  바꾸다1  어디  곳,환전은 어디서 하나요?
칼  짐  맡기다  가능,칼을 위탁 수하물로 보낼 수 있나요?
집 여러 가지 안 도착,건물 단지 안으로 들어갈까요?
캐리어  무게  어디  곳,캐리어 무게를 재는 위치는 어디인가요?
오늘 너 배달 돌다,오늘은 네가 배달을 돌아
조직 모양,구조 승강장은 어디에 있습니까?
착하다 인간 화 더 무섭다,온순한 인간이 화를 내면 더 무섭다
여행  오락 놀다  가입  어디  곳,여행자게임을 가입하고 싶은데 어디서 하면 되나요?
집 여러 가지 너무 넓다 혼자 밤 무섭다,건물이 혼자 쓰기에 너무 넓어서 밤에는 무섭다
아프다 원인 중 입원,아파서 중에 입원했다
땀 때문에 물 울다 내려가다 불편하다,땀 때문에 눈물이 자꾸 흘러서 불편하다
지갑 실종,지갑을 분실하셨나요?
이화여대 가다 목적 무엇 방법,이화여대쪽으로 가려면 어떻게 가나요?
고속버스 곳 내리다 맞다,고속버스정류장에서 내려드릴까요?
택시  무엇  곳,택시 승강장은 무엇에 있습니까?
학교 목적,학교로 가주세요.
고생 두 가지 고생이 겹치다 바쁘다,고생이 많아서 너무 바쁘다
살다 기 들어 올리는 것을 나타내는 동작 ?,거기서 살아
여의도 찾다 방법,여의도로 가려면 어떻게 가나요?
핸드폰 번호,핸드폰 번호입니다.
말 가다 내리다,말로 갈까요?
가슴 문 손 끼다,가슴이 문틈에 손이 끼었어요.
차  빌리다  일,렌트카를 빌리는 일은 어디에 있습니까?
내리다 시간 알려주다,내릴 때 알려드릴까요?
편의점  곳  어느 시간,편의점은 언제에 있습니까?
송파 지하철 가다 원하다 길 가다 방법,송파역으로 가려면 어떻게 가나요?
다르다 정보,다른 정보를 주세요.
한국  항공  표  곳  그 곳,대한항공 카운터는 저쪽에 있습니까?
때 같다 아마,때가 올 것 같다
노트북 잃어버리다,노트북을 잃어버렸어요.
나 가족 행복 하다,우리 가족은 행복하게 하고 있다
여행  연맹 합  가입  어디,여행자연합을 가입하고 싶은데 어디서 하면 되나요?
남성 술 마시다 때문에 고생,남성이 술을 마시기 때문에 힘들다
소매 날다 실종 잃어버리다,날개를 잃어버렸습니다.
아기  쉬다  기 들어 올리는 것을 나타내는 동작,유아 휴게실은 거기에 있습니까?
버스  곳  어디,시내버스 정류장이 어디인가요?
서울역 쓰다 목적 지하철 갈아타다 몇호,서울역으로 쓰려면 몇호선으로 갈아타야 하나요?
지름길 차내리다 가다,지름길로 가주세요.
주유소 주차 되다,주유소에 주차할 수 있나요?
저기 아파트 가다,아파트 단지 안으로 들어가시기 바랍니다.
옷 크다 찾다 불가능,옷이 너무 커서 찾을 수 없다
버스 곳 내리다 맞다,버스정류소에서 내려주세요.
아빠 방학 때 아들 유치원 보내다,아빠는 방학이면 아들을 유치원에 보냈다
보건소 곳 다음 내리다,보건소 지나서 내려드릴까요?
신분당 곳 무엇,신분당선은 어디서 타나요?
바람 곳 다음 도착 내리다,바람 지나서 내려드릴까요?
제일  가깝다  곳  찾다  드리다,가장 가까운 곳으로 검색해드리겠습니다.
미래 만들다 사람 원하다,커서 작가가 되고 싶다
기차 곳 가다 내리다,김포역으로 갈까요?
언덕 저기 곳 다음 도착 차내리다,언덕 지나서 내려주세요.
꼬리 위쪼이다 아프다,꼬리가 꼬이듯 아픕니다.
중 사이 곳 다음 내리다,중간정류장 지나서 내려드릴까요?
그 곳 1호 되다,저기서 1호선을 탈 수 있습니다.
참 정직 곳 무엇,진실은 어디에 있나요?
생각 무엇,무슨 사고해
희다 보석 아직,아직 은 안 했나요?
망치 이용 꽃 만들다,망치로 꽃을 만들다
커피  곳,커피숍은 어디에 있습니까?
택시 전 저기 차내리다,택시정류장 못가서 내려주세요.
지갑 실종,지갑을 잃어 버렸다.
고생 많다,수고가 많았소
시간 지키다 필요,시간을 지켜야 한다
그네 안내하다 도움받다,그네 타는 것 좀 도와주세요.
캐리어  무게  곳  이것 곳,캐리어 무게를 재는 곳은 이쪽인가요?
반지 실종 잃어버리다,반지를 분실하였습니다.
주변 곳 붕괴,근처에 있는 곳이 붕괴되고 있어요.
공항 버스 곳 전 보다 도착 차내리다,공항버스승차장 못가서 내려주세요.
지하철 반대 건너다 나가다,반대편 승차장으로 나가려고 합니다.
노트북  짐  맡기다  가능,노트북을 위탁 수하물로 보낼 수 있나요?
물건  검사  두다  어디,코인 로커는 어디에 있습니까?
닭 만들다 원하다,치킨 만들고 싶어
소  돼지  키우다  검사  얘기  곳  어디,축산관계자 얘기는 어디서 하나요?
맞다,맞나요?
자동  문열다  숨다 성질  싶다  신고  곳  어디,자동음성신고를 하려고 하는데 어디서 하나요?
시내 버스 전 저기 내리다,시내버스정류장 못가서 내려주세요.
구경 여행 안 곳,관광 단지 안으로 가주세요.
친구 없다 실종,친구를 잃어버렸습니다.
도움 가능,도움도 됩니다.
물  컵  무엇,정수기는 무엇에 있습니까?
옷 크다 입다 불가능,옷이 너무 커서 입기 힘들다
도움 고장 잘 안되다,도움이 안되네요.
키 작다 정말 힘 세다,키는 작아도 실력은 세다
한국  안  착륙  그 곳,국내선 입국장이 저기에 있습니까?
친구 쉼쉬다 안되다,친구가 숨을 안 쉬는 것 같아요.
중앙 전 곳 도착 차내리다,중앙정류장 못가서 내려주세요.
돈 많다 하루 얻다 가능 불가능,그 많은 돈을 하루만에 얻는건 불가능해
너 미래 친하다,이제부터 너와 친하게 지내자
자신 위하다 운동 필요,자신을 위해 운동해야 한다
목을 자르는 동작 숨 실종 없다,목숨을 잃어버렸습니다.
자유 없다 실종,자유를 잃어버리셨나요?
성 내리다 가다,김포성으로 갈까요?
물건  포장  그 곳,물건을 포장해서 붙이고 싶은데 저기서 하나요?
도망치다 목적 학교 가다,도망치기 위해 학교에 갔다
물건  생각  곳  어디,물건을 생각해서 붙이고 싶은데 어디서 하나요?
무섭다 이야기 하지마 제발,무서운 이야기는 제발 그만둬요
다음 몇분,다음 역까지 몇 분이 걸리나요?
담배  차  짐  맡기다  가능,차를 위탁 수하물로 보낼 수 있나요?
아이 실종,아이를 잃었나요?
불행 만나다 아니다 다행,불행 중 다행이다
집 불 넘어오다,집에 불이 들어왔어요.
부탁본인 일 있다 나 먼저 가다,당부한 일이 있어서 먼저 갈게
차  맡기다  어디,발렛 차량은 어디에서 찾을 수 있나요?
어머니 자녀 독하다 키우다,우리 어머니는 자식들을 엄하게 키우셨다
나 사람 돌아가다 슬프다,나는 사람의 죽음이 한없이 슬펐다
영수증,영수증을 주세요.
미래 부탁 하지마,앞으로 부탁하지마
공항 버스 보다 곳 전 내리다,공항버스정류장 못가서 내려주세요.
읽다 집 전 저기,도서관 못가서 내려주세요.
신호등 횡단보도 여기,횡단보도를 건너?
항상 되다 원하다,항상 되고 싶어
여기 곳 서대문구 홍제동 한양 교차 도로 집 위 곳 사람 추락 목적 서다,여기 서대문구 홍제동 한양사거리인데 옥상에서 사람이 떨어지려고해요.
길 곳 다음,길 지나서 내려드릴까요?
버스 여기 되다,여기서 버스를 탈 수 있습니다.
요리 더 배우다 원하다,요리를 더 배우고 싶다
아버지 방학 때 아들 시골 보내다,아버지는 방학이면 아들을 시골에 보냈다
몸 느낌 시원,몸이 시원하다
공항 버스 보다 전 곳 차내리다,공항버스정류장 못가서 내려주세요.
저기 맞다,저기서 내려주세요.
반지 장 나 함께 살다 -중,왕자님과 함께 살고 있다
너 -보다 소리 더 마르다,너보다 그 소리가 더 말랐어
돈주다 돈얼마,얼마인가요?
준비 안되다,준비가 안되나요?
양심 없다,양심이 없다
택시 전 저기 곳 차내리다,택시정거장 못가서 내려주세요.
더럽다 빨리 죽다,더러우니까 빨리 죽어
가슴 아프다,가슴이 아프다
자연 대하여 생각,자연에 대하여 생각하다
기 들어 올리는 것을 나타내는 동작 연기 불 느끼다,거기선가 연기가 나요. 불이 나고 있는 것 같아요.
학교 전 내리다,학교 못가서 내려주세요.
가슴 크다,가슴이 크다
화장실  이것 곳  곳,화장실은 이곳에 있습니까?
목 움직이다 목 마르다 가능,목을 자주 움직여야 살이 빠진다
집  항공  가깝다  어디  곳,공항 주변에 집은 어디있나요?
얼마 전 차내리다,얼마 못가서 내려주세요.
부서 입다 끝,동아리를 입었어
핸드폰 찾다 실종,핸드폰을 분실하셨나요?
형 책 필요 동생 시키다 책 장소 보내다,형은 서적을 사오라고 동생을 서점에 보냈다
방송 시간 저녁 9시 정도,방송시간은 오후 9시가 되겠습니다
남 지역 전 저기 내리다,남부정류장 못가서 내려주세요.
나사렛 내리다 가다,나사렛대학교로 갈까요?
미안 다시 말 생기다 아니다 주의,죄송합니다 다신 이런 말이 없도록 주의하겠습니다.
지다 대표  무게  곳  어디,대사 무게를 재는 곳은 어디인가요?
단말기터치 사용 불가능 고장,카드가 인식되지 않습니다.
질문 있다,질문이 있으세요?
저기 일 보다 싫다,그 일은 보기 싫어
감사 잘 살다 계속,어머나 고마워요 잘 지내겠습니다
버스  곳  기 들어 올리는 것을 나타내는 동작,시내버스 승강장은 거기에 있습니까?
도망 전 차내리다,도망 못가서 내려주세요.
독 버섯 잃다 같다,독버섯을 잃은 것 같아요.
주변 일 발생,근처에서 사건이 터졌어요.
공기청정기 사용 안되다 불량,공기청정기가 안되네요.
안심 사용 불가능 고장,안심이 안되네요.
택시 전 저기 곳 내리다,택시승차장 못가서 내려주세요.
공기청정기 안되다 불량,공기청정기가 안되네요.
말 필요 같다,말할 필요가 있을것 같아
시내 버스 곳 전 보다 내리다,시내버스정류장 못가서 내려주세요.
시간 지연되다,지연되었습니다.
용기 잃어버리다,용기를 잃어버렸습니다.
바람 높다 추락 머리 피흐르다,바람이 높은데서 떨어져서 머리에서 피나요.
사슴 쓰다 빠르다,사슴이 쓰면 빠르다
학교 안 도착,학교 내부으로 들어가주세요.
나무 이용 만들다 집 수 많다,나무로 만든 집은 수가 많다
짓 없다 심심하다,할 짓이 없어서 심심하다
빛 보다 차내리다,빛이 보이면 내려드릴까요?
누나 동생 물 시키다 시장 보내다,누나가 동생을 시장에 물을 보냈다
사람 각각 할 수 있다 힘 다르다,사람들은 각각 능력이 다르다
에어컨 불량 사용 안되다,에어컨이 안되네요.
중앙 전 곳,중앙대학교 못가서 내려주세요.
차 건너다 신호등  차내리다,차 지나 횡단보도 앞에서 세워주세요.
오늘 너 배달 맡다,오늘은 너가 배달을 맡아
칭찬 듣다 끝 좋다,칭찬을 들었더니 끝이 좋다
지방  버스  곳,시외버스정류장이 어디인가요?
핸드폰 잃어버리다 실종,핸드폰을 분실하셨나요?
비밀 있다,비밀이 있습니다.
항공  배달  지부 곳  어디,공항 내 택배를 보낼 수 있는 지점이 어디입니까?
몸 아프다 병원 가다 오다,나는 아파서 병원에 갔다
시간 곳 다음 도착 내리다,시간 지나서 내려주세요.
먹다  여기,식당은 여기에 있습니까?
고민 있다 말하다 해보다,무슨 일이야
지금 그녀 건강 너무 좋다,지금 그녀의 건강은 매우 좋습니다.
우산 실종 잃어버리다,우산을 잃어버렸어요.
영등포 길 찾다 방법 무엇,영등포로 가려면 어떻게 가나요?
사랑 끝 일 오늘 시작,사랑했던 일을 실천했다
여자 돌보다 힘 없어지다,여자를 돌보면 힘이 빠지는 것 같다
노트북 사라지다 실종,노트북을 잃어버렸습니다.
빌다 부탁 전 차내리다,제발 못가서 내려주세요.
주차  1번  곳  누구,제1 주차장은 누구에 있습니까?
파랑 새 곳 길,파랑새는 어디에 있나요?
물 저기 곳 다음 내리다,물 지나서 내려드릴까요?
좌회전 맞다,좌회전 해드릴까요?
저기 내리다 맞다,저기서 내려주세요.
유치원 다니다,유치원에 다니다
사춘기 아들 볼 수염 나다,사춘기가 된 아들의 볼에 수염이 나기 시작했다
오락 놀다,게임 좀 켜드릴까요?
맥도날드 보다 곳 저기 다음 차내리다,맥도날드 지나서 내려주세요.
닮다 일 완료 끝,닮은 역할을 거뜬히 해낸다
반지 하다 원하다 돈 얼마,반지를 하고 싶은데 가격이 얼마나 되나요
단말기터치 잘 안되다,카드가 인식되지 않습니까?
캐리어  무게  누구,캐리어 무게를 재는 곳은 누구인가요?
부모 나 함께 뛰다 -중,부모님과 함께 뛰고 있다
임시  빌리다  곳  어디,임시 대여소가 어디에 있습니까?
아이 사라지다 실종,아이를 잃어버리셨나요?
서울 길 찾다 무엇 방법,서울로 가려면 어떻게 가나요?
병원 전 차내리다,병원 못가서 내려주세요.
아이 지금 5 죽다,아이가 다섯 살이 죽었다
누가 벼락 엄지손가락,어떤 사람이 벼락을 맞았어요.
은행 저기 곳 다음,은행 지나서 내려주세요.
서울역 들어가다 목적 지하철 갈아타다 몇호,서울역으로 들어가려면 몇호선으로 갈아타야 하나요?
지금 내리다,여기서 내리시겠습니까?
세상 위하다 운동 필요,세상을 위해 운동해야 한다
공항 버스 보다 전 곳 내리다,공항버스정류장 못가서 내려주세요.
은행  곳  무엇,은행은 무엇에 있습니까?
밤 되다 -면 위험 빨리 오다,밤 늦게 되면 위험하니 일찍 들어와
자동  문열다  출입  싶다  조사  어디,자동출입조사를 하려고 하는데 어디서 하나요?
빨리 접근 가능,다와갑니다.
선생님 자신 뜨겁다 마음 가르치다 열심히,선생님이 자신에게 열정으로 가르치고 있다
사람 무엇 길,사람은 어디에 있나요?
중국  먹다  어디,중국집은 어디에 있나요?
부모 나 함께 살다 계속 -중,부모님과 함께 지내고 있다
부하 각각 성격 다르다,부하들은 각각 성격이 다르다
몸 힘들다 마음 편하다,몸은 힘들지만 심정을 편하다
아기  집 얼마 얼마  빌리다  곳  어디,주소 대여소가 어디에 있습니까?
아시아  항공  표  그 곳  곳,아시아나항공 카운터는 저기에 있습니까?
택시 일반 오천원,일반 요금은 오천원입니다.
좌회전 맞다,좌회전이 맞습니다.
와이파이2  빌리다  어디,와이파이는 어디서 빌릴 수 있나요?
송파 지하철 길 목적 무엇,송파역으로 가려면 어떻게 가나요?
어제 몸 아프다 오늘 괜찮다,어제 아팠는데 지금은 괜찮아
우회전 차내리다,우회전하여 내리시기 바랍니다.
회의실 곳 무엇,회의실은 어디에 있습니까?
선생님 길 장소 데려가다,선생님이 길에 데려다 주셨다
남자 아버지 운전 방법 가르치다 주다,남자는 아버지에게 운전을 가르쳤다
마귀 방법 저기,마법 단지 안으로 들어갈까요?
쌀 이용 공 만들다 먹다 끝,쌀로 공을 만들어 먹었다
안면 사용 불가능 안되다,안면 인식이 안되네요.
비행기  안  물  병  가지다  가능,물병을 기내에 가져갈 수 있나요?
돈 많다 하루 벌다 가능 불가능,그 많은 돈을 하루만에 벌는건 불가능해
기다리다 지루하다,기다리다 지쳤어
샛길 다음 차내리다,골목 지나서 내려주세요.
서울 무엇 방법,서울로 가려면 어떻게 가나요?
여기 차내리다 맞다,여기서 내려드릴까요?
나 이름 동시에 부르다,동시에 나를 불렀다
쉬다 -때 생각 읽다 끝,쉬는 시간에 생각을 읽었어
누나 동생 심부름 시키다 방 보내다,누나가 동생을 방에 심부름을 보냈다
보다,보겠습니다.
집 차내리다 오케이,집으로 가주세요.
생각 -보다 돈 많다,생각보다 돈이 많이 왔네
약속 중요 있다 나 먼저 가다,중요한 약속이 있어서 먼저 갈게
차 넘어지다 서다 불가능,차를 타다가 넘어져서 못 일어나겠어요.
남자 저 불편하다 생각 아마,그는 저를 불편하게 생각하는거 같았어
이익 손해 고장 사용 불가능,이해가 안되네요.
나 가능 일 무엇,내가 할 수 있는 노동이 뭐가 있을까
아빠 방학 때 매일 시골 보내다,아빠는 방학이면 매일을 시골에 보냈다
한국  항공  표  그 곳,대한항공 카운터는 저기에 있습니까?
택시 추가 만원,추가 요금은 만원입니다.
남동생 공 세우다 학교 장소 가다,남동생이 공을 세우고 학교에 갔다
한국  안  다르다  나라  착륙  그 곳  곳,국제선 입국장이 저기에 있습니까?
고양이 미치다 병 물다,광견병에 걸린 고양이에게 물렸어요.
언니 생일 믿다,언니의 생일을 믿었다
박자 위쪼이다 아프다,박자가 꼬이듯 아픕니다.
북 부 전 곳 저기 내리다,북부정류장 못가서 내려주세요.
자동  문열다  이동  싶다  신고  어디,자동이동신고를 하려고 하는데 어디서 하나요?
물춥물다물 물끄물다물,물을 꺼드릴까요?
택시 카톡보내다,콜을 부를까요?
명동 목적,명동역으로 갈까요?
항공  쉬다  서비스  여기  곳,항공사 라운지는 여기에 있습니까?
주차  1번  기 들어 올리는 것을 나타내는 동작,제1 주차장은 거기에 있습니까?
서울 가다 방법,서울로 가려면 어떻게 가나요?
핸드폰  조작  곳,휴대폰을 조작할 수 있는 곳이 어디입니까?
나 사랑 자녀 있다,나에게는 사랑과 자식들이 있다
몸 아프다 여행 가다 오다,아파서 여행에 다녀왔어
부탁본인 말 있다 나 먼저 가다,부탁한 말이 있어서 먼저 갈게
소  돼지  키우다  검사  신고  나  곳,축산관계자 신고는 나서 하나요?
엄마 이야기 듣다 짜증,엄마한테 이야기를 들었더니 짜증나
누가 거리 곳 정보 머리 흐르다,어떤 사람이 길거리에서 정보를 많이 흘리고 있어요.
타다 곳 맞다,타는 장소가 맞나요?
돈 얼마 맞다 할인,요금 할인해주세요.
택시 전 저기 곳 도착 내리다,택시정류장 못가서 내려주세요.
차  빌리다  수단 정하다,렌트카를 빌리는 법은 어디에 있습니까?
시내 버스 곳 전 보다 도착 내리다,시내버스정류장 못가서 내려주세요.
사람 곳,사람은 어디에 있나요?
핸드폰  충전  네모  짐  맡기다  가능,휴대전화 보조 배터리를 위탁 수하물로 보낼 수 있나요?
샛길 저기 다음 도착 차내리다,골목길 지나서 내려드릴까요?
