gloss,spoken
"에어컨 사용 안되다 고장 ? > 에어컨이 안되나요?
열쇠 사라지다 실종 > ",열쇠를 잃어버렸습니다.
"여기 차내리다 맞다 > 여기서 내려주세요.
새롭다 채소 나다 > ",새싹이 나다
"헤어지다 > 헤어지다
계산 남다 돈주다 ? > ",잔돈드릴까요?
"파리바게트 다음 저기 곳 > 파리바게트 지나서 내려주세요.
뒤 들어올리다 > ",트렁크 좀 열어주세요.
"자판기 고장 죽다 > 자판기가 안되네요.
너 때문에 못하다 > ",너 때문에 못했잖아
"단말기터치 사용 안되다 ? > 카드 인식이 안되나요?
경찰 저기 곳 다음 차내리다 > ",경찰서 지나서 내려주세요.
"응급실 내리다 > 응급실로 가주세요.
편지 곳 ? > ",우체국은 어디에 있습니까?
"화나다 > 화났습니다.
3 찾다 곳 방법 ? > ",3번 출구로 나가려면 어떻게 가나요?
"장애인복지카드 > 장애인 복지 카드입니다.
한국농아인협회 목적 > ",한국농아인협회로 가주세요.
"편의점 곳 ? > 편의점은 어디에 있습니까?
내일 괜찮다 아마 > ",내일이면 괜찮겠지
"도착 몇분 ? > 도착하려면 몇 분 남았을까요?
언니 발 너무 작다 > ",언니는 발이 유난히 작다
"파리바게트 다음 곳 저기 > 파리바게트 지나서 내려주세요.
유턴 맞다 > ",유턴 맞습니다.
"수화물 ? > 수하물을 분실하였습니다. 어떻게 하나요?
저기 맞다 > ",저기서 내려주세요.
"지하철 곳 다음 내리다 ? > 지하철역 지나서 내려드릴까요?
지름길 내리다 가다 ? > ",지름길로 갈까요?
"일본 먹다 곳 ? > 일식집이 어디에 있습니까?
종로 가다 방법 ? > ",종로역으로 어떻게 가나요?
"에어컨 고장 잘 안되다 ? > 에어컨이 안되나요?
지하철 빨리 오다오다 ? > ",이번 열차는 급행 열차인가요?
"공항 목적 가다 ? > 김포공항으로 갈까요?
신분증 ? > ",주민등록증 있으세요?
"행복 > 행복
도착 10분 ? > ",10분 뒤에 도착하나요?
"공기청정기 안되다 불량 > 공기청정기가 안되네요.
알다 ? > ",아시겠죠?
"카드 사용 불가능 고장 ? > 카드 인식이 안되나요?
공기청정기 사용 안되다 불량 > ",공기청정기가 안되네요.
"지갑 잃어버리다 없다 > 지갑을 잃어버렸습니다.
고속터미널 도착 가다 > ",고속버스터미널로 가주세요.
"바다 배 길 실종 > 바다에서 조난을 당했어요.
수레 빌리다 어디 ? > ",휠체어 대여소가 어디에 있습니까?
"좌회전 확인 맞다 > 좌회전이 맞습니다.
병원 다음 차내리다 > ",병원 지나서 내려주세요.
"엘리베이터 곳 ? > 엘리베이터는 어디에 있나요?
한국농아인협회 가다 ? > ",한국농아인협회에서 내려드릴까요?
"신호등 횡단보도 건너다 > 횡단보도 지나서 내려주세요.
신호등 전 차내리다 > ",신호등 못가서 내려주세요.
"항공 ? > 항공사 카운터는 어디에 있습니까?
미래 무엇 하다 ? > ",이따 뭐할까?
"샛길 가다 > 골목으로 들어가주세요.
청소 깨끗하다 약속 > ",깨끗하게 청소해라
"아이 실종 > 아이를 잃어버렸습니다.
보건소 곳 다음 여기 ? > ",보건소 지나서 내려드릴까요?
"회사 다니다 -중 > 회사를 다니고 있어
카드 실종 잃어버리다 ? > ",카드를 분실하셨나요?
"3 찾다 길 무엇 ? > 3번 출구로 나가려면 어떻게 가나요?
손 들다 움직이다 쏘다 > ",꼼짝말고 손들어 움직이면 쏜다
"아이 찾다 실종 > 아이를 잃어버렸습니다.
원래 ? > ",원래 그런가요?
"노트북 없다 잃어버리다 > 노트북을 잃어버렸습니다.
운전 빨리 > ",빨리 가주세요.
"당신 > 당신입니다.
좌회전 확인 맞다 ? > ",좌회전 해드릴까요?
"버스 곳 차내리다 맞다 ? > 버스정류장에서 내려드릴까요?
누구 ? > ",누구요?
"지하철 갈아타다 몇호 ? > 몇 호선으로 갈아타야 하나요?
학교 보다 차내리다 ? > ",학교가 보이면 내려드릴까요?
"버스 번호 ? > 몇 번 버스인가요?
노트북 잃어버리다 실종 > ",노트북을 잃어버렸습니다.
"지금 카드 충전 가능 ? > 지금 카드를 충전할 수 있나요?
시간 지연되다 > ",지연되었습니다.
"손바닥찍다 차내리다 가다 ? > 이 주소로 갈까요?
카페 곳 어디 ? > ",커피숍은 어디에 있습니까?
"신호등 다음 차내리다 ? > 저기 신호등 건너서 세워드릴까요?
건너다 차내리다 > ",건너편에서 내려주세요.
"차밀리다 괜찮다 ? > 차가 막히는데, 괜찮으세요?
은행 저기 곳 다음 도착 차내리다 > ",은행 지나서 내려주세요.
"시험 어렵다 > 시험이 어려웠다
계단 무엇 ? > ",계단은 어디에 있나요?
"자판기 불량 ? > 자판기가 안되나요?
우회전 맞다 > ",우회전이 맞습니다.
"아이 잃어버리다 ? > 아이를 잃어버리셨나요?
1호 맞다 > ",1호선이 맞습니다.
"서대문농아인복지관 가다 > 서대문농아인복지관으로 가주세요.
청음회관 목적 > ",청음회관으로 가주세요.
"무엇 일 나다 맞다 > 무슨 일이 생긴건 아니야
방 따뜻하다 기분 좋다 > ",방이 너무 따뜻해서 기분이 좋다
"돈 바꾸다 곳 어디 ? > 환전은 어디서 하나요?
누가 칼 가지다 > ",어떤 사람이 무기/흉기를 소지하고 있어요.
"좌회전 맞다 ? > 좌회전 맞으시죠?
날 좋다 > ",날씨가 좋다
"119 곳 다음 차내리다 > 소방서 지나서 내려주세요.
자유 살다 > ",자유를 누리다
"왜 ? > 왜요?
영수증 받다 > ",영수증을 주세요.
"육교 곳 다음 여기 ? > 육교 지나서 내려드릴까요?
차밀리다 심하다 > ",차가 막힙니다.
"시청 오케이 ? > 시청에서 내려드릴까요?
크다 > ",크다
"명동 곳 ? > 명동역으로 갈까요?
자판기 사용 불가능 > ",자판기가 안되네요.
"지름길 차내리다 > 골목 들어가서 세워주세요.
책 어디 ? > ",서점은 어디에 있습니까?
"서울역 차내리다 가다 > 서울역으로 가주세요.
시계 잃어버리다 > ",시계를 분실하였습니다.
"아프다 > 아프다
귀찮다 말하다 일 하다 > ",귀찮다면서 할건 다하네
"만나다 반갑다 > 만나서 반갑습니다.
병원 저기 다음 곳 > ",병원 지나서 내려주세요.
"은행 무엇 길 ? > 은행은 어디에 있나요?
카드 고장 안되다 ? > ",카드 인식이 안되나요?
"우산 사라지다 실종 > 우산을 분실하였습니다.
서울농아인협회 내리다 ? > ",서울농아인협회에서 내려드릴까요?
"버스 전 곳 저기 차내리다 > 버스정류장 못가서 내려주세요.
아이 잃어버리다 > ",아이를 잃어버렸습니다.
"처음 가다 먹다 괜찮다 > 처음 가본 그 집 음식맛이 괜찮았다
벌 크다 침 팔 주사 > ",말벌에게 쏘였어요.
"카드 1회 > 1회용 카드입니다.
유턴 맞다 ? > ",유턴 해드릴까요?
"한국 안 이륙 어디 ? > 국내선 출국장이 어디에 있습니까?
다니다 > ",다니다
"신호등 곳 차내리다 > 저기 신호등 앞에 세워주세요.
지하철 곳 명동 맞다 > ",명동역이 맞습니다.
"공항 차내리다 가다 ? > 김포공항으로 갈까요?
택시 문자보내다 나 > ",제가 콜을 불렀습니다.
"우회전 맞다 ? > 우회전 해드릴까요?
여기 차내리다 맞다 ? > ",여기서 내려드릴까요?
"손바닥찍다 내리다 > 이 주소로 가주세요.
얼굴 붓다 귀엽다 > ",얼굴에 살이 오르니 귀여워 보인다
"지하철 곳 카페 있다 > 역사 안에 커피숍이 있습니다.
미안합니다 > ",죄송합니다.
"낳다 > 낳다
나사렛 내리다 가다 ? > ",나사렛대학교로 갈까요?
"지갑 실종 잃어버리다 > 지갑을 잃어버렸습니다.
차 빌리다 어디 ? > ",렌트카를 빌리는 곳은 어디에 있습니까?
"보청기 실종 > 보청기를 잃어버렸습니다.
열쇠 찾다 실종 ? > ",열쇠를 잃어버리셨나요?
"포기 하지마 > 포기하지마
쓰다 저장 기억 가능 > ",메모해야 기억하기 쉽다
"사거리 다음 도착 차내리다 > 사거리 지나서 내려주세요.
일 많다 혼자 불가능 > ",이 많은 일을 혼자서 맡는건 불가능해
"기차 곳 맞다 > 기차역에서 내려주세요.
따뜻하다 끄다 ? > ",히터를 꺼드릴까요?
"아이 잃어버리다 실종 > 아이를 잃어버렸습니다.
우산 사라지다 실종 ? > ",우산을 잃어버리셨나요?
"포기 원하다 > 포기하고 싶다
손 크다 대단하다 > ",손이 정말 크다
"청음회관 차내리다 ? > 청음회관에서 내려드릴까요?
응급실 내리다 > ",응급실로 가주세요.
"마포대교 가다 > 마포대교로 건너가주세요.
좌회전 맞다 ? > ",좌회전 맞으시죠?
"나 가능 일 무엇 ? > 내가 할 수 있는 일이 뭐가 있을까?
건너다 차내리다 오케이 ? > ",건너편에서 내려드릴까요?
"백화점 곳 다음 보다 차내리다 > 백화점 지나서 내려주세요.
고속 돈주다 > ",고속도로 통행료를 내야 합니다.
"시청 차내리다 > 시청으로 가주세요.
은행 번호 필요 ? > ",계좌번호 알려드릴까요?
"힘들다 위로 원하다 > 너무 힘들어서 위로 받고 싶다
단말기터치 고장 죽다 ? > ",카드 인식이 안되나요?
"도착 아직 ? > 아직 도착 안 했나요?
와이파이 ? > ",와이파이 신청이 가능한가요?
"도착 1시 ? > 1시에 도착하나요?
점심 먹다 끝 > ",점심 먹었어
"상처 받다 미안 > 상처 받았다면 미안해
집 흔들리다 > ",집이 흔들려요.
"영수증 받다 > 영수증을 주세요.
백화점 다음 곳 저기 내리다 > ",백화점 지나서 내려주세요.
"카드 실종 ? > 카드를 분실하셨나요?
병원 다음 내리다 ? > ",병원 지나서 내려드릴까요?
"담배 어디 곳 ? > 흡연실은 어디에 있습니까?
나사렛 전 도착 차내리다 > ",나사렛대학교 못가서 내려주세요.
"나사렛 차내리다 가다 ? > 나사렛대학교로 갈까요?
자판기 길 ? > ",자판기는 어디에 있나요?
"카드 되다 ? > 카드도 되나요?
타다 > ",타다
"수고 > 수고하셨습니다.
항상 > ",늘 그렇습니다.
"지갑 잃어버리다 실종 > 지갑을 잃어버렸습니다.
신분당 곳 > ",신분당선을 타는 곳입니다.
"돈 없다 > 돈이 없다
나사렛 차내리다 가다 ? > ",나사렛대학교로 갈까요?
"단말기터치 다시 > 카드를 다시 대세요.
에어컨 사용 잘 안되다 ? > ",에어컨이 안되나요?
"있다 ? > 있나요?
명동 차내리다 ? > ",명동역으로 갈까요?
"학교 보다 차내리다 > 학교 좀 들렀다가주세요.
백화점 다음 곳 보다 내리다 > ",백화점 지나서 내려주세요.
"도착 1시간 전 ? > 1시간 내로 도착하나요?
지하철오다 아직 ? > ",열차가 아직 안 들어오나요?
"시청 내리다 오케이 ? > 시청에서 내려드릴까요?
도착 아직 > ",아직 도착 안 했습니다.
"오늘 하루 수고 > 오늘도 수고 많으셨습니다.
가방 없다 잃어버리다 > ",가방을 잃어버렸습니다.
"약 무엇 ? > 약국은 어디에 있나요?
엄마 헤어지다 슬프다 > ",엄마와 헤어지게 되어 슬펐다
"우회전 맞다 ? > 우회전 해드릴까요?
카드 ? > ",카드 결제 되나요?
"안되다 > 안 됩니다.
택시 전 저기 곳 차내리다 > ",택시정류장 못가서 내려주세요.
"한국농아인협회 가다 > 한국농아인협회로 가주세요.
지하철 곳 9호 > ",9호선 타는 곳입니다.
"열쇠 잃어버리다 > 열쇠를 잃어버렸습니다.
돈 바꾸다 어디 ? > ",환전은 어디서 하나요?
"버스 곳 다음 차내리다 ? > 버스정류장 지나서 내려드릴까요?
오늘 만나다 가능 > ",오늘 만날 수 있어
"항공 가다 검사 곳 어디 ? > 탑승수속은 어디에서 하나요?
너 오다 그렇다면 감사 > ",네가 와주면 고맙겠구나
"지름길 도착 가다 ? > 지름길로 갈까요?
1호 맞다 ? > ",1호선이 맞나요?
"아프다 참다 불가능 > 아파서 못 참을것 같아요.
카드 가능 > ",카드도 됩니다.
"차밀리다 > 차가 막힙니다.
가방 잃어버리다 실종 ? > ",가방을 분실하셨나요?
"대로 다음 도착 차내리다 ? > 큰 길 지나서 내려드릴까요?
손바닥찍다 가다 > ",이 주소로 가주세요.
"여기 맞다 > 여기가 맞습니다.
짐 차 트렁크열다 나르다 > ",트렁크에 짐을 넣겠습니다.
"지하철 가다 빨리 방법 ? > 어떻게 가는 것이 빠른가요?
기차 곳 내리다 맞다 > ",기차역에서 내려주세요.
"나사렛 오케이 ? > 나사렛대학교에서 내려드릴까요?
차밀리다 기다리다 > ",차가 막힙니다.
"자유 > 자유
여기 1호 되다 ? > ",여기서 1호선을 탈 수 있나요?
"샛길 저기 곳 > 골목으로 들어가주세요.
사거리 다음 여기 > ",사거리 지나서 내려주세요.
"카드 잃어버리다 실종 ? > 카드를 분실하셨나요?
병원 저기 다음 도착 차내리다 > ",병원 지나서 내려주세요.
"싫다 > 싫다
카드 실종 > ",카드를 잃어버렸습니다.
"밤 12시 후 돈 추가 > 심야 할증 요금이 적용됩니다.
난방 사용 안되다 불가능 > ",히터가 안되네요.
"가지다 > 가지다
유턴 맞다 ? > ",유턴 맞으시죠?
"다음 몇분 ? > 다음 역까지 몇 분 걸리나요?
주차 1번 어디 ? > ",제1 주차장은 어디에 있습니까?
"나 미래 친하다 > 이제부터 나와 친하게 지내자
도착 곳 국립박물관 ? > ",목적지는 국립 박물관인가요?
"지갑 실종 잃어버리다 ? > 지갑을 분실하셨나요?
가다 빨리 ? > ",빨리 가드릴까요?
"언덕 저기 곳 다음 내리다 > 언덕 지나서 내려주세요.
지름길 내리다 가다 > ",지름길로 가주세요.
"오다 언제 ? > 언제 와?
언덕 저기 곳 다음 차내리다 ? > ",언덕 지나서 내려드릴까요?
"생각 무엇 ? > 무슨 생각해?
우회전 확인 맞다 ? > ",우회전 맞으시죠?
"편의점 곳 어디 ? > 편의점은 어디에 있습니까?
엘리베이터 안되다 사용 불가능 > ",엘리베이터가 안되네요.
"곳 바꾸다 ? > 목적지를 변경하시겠습니까?
응급실 가다 > ",응급실로 가주세요.
"접근 도착 되다 > 다와갑니다.
친하다 애인 가능 > ",친한 친구는 애인이 될 수도 있다
"은행 저기 곳 다음 ? > 은행 지나서 내려드릴까요?
약 곳 ? > ",약국은 어디에 있나요?
"때리다 미안 > 때려서 미안해
지하철 안 냄새 > ",객실에서 불쾌한 냄새가 납니다.
"반지 찾다 실종 > 반지를 분실하였습니다.
은행 다음 여기 ? > ",은행 지나서 내려드릴까요?
"보건소 곳 다음 차내리다 ? > 보건소 지나서 내려드릴까요?
카드 사용 불가능 안되다 > ",카드 인식이 안되네요.
"우산 실종 > 우산을 분실하였습니다.
신호등 다음 도착 내리다 ? > ",신호등 지나서 내려드릴까요?
"차 뒤 트렁크열다 ? > 트렁크 좀 열어드릴까요?
아이 찾다 실종 ? > ",아이를 잃어버리셨나요?
"경찰 저기 곳 다음 차내리다 > 경찰서 지나서 내려주세요.
2호 > ",2호선입니다.
"엉덩이 트렁크열다 > 트렁크 좀 열어주세요.
빨리 > ",빨리 가주세요.
"다르다 > 다르다
지하철 곳 다음 도착 내리다 > ",지하철역 지나서 내려주세요.
"저기 방 안에 사람 있다 > 저방에 사람이 있어
돈 > ",현금입니다.
"표 사다 ? > 승차권을 구입하셨나요?
확인 중 > ",확인 중입니다.
"서울역 가다 내리다 > 서울역으로 가주세요.
시간 급하다 > ",제가 많이 급합니다.
"병원 저기 다음 도착 내리다 > 병원 지나서 내려주세요.
지름길 차내리다 가다 ? > ",지름길로 갈까요?
"어렵다 > 어렵다
버스 곳 차내리다 맞다 > ",버스정류장에서 내려주세요.
"천안아산역 차내리다 > 천안아산역으로 가주세요.
미안 > ",미안
"명동 가다 ? > 명동역으로 갈까요?
지하철 곳 다음 내리다 > ",지하철역 지나서 내려주세요.
"지금 맞다 ? > 지금 내려드릴까요?
육교 곳 다음 도착 차내리다 > ",육교 지나서 내려주세요.
"차밀리다 심하다 ? > 차가 막히나요?
오른쪽 ? > ",오른쪽이요?
"항상 ? > 늘 그런가요?
만원 ? > ",만원인가요?
"공항 가다 차내리다 ? > 김포공항으로 갈까요?
주차 미리 돈주다 가능 ? > ",주차요금을 정산할 수 있나요?
"시청 차내리다 ? > 시청에서 내려드릴까요?
경찰 저기 곳 다음 도착 내리다 > ",경찰서 지나서 내려주세요.
"은행 저기 곳 다음 > 은행 지나서 내려주세요.
지하철 계단 번호 ? > ",몇 번 출구인가요?
"인생 대하여 생각 > 인생에 대하여 생각하다
둘 성격 원인 헤어지다 > ",두 사람은 성격차이로 헤어졌다
"낯선 밖다 걷다 > 밖에 모르는 사람이 서성거려요.
타다 ? > ",탈까요?
"버스 곳 저기 다음 곳 > 버스정류장 지나서 내려주세요.
지하철 타다 > ",지하철을 타다
"나 대하여 소문 무엇 궁금하다 > 나에 대한 소문이 궁금하다
유턴 맞다 > ",유턴 맞습니다.
"누가 바다 빠지다 헤엄치다 > 어떤 사람이 바다에 빠졌어요.
다시 만나다 기쁘다 > ",다시 만나게 되어 정말 기쁘다
"건너다 차내리다 오케이 > 건너편에서 내려주세요.
약속 늦다 ? > ",약속시간에 늦으셨나요?
