gloss,spoken
군인 나라 지키다 위하다 목숨 맡기다,군인들은 생명을 다해 조국을 지켰다
궁금 있다 묻다 부탁,궁금하신 사항을 수어로 물어봐 주세요.
궁금 있다 묻다 부탁,궁금하신 내역을 수어로 물어봐 주세요.
남자 만나다 싫다,그 사나이를 만나기 싫어
남자 만나다 싫다,그 남성를 만나기 싫어
지금 까지 놀다 오늘 일 시작,그 새 놀았으니 다시 일을 시작해야겠다
지금 까지 놀다 오늘 일 시작,그 사이 놀았으니 다시 일을 시작해야겠다
지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 작업을 시작해야겠다
지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 노동을 시작해야겠다
지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 근무를 시작해야겠다
지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 근로을 시작해야겠다
지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 일을 착수해야겠다
지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 일을 개시해야겠다
지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 일을 거행해야겠다
지금 끝 수고 많다,그 사이 수고가 많으셨습니다
지금 끝 수고 많다,그 동안 노고가 많으셨습니다
돈 많다 하루 갚다 가능 불가능,그 많은 금전을 하루만에 갚는건 불가능해
학생 공부 하다 아니다 놀다 뿐,그 어린애는 공부를 하지 않고 놀기만 한다
학생 공부 하다 아니다 놀다 뿐,그 어린아이는 공부를 하지 않고 놀기만 한다
학생 공부 하다 아니다 놀다 뿐,그 아동은 공부를 하지 않고 놀기만 한다
학생 공부 하다 아니다 놀다 뿐,그 애는 공부를 하지 않고 놀기만 한다
학생 공부 하다 아니다 놀다 뿐,그 어린이는 공부를 하지 않고 놀기만 한다
여자 마음 좋다 돌보다 노력,그 여인는 마음이 좋으니깐 친절히 돌봐줄거야
여자 마음 좋다 돌보다 노력,그 여성는 마음이 좋으니깐 친절히 돌봐줄거야
여자 마음 좋다 돌보다 노력,그 여자는 심정이 좋으니깐 친절히 돌봐줄거야
저기 일 하다 싫다,그 작업은 하기 싫어
저기 일 하다 싫다,그 노동은 하기 싫어
저기 일 하다 싫다,그 근무는 하기 싫어
학생 동생 돌보다 모습 어른 같다,그 학생은 조숙해서 동생을 돌보는 품이 어르신같다
학생 동생 돌보다 모습 어른 같다,그 학생은 조숙해서 동생을 돌보는 품이 성인같다
여자 나 친하다 친구,그녀는 나와 아주 친한 동무야
여자 나 친하다 친구,그녀는 나와 아주 친한 벗야
여자 남편 없다 혼자 자녀 3 키우다,그녀는 남편없이 스스로 세 자녀를 키워냈다
여자 아기 자다 얼굴 보다 행복 미소,그녀는 잠든 어린애의 얼굴을 보고 행복한 미소를 지었다
여자 아기 자다 얼굴 보다 행복 미소,그녀는 잠든 어린아이의 얼굴을 보고 행복한 미소를 지었다
여자 아기 자다 얼굴 보다 행복 미소,그녀는 잠든 아동의 얼굴을 보고 행복한 미소를 지었다
여자 아기 자다 얼굴 보다 행복 미소,그녀는 잠든 애의 얼굴을 보고 행복한 미소를 지었다
여자 아기 자다 얼굴 보다 행복 미소,그녀는 잠든 어린이의 얼굴을 보고 행복한 미소를 지었다
남자 생각 마지막 대답,그는 오랜 사고끝에 대답했다
남자 생각 궁금 물어보다,그의 의식은 어떤지 물어보았다
남자 생각 궁금 물어보다,그의 신경은 어떤지 물어보았다
남자 생각 궁금 물어보다,그의 견해는 어떤지 물어보았다
남자 생각 궁금 물어보다,그의 의견은 어떤지 물어보았다
남자 생각 궁금 물어보다,그의 의사는 어떤지 물어보았다
버스 곳 가깝다 ?,인근에 버스 정류장이 있나요?
버스 곳 가깝다 ?,근방에 버스 정류장이 있나요?
버스 곳 가깝다 ?,부근에 버스 정류장이 있나요?
버스 곳 가깝다 ?,근처에 버스 정류소이 있나요?
버스 곳 가깝다 ?,근처에 버스 승차장이 있나요?
버스 곳 가깝다 ?,근처에 버스 정거장이 있나요?
버스 곳 가깝다,인근에 버스 정류장이 있습니다.
버스 곳 가깝다,근방에 버스 정류장이 있습니다.
버스 곳 가깝다,부근에 버스 정류장이 있습니다.
버스 곳 가깝다,근처에 버스 정류소이 있습니다.
버스 곳 가깝다,근처에 버스 승차장이 있습니다.
버스 곳 가깝다,근처에 버스 정거장이 있습니다.
약 가깝다 ?,인근에 약국이 있나요?
약 가깝다 ?,근방에 약국이 있나요?
약 가깝다 ?,부근에 약국이 있나요?
약 가깝다,인근에 약국이 있습니다.
약 가깝다,근방에 약국이 있습니다.
약 가깝다,부근에 약국이 있습니다.
주변 건물 붕괴,인근에 있는 건물이 붕괴되고 있어요.
주변 건물 붕괴,근방에 있는 건물이 붕괴되고 있어요.
주변 건물 붕괴,부근에 있는 건물이 붕괴되고 있어요.
택시 곳 가깝다 ?,인근에 택시 승강장이 있나요?
택시 곳 가깝다 ?,근방에 택시 승강장이 있나요?
택시 곳 가깝다 ?,부근에 택시 승강장이 있나요?
택시 곳 가깝다,인근에 택시 승강장이 있습니다.
택시 곳 가깝다,근방에 택시 승강장이 있습니다.
택시 곳 가깝다,부근에 택시 승강장이 있습니다.
주변 폭탄,인근에서 폭탄이 터졌어요.
주변 폭탄,근방에서 폭탄이 터졌어요.
주변 폭탄,부근에서 폭탄이 터졌어요.
물 강 빠르다 서다 넘어지다,급류에 동무가 휩쓸렸어요.
가방 비행기 안 가지다 무게 한계 몇 ?,기내 수하물의 무게 제한는 몇 Kg인가요?
가방 비행기 안 가지다 무게 최고 가능 몇 ?,기내 수하물의 무게 제한는 몇 Kg인가요?
끝 먹다 가다,종료되고 밥 먹으러 가자
끝 먹다 가다,종결되고 밥 먹으러 가자
끝 무엇 하다,종료되면 뭐하지
끝 무엇 하다,종결나면 뭐하지
끝,종결났습니다.
나 짐 많다 돕다본인 가능,나 보따리가 많은데 도와줄 수 있어
나 너 다르다,나는 자네와 다르다
나 너 싫다,나는 너가 싫어
나 너 싫다,나는 자네가 싫어
나 오랜만 오빠 만나다 기쁘다,나는 오래간만에 오빠를 만나서 기뻤다
나 할머니 돌아가다 슬프다,나는 할머니의 사망이 한없이 슬펐다
나무 이용 만들다 집 벌레 많다,나무로 만든 주택은 벌레가 많다
나무 이용 만들다 집 벌레 많다,나무로 만든 가옥은 벌레가 많다
나 -보다 일 잘하다 질투,나보다 작업 잘하시니깐 질투가 난다
나 너 포기 불가능,난 자네를 포기할 수 없어
나 너 너무 좋다,난 너가 너무 좋아
나 너 너무 좋다,난 자네가 너무 좋아
다르다 사람 믿다 속다,남의 언어을 믿다가 뒤통수를 맞았다
다르다 사람 믿다 속다,남의 서술을 믿다가 뒤통수를 맞았다
남자 여자 운전 방법 가르치다 주다,사나이는 여자에게 운전을 가르쳤다
남자 여자 운전 방법 가르치다 주다,남성는 여자에게 운전을 가르쳤다
남자 여자 운전 방법 가르치다 주다,남자는 부녀자에게 운전을 가르쳤다
남자 여자 운전 방법 가르치다 주다,남자는 계집에게 운전을 가르쳤다
남자 여자 운전 방법 가르치다 주다,남자는 여인에게 운전을 가르쳤다
남자 여자 운전 방법 가르치다 주다,남자는 여성에게 운전을 가르쳤다
남자 아기 1 가르치다 10 이해 가능,남자어린애는 하나를 가르치면 열을 알았다
남자 아기 1 가르치다 10 이해 가능,남자어린아이는 하나를 가르치면 열을 알았다
남자 아기 1 가르치다 10 이해 가능,남자애는 하나를 가르치면 열을 알았다
남자 아기 1 가르치다 10 이해 가능,남자어린이는 하나를 가르치면 열을 알았다
나 삶 불행,내 생활은 불행하다
보다 부족 답답하다,나 자신이 부족해서 한심했다
친구 딸 낳다,내 동무가 딸을 낳았어
친구 오다 반갑다 만나다 부탁,내 동무가 오는데 반갑게 맞이해줘
나 너 -보다 키크다,내가 자네보다 더 커
너 -보다 나 더 예쁘다,내가 자네보다 이뻐
저 방 갇히다,제가 방에 갇혔어요.
싫다 무엇 야채,내가 싫어하는 음식은 채소다
나 가능 일 무엇,제가 할 수 있는 일이 뭐가 있을까
나 가능 일 무엇,내가 할 수 있는 작업이 뭐가 있을까
나 가능 일 무엇,내가 할 수 있는 노동이 뭐가 있을까
내리다 시간 알려주다 ?,내릴 경우 알려드릴까요?
내리다 시간 알려주다 ?,내릴 시기 알려드릴까요?
내리다 시간 알려받다,내릴 경우 알려주세요.
내리다 시간 알려받다,내릴 시기 알려주세요.
너 저기 남자 친하다 ?,자네 그 남자와 친해?
너 저기 남자 친하다 ?,너 그 사나이와 친해?
너 저기 남자 친하다 ?,너 그 남성과 친해?
너 때문에 못하다,자네 때문에 못했잖아
너 계속 반복 데려가다 안하다,자네 자꾸 이러면 안 데리고 갈거다
너 나 피 귀잡다 같다,자네랑 나는 혈액형이 똑같다
너 위하다 준비 끝,자네를 위해 준비했어
너 위하다 준비 끝,너를 위해 채비했어
너 위하다 준비 끝,너를 위해 장만했어
너 위하다 준비 끝,너를 위해 마련했어
너무 춥다 옷 두껍다 입다,너무 추워서 의복을 두껍게 입었다
너무 춥다 옷 두껍다 입다,너무 추워서 의상을 두껍게 입었다
너 -보다 여자 더 마르다,자네보다 그 여자가 더 말랐어
너 -보다 여자 더 마르다,너보다 그 부녀자가 더 말랐어
너 -보다 여자 더 마르다,너보다 그 여성이 더 말랐어
나 너 비교 나 빠르다,자네보다 내가 더 빨라
너 마음 궁금,네 사고가 궁금해
너 마음 궁금,네 견해가 궁금해
너 마음 궁금,네 의견이 궁금해
너 마음 궁금,네 의사가 궁금해
너 오다 그렇다면 감사,너가 와주면 고맙겠구나
너 오다 그렇다면 감사,자네가 와주면 고맙겠구나
놀다 원하다 많다 놀다,놀고 싶을경우 실컷 놀아라
누나 동생 심부름 시키다 시장 보내다,누나가 동생을 장에 심부름을 보냈다
누나 동생 심부름 시키다 시장 보내다,누나가 동생을 매점에 심부름을 보냈다
담배 몸 나쁘다,담배는 기력에 나쁘다
도착 ?,당도했나요?
도착,당도했습니다.
나 돈 때문에 걱정 -중,돈 때문에 염려가 많아
나 돈 때문에 걱정 -중,돈 때문에 근심이 많아
둘 성격 원인 헤어지다,두 인간은 성격차이로 헤어졌다
둘 성격 원인 헤어지다,두 분은 성격차이로 헤어졌다
차 빌리다 어디 곳 ?,렌트카를 빌리는 위치은 어디에 있습니까?
차 빌리다 곳 어디 ?,렌트카를 빌리는 위치은 어디에 있습니까?
차 빌리다 어디 ?,렌트카를 빌리는 위치은 어디에 있습니까?
차 빌리다 곳 ?,렌트카를 빌리는 위치은 어디에 있습니까?
차 빌리다 어디 곳 ?,렌트카를 빌리는 장소는 어디에 있습니까?
차 빌리다 곳 어디 ?,렌트카를 빌리는 장소는 어디에 있습니까?
차 빌리다 어디 ?,렌트카를 빌리는 장소는 어디에 있습니까?
차 빌리다 곳 ?,렌트카를 빌리는 장소는 어디에 있습니까?
충분하다,충족합니다.
충분하다,풍부합니다.
충분하다,충분합니다.
맡다 일 완료 끝,맡은 의무을 거뜬히 해낸다
맡다 일 완료 끝,맡은 직분을 거뜬히 해낸다
맡다 일 완료 끝,맡은 업무을 거뜬히 해낸다
맡다 일 완료 끝,맡은 기능을 거뜬히 해낸다
맡다 일 완료 끝,맡은 임무을 거뜬히 해낸다
맡다 일 완료 끝,맡은 직무을 거뜬히 해낸다
맡다 일 완료 끝,맡은 구실을 거뜬히 해낸다
매일 살다 여전히 지겹다,매일 반복되는 매일이 지겹다
매일 살다 여전히 지겹다,매일 반복되는 나날이 지겹다
멀리 오다 수고 많다,먼길 오느라 노고 많았어
다음 몇분 ?,몇 분 뒤에 다음 역에 당도할까요?
도착 가능 몇분 ?,몇 분 뒤에 당도할까요?
모두 일 쉽다 아니다,모든 작업이 쉽게 이루어지지 않는다
모두 일 쉽다 아니다,모든 노동이 쉽게 이루어지지 않는다
음성 작다 안들리다,목청이 작아서 잘 안들린다
음성 작다 안들리다,음성이 작아서 잘 안들린다
몸 힘들다 빨리 가다 쉬다,신체도 불편한데 일찍 가서 쉬십시오
몸 병 뜨겁다 머리 진통,신체에 열이 많이 나고 두통이 심해요.
몸 괜찮다  ?,신체는 괜찮아?
몸 힘들다 마음 편하다,몸뚱이는 힘들지만 마음을 편하다
몸 힘들다 마음 편하다,신체는 힘들지만 마음을 편하다
몸 힘들다 마음 편하다,몸은 힘들지만 심정을 편하다
몸 움직이다 몸 마르다 가능,몸뚱이을 자주 움직여야 살이 빠진다
몸 움직이다 몸 마르다 가능,신체를 자주 움직여야 살이 빠진다
몸 손묶다 갇히다,몸뚱이가 결박 당해있어요.
몸 손묶다 갇히다,신체가 결박 당해있어요.
몸 아프다 원인 모두 귀찮다,몸뚱이가 아파서 다 귀찮다
몸 아프다 원인 모두 귀찮다,신체가 아파서 다 귀찮다
몸 병 아프다,몸뚱이가 아프다
몸 병 아프다,신체가 아프다
무섭다 이야기 하지마 제발,무서운 이야기는 제발 그만둬요
생각 무엇,무슨 사고해
문 몸 끼다,문에 신체가 끼었어요.
미래 위해 미리 준비 필요하다,향후를 위해 준비해야 한다
미래 위해 미리 준비 필요하다,장래를 위해 준비해야 한다
미래 위해 미리 준비 필요하다,앞날을 위해 준비해야 한다
미래 위해 미리 준비 필요하다,다음을 위해 준비해야 한다
미래 위해 미리 준비 필요하다,미래를 위해 채비해야 한다
미래 위해 미리 준비 필요하다,미래를 위해 장만해야 한다
미래 위해 미리 준비 필요하다,미래를 위해 마련해야 한다
낯선 밖다 걷다,밖에 모르는 인간이 서성거려요.
낯선 밖다 걷다,밖에 모르는 분이 서성거려요.
밖 불 119 부르다 부탁,밖에 불길이 났어요. 소방차를 불길러주세요.
밖 싸움 경찰 부르다 부탁,밖에 싸움이 났어요. 순경을 불러주세요.
밖 춥다 나오다 하지마 집 계시다,밖은 추우니 나오지 말고 댁에 있어
지하철 반대 건너다 가다,반대편 정류소로 가려고 합니다.
지하철 반대 건너다 가다,반대편 정류장으로 가려고 합니다.
지하철 반대 건너다 가다,반대편 정거장으로 가려고 합니다.
지하철 반대 건너다 방법 ?,반대편 정류소로 어떻게 갈 수 있나요?
지하철 반대 건너다 방법 ?,반대편 정류장으로 어떻게 갈 수 있나요?
지하철 반대 건너다 방법 ?,반대편 정거장으로 어떻게 갈 수 있나요?
배우다 했었다 겸손,배운 인간이 더 겸손하다
버스 전 저기 곳 저기,버스정류소 못가서 내려주세요.
버스 전 곳 저기 내리다,버스정류소 못가서 내려주세요.
버스 전 곳 저기 차내리다,버스정류소 못가서 내려주세요.
버스 전 곳 저기 도착 내리다,버스정류소 못가서 내려주세요.
버스 전 곳 저기 도착 차내리다,버스정류소 못가서 내려주세요.
버스 곳 전 보다 내리다,버스정류소 못가서 내려주세요.
버스 곳 전 보다 차내리다,버스정류소 못가서 내려주세요.
버스 전 곳 보다 내리다,버스정류소 못가서 내려주세요.
버스 전 곳 보다 차내리다,버스정류소 못가서 내려주세요.
버스 곳 전 보다 도착 내리다,버스정류소 못가서 내려주세요.
버스 전 저기 곳 저기,버스승차장 못가서 내려주세요.
버스 전 곳 저기 내리다,버스승차장 못가서 내려주세요.
버스 전 곳 저기 차내리다,버스승차장 못가서 내려주세요.
버스 전 곳 저기 도착 내리다,버스승차장 못가서 내려주세요.
버스 전 곳 저기 도착 차내리다,버스승차장 못가서 내려주세요.
버스 곳 전 보다 내리다,버스승차장 못가서 내려주세요.
버스 곳 전 보다 차내리다,버스승차장 못가서 내려주세요.
버스 전 곳 보다 내리다,버스승차장 못가서 내려주세요.
버스 전 곳 보다 차내리다,버스승차장 못가서 내려주세요.
버스 곳 전 보다 도착 내리다,버스승차장 못가서 내려주세요.
버스 전 저기 곳 저기,버스정거장 못가서 내려주세요.
버스 전 곳 저기 내리다,버스정거장 못가서 내려주세요.
버스 전 곳 저기 차내리다,버스정거장 못가서 내려주세요.
버스 전 곳 저기 도착 내리다,버스정거장 못가서 내려주세요.
버스 전 곳 저기 도착 차내리다,버스정거장 못가서 내려주세요.
버스 곳 전 보다 내리다,버스정거장 못가서 내려주세요.
버스 곳 전 보다 차내리다,버스정거장 못가서 내려주세요.
버스 전 곳 보다 내리다,버스정거장 못가서 내려주세요.
버스 전 곳 보다 차내리다,버스정거장 못가서 내려주세요.
버스 곳 전 보다 도착 내리다,버스정거장 못가서 내려주세요.
버스 곳 다음 여기 ?,버스정류소 지나서 내려드릴까요?
버스 곳 다음 내리다 ?,버스정류소 지나서 내려드릴까요?
버스 곳 다음 차내리다 ?,버스정류소 지나서 내려드릴까요?
버스 곳 저기 다음 곳 ?,버스정류소 지나서 내려드릴까요?
버스 곳 저기 다음 도착 내리다 ?,버스정류소 지나서 내려드릴까요?
버스 곳 저기 다음 도착 차내리다 ?,버스정류소 지나서 내려드릴까요?
버스 곳 다음 여기 ?,버스승차장 지나서 내려드릴까요?
버스 곳 다음 내리다 ?,버스승차장 지나서 내려드릴까요?
버스 곳 다음 차내리다 ?,버스승차장 지나서 내려드릴까요?
버스 곳 저기 다음 곳 ?,버스승차장 지나서 내려드릴까요?
버스 곳 저기 다음 도착 내리다 ?,버스승차장 지나서 내려드릴까요?
버스 곳 저기 다음 도착 차내리다 ?,버스승차장 지나서 내려드릴까요?
버스 곳 다음 여기 ?,버스정거장 지나서 내려드릴까요?
버스 곳 다음 내리다 ?,버스정거장 지나서 내려드릴까요?
버스 곳 다음 차내리다 ?,버스정거장 지나서 내려드릴까요?
버스 곳 저기 다음 곳 ?,버스정거장 지나서 내려드릴까요?
버스 곳 저기 다음 도착 내리다 ?,버스정거장 지나서 내려드릴까요?
버스 곳 저기 다음 도착 차내리다 ?,버스정거장 지나서 내려드릴까요?
버스 곳 다음 여기,버스정류소 지나서 내려주세요.
버스 곳 다음 내리다,버스정류소 지나서 내려주세요.
버스 곳 다음 차내리다,버스정류소 지나서 내려주세요.
버스 곳 저기 다음 곳,버스정류소 지나서 내려주세요.
버스 곳 저기 다음 도착 내리다,버스정류소 지나서 내려주세요.
버스 곳 저기 다음 도착 차내리다,버스정류소 지나서 내려주세요.
버스 곳 다음 여기,버스승차장 지나서 내려주세요.
버스 곳 다음 내리다,버스승차장 지나서 내려주세요.
버스 곳 다음 차내리다,버스승차장 지나서 내려주세요.
버스 곳 저기 다음 곳,버스승차장 지나서 내려주세요.
버스 곳 저기 다음 도착 내리다,버스승차장 지나서 내려주세요.
버스 곳 저기 다음 도착 차내리다,버스승차장 지나서 내려주세요.
버스 곳 다음 여기,버스정거장 지나서 내려주세요.
버스 곳 다음 내리다,버스정거장 지나서 내려주세요.
버스 곳 다음 차내리다,버스정거장 지나서 내려주세요.
버스 곳 저기 다음 곳,버스정거장 지나서 내려주세요.
버스 곳 저기 다음 도착 내리다,버스정거장 지나서 내려주세요.
버스 곳 저기 다음 도착 차내리다,버스정거장 지나서 내려주세요.
버스 곳 맞다 ?,버스정류소에서 내려드릴까요?
버스 곳 내리다 맞다 ?,버스정류소에서 내려드릴까요?
버스 곳 차내리다 맞다 ?,버스정류소에서 내려드릴까요?
버스 곳 맞다 ?,버스승차장에서 내려드릴까요?
버스 곳 내리다 맞다 ?,버스승차장에서 내려드릴까요?
버스 곳 차내리다 맞다 ?,버스승차장에서 내려드릴까요?
버스 곳 맞다 ?,버스정거장에서 내려드릴까요?
버스 곳 내리다 맞다 ?,버스정거장에서 내려드릴까요?
버스 곳 차내리다 맞다 ?,버스정거장에서 내려드릴까요?
버스 곳 맞다,버스정류소에서 내려주세요.
버스 곳 내리다 맞다,버스정류소에서 내려주세요.
버스 곳 차내리다 맞다,버스정류소에서 내려주세요.
버스 곳 맞다,버스승차장에서 내려주세요.
버스 곳 내리다 맞다,버스승차장에서 내려주세요.
버스 곳 차내리다 맞다,버스승차장에서 내려주세요.
버스 곳 맞다,버스정거장에서 내려주세요.
버스 곳 내리다 맞다,버스정거장에서 내려주세요.
버스 곳 차내리다 맞다,버스정거장에서 내려주세요.
버스 타다 곳곳 ?,버스정류소이 어디에 있나요?
버스 타다 곳곳 ?,버스승차장이 어디에 있나요?
버스 타다 곳곳 ?,버스정거장이 어디에 있나요?
부탁본인 일 있다 나 먼저 가다,청한 일이 있어서 먼저 갈게
부탁본인 일 있다 나 먼저 가다,청탁한 일이 있어서 먼저 갈게
부탁본인 일 있다 나 먼저 가다,당부한 일이 있어서 먼저 갈게
부탁본인 일 있다 나 먼저 가다,요청한 일이 있어서 먼저 갈게
부탁본인 일 있다 나 먼저 가다,요구한 일이 있어서 먼저 갈게
부탁본인 일 있다 나 먼저 가다,부탁한 작업이 있어서 먼저 갈게
부탁상대방 괜찮다,청해도 될까
부탁상대방 괜찮다,당부해도 될까
부탁상대방 괜찮다,요청해도 될까
불가능 변하다 가능,불가능한 작업은 없다
불행 기억 잊다 새롭다 시작,불행했던 기억은 잊고 다시 착수해봅시다
불행 기억 잊다 새롭다 시작,불행했던 기억은 잊고 다시 출발해봅시다
불행 기억 잊다 새롭다 시작,불행했던 기억은 잊고 다시 거행해봅시다
비행기 추락,항공기가 추락하고 있어요.
사거리 전 버스 곳 차내리다,사거리 전 버스정류소 앞에 세워주세요.
사거리 전 버스 곳 차내리다,사거리 전 버스승차장 앞에 세워주세요.
사거리 전 버스 곳 차내리다,사거리 전 버스정거장 앞에 세워주세요.
사람 각각 성격 다르다,사람들은 각각 성질이 다르다
사람 각각 성격 다르다,사람들은 각각 성미가 다르다
사람 혼자 살다 불가능,인간은 혼자서 살 수 없다
누가 갑자기 쓰러지다,인간이 갑자기 쓰러졌어요.
사람 물건 무겁다 깔리다,인간이 무거운 물건에 깔렸어요.
사랑 사람 잊다 쉽다 어렵다,사랑했던 인간을 잊는건 어렵다
