,gloss,spoken,combined
130,남자 생각 궁금 물어보다,그의 견해는 어떤지 물어보았다,남자 생각 궁금 물어보다그의 견해는 어떤지 물어보았다
131,남자 생각 궁금 물어보다,그의 의견은 어떤지 물어보았다,남자 생각 궁금 물어보다그의 의견은 어떤지 물어보았다
132,남자 생각 궁금 물어보다,그의 의사는 어떤지 물어보았다,남자 생각 궁금 물어보다그의 의사는 어떤지 물어보았다
133,버스 곳 가깝다,인근에 버스 정류장이 있나요?,버스 곳 가깝다인근에 버스 정류장이 있나요?
134,버스 곳 가깝다,근방에 버스 정류장이 있나요?,버스 곳 가깝다근방에 버스 정류장이 있나요?
135,버스 곳 가깝다,부근에 버스 정류장이 있나요?,버스 곳 가깝다부근에 버스 정류장이 있나요?
136,버스 곳 가깝다,근처에 버스 정류소이 있나요?,버스 곳 가깝다근처에 버스 정류소이 있나요?
137,버스 곳 가깝다,근처에 버스 승차장이 있나요?,버스 곳 가깝다근처에 버스 승차장이 있나요?
138,버스 곳 가깝다,근처에 버스 정거장이 있나요?,버스 곳 가깝다근처에 버스 정거장이 있나요?
139,버스 곳 가깝다,인근에 버스 정류장이 있습니다.,버스 곳 가깝다인근에 버스 정류장이 있습니다.
140,버스 곳 가깝다,근방에 버스 정류장이 있습니다.,버스 곳 가깝다근방에 버스 정류장이 있습니다.
141,버스 곳 가깝다,부근에 버스 정류장이 있습니다.,버스 곳 가깝다부근에 버스 정류장이 있습니다.
142,버스 곳 가깝다,근처에 버스 정류소이 있습니다.,버스 곳 가깝다근처에 버스 정류소이 있습니다.
143,버스 곳 가깝다,근처에 버스 승차장이 있습니다.,버스 곳 가깝다근처에 버스 승차장이 있습니다.
144,버스 곳 가깝다,근처에 버스 정거장이 있습니다.,버스 곳 가깝다근처에 버스 정거장이 있습니다.
145,약 가깝다,인근에 약국이 있나요?,약 가깝다인근에 약국이 있나요?
146,약 가깝다,근방에 약국이 있나요?,약 가깝다근방에 약국이 있나요?
147,약 가깝다,부근에 약국이 있나요?,약 가깝다부근에 약국이 있나요?
148,약 가깝다,인근에 약국이 있습니다.,약 가깝다인근에 약국이 있습니다.
149,약 가깝다,근방에 약국이 있습니다.,약 가깝다근방에 약국이 있습니다.
150,약 가깝다,부근에 약국이 있습니다.,약 가깝다부근에 약국이 있습니다.
151,주변 건물 붕괴,인근에 있는 건물이 붕괴되고 있어요.,주변 건물 붕괴인근에 있는 건물이 붕괴되고 있어요.
152,주변 건물 붕괴,근방에 있는 건물이 붕괴되고 있어요.,주변 건물 붕괴근방에 있는 건물이 붕괴되고 있어요.
153,주변 건물 붕괴,부근에 있는 건물이 붕괴되고 있어요.,주변 건물 붕괴부근에 있는 건물이 붕괴되고 있어요.
154,택시 곳 가깝다,인근에 택시 승강장이 있나요?,택시 곳 가깝다인근에 택시 승강장이 있나요?
155,택시 곳 가깝다,근방에 택시 승강장이 있나요?,택시 곳 가깝다근방에 택시 승강장이 있나요?
156,택시 곳 가깝다,부근에 택시 승강장이 있나요?,택시 곳 가깝다부근에 택시 승강장이 있나요?
157,택시 곳 가깝다,인근에 택시 승강장이 있습니다.,택시 곳 가깝다인근에 택시 승강장이 있습니다.
158,택시 곳 가깝다,근방에 택시 승강장이 있습니다.,택시 곳 가깝다근방에 택시 승강장이 있습니다.
159,택시 곳 가깝다,부근에 택시 승강장이 있습니다.,택시 곳 가깝다부근에 택시 승강장이 있습니다.
160,주변 폭탄,인근에서 폭탄이 터졌어요.,주변 폭탄인근에서 폭탄이 터졌어요.
161,주변 폭탄,근방에서 폭탄이 터졌어요.,주변 폭탄근방에서 폭탄이 터졌어요.
162,주변 폭탄,부근에서 폭탄이 터졌어요.,주변 폭탄부근에서 폭탄이 터졌어요.
163,물 강 빠르다 서다 넘어지다 ,급류에 동무가 휩쓸렸어요.,물 강 빠르다 서다 넘어지다 급류에 동무가 휩쓸렸어요.
166,끝 먹다 가다,종료되고 밥 먹으러 가자,끝 먹다 가다종료되고 밥 먹으러 가자
167,끝 먹다 가다,종결되고 밥 먹으러 가자,끝 먹다 가다종결되고 밥 먹으러 가자
168,끝 무엇 하다,종료되면 뭐하지,끝 무엇 하다종료되면 뭐하지
169,끝 무엇 하다,종결나면 뭐하지,끝 무엇 하다종결나면 뭐하지
170,끝,종결났습니다.,끝종결났습니다.
172,나 너 다르다,나는 자네와 다르다,나 너 다르다나는 자네와 다르다
173,나 너 싫다,나는 너가 싫어,나 너 싫다나는 너가 싫어
174,나 너 싫다,나는 자네가 싫어,나 너 싫다나는 자네가 싫어
180,나 너 포기 불가능,난 자네를 포기할 수 없어,나 너 포기 불가능난 자네를 포기할 수 없어
181,나 너 너무 좋다,난 너가 너무 좋아,나 너 너무 좋다난 너가 너무 좋아
182,나 너 너무 좋다,난 자네가 너무 좋아,나 너 너무 좋다난 자네가 너무 좋아
183,다르다 사람 믿다 속다,남의 언어을 믿다가 뒤통수를 맞았다,다르다 사람 믿다 속다남의 언어을 믿다가 뒤통수를 맞았다
184,다르다 사람 믿다 속다,남의 서술을 믿다가 뒤통수를 맞았다,다르다 사람 믿다 속다남의 서술을 믿다가 뒤통수를 맞았다
195,나 삶 불행,내 생활은 불행하다,나 삶 불행내 생활은 불행하다
196,보다 부족 답답하다,나 자신이 부족해서 한심했다,보다 부족 답답하다나 자신이 부족해서 한심했다
197,친구 딸 낳다,내 동무가 딸을 낳았어,친구 딸 낳다내 동무가 딸을 낳았어
199,나 너 -보다 키크다,내가 자네보다 더 커,나 너 -보다 키크다내가 자네보다 더 커
200,너 -보다 나 더 예쁘다,내가 자네보다 이뻐,너 -보다 나 더 예쁘다내가 자네보다 이뻐
201,저 방 갇히다,제가 방에 갇혔어요.,저 방 갇히다제가 방에 갇혔어요.
202,싫다 무엇 야채,내가 싫어하는 음식은 채소다,싫다 무엇 야채내가 싫어하는 음식은 채소다
203,나 가능 일 무엇,제가 할 수 있는 일이 뭐가 있을까,나 가능 일 무엇제가 할 수 있는 일이 뭐가 있을까
204,나 가능 일 무엇,내가 할 수 있는 작업이 뭐가 있을까,나 가능 일 무엇내가 할 수 있는 작업이 뭐가 있을까
205,나 가능 일 무엇,내가 할 수 있는 노동이 뭐가 있을까,나 가능 일 무엇내가 할 수 있는 노동이 뭐가 있을까
206,내리다 시간 알려주다,내릴 경우 알려드릴까요?,내리다 시간 알려주다내릴 경우 알려드릴까요?
207,내리다 시간 알려주다,내릴 시기 알려드릴까요?,내리다 시간 알려주다내릴 시기 알려드릴까요?
208,내리다 시간 알려받다,내릴 경우 알려주세요.,내리다 시간 알려받다내릴 경우 알려주세요.
209,내리다 시간 알려받다,내릴 시기 알려주세요.,내리다 시간 알려받다내릴 시기 알려주세요.
210,너 저기 남자 친하다,자네 그 남자와 친해?,너 저기 남자 친하다자네 그 남자와 친해?
211,너 저기 남자 친하다,너 그 사나이와 친해?,너 저기 남자 친하다너 그 사나이와 친해?
212,너 저기 남자 친하다,너 그 남성과 친해?,너 저기 남자 친하다너 그 남성과 친해?
213,너 때문에 못하다,자네 때문에 못했잖아,너 때문에 못하다자네 때문에 못했잖아
215,너 나 피 귀잡다 같다,자네랑 나는 혈액형이 똑같다,너 나 피 귀잡다 같다자네랑 나는 혈액형이 똑같다
216,너 위하다 준비 끝,자네를 위해 준비했어,너 위하다 준비 끝자네를 위해 준비했어
217,너 위하다 준비 끝,너를 위해 채비했어,너 위하다 준비 끝너를 위해 채비했어
218,너 위하다 준비 끝,너를 위해 장만했어,너 위하다 준비 끝너를 위해 장만했어
219,너 위하다 준비 끝,너를 위해 마련했어,너 위하다 준비 끝너를 위해 마련했어
222,너 -보다 여자 더 마르다,자네보다 그 여자가 더 말랐어,너 -보다 여자 더 마르다자네보다 그 여자가 더 말랐어
223,너 -보다 여자 더 마르다,너보다 그 부녀자가 더 말랐어,너 -보다 여자 더 마르다너보다 그 부녀자가 더 말랐어
224,너 -보다 여자 더 마르다,너보다 그 여성이 더 말랐어,너 -보다 여자 더 마르다너보다 그 여성이 더 말랐어
225,나 너 비교 나 빠르다,자네보다 내가 더 빨라,나 너 비교 나 빠르다자네보다 내가 더 빨라
226,너 마음 궁금,네 사고가 궁금해,너 마음 궁금네 사고가 궁금해
227,너 마음 궁금,네 견해가 궁금해,너 마음 궁금네 견해가 궁금해
228,너 마음 궁금,네 의견이 궁금해,너 마음 궁금네 의견이 궁금해
229,너 마음 궁금,네 의사가 궁금해,너 마음 궁금네 의사가 궁금해
230,너 오다 그렇다면 감사,너가 와주면 고맙겠구나,너 오다 그렇다면 감사너가 와주면 고맙겠구나
231,너 오다 그렇다면 감사,자네가 와주면 고맙겠구나,너 오다 그렇다면 감사자네가 와주면 고맙겠구나
232,놀다 원하다 많다 놀다,놀고 싶을경우 실컷 놀아라,놀다 원하다 많다 놀다놀고 싶을경우 실컷 놀아라
235,담배 몸 나쁘다,담배는 기력에 나쁘다,담배 몸 나쁘다담배는 기력에 나쁘다
236,도착,당도했나요?,도착당도했나요?
237,도착,당도했습니다.,도착당도했습니다.
238,나 돈 때문에 걱정 -중,돈 때문에 염려가 많아,나 돈 때문에 걱정 -중돈 때문에 염려가 많아
239,나 돈 때문에 걱정 -중,돈 때문에 근심이 많아,나 돈 때문에 걱정 -중돈 때문에 근심이 많아
240,둘 성격 원인 헤어지다,두 인간은 성격차이로 헤어졌다,둘 성격 원인 헤어지다두 인간은 성격차이로 헤어졌다
241,둘 성격 원인 헤어지다,두 분은 성격차이로 헤어졌다,둘 성격 원인 헤어지다두 분은 성격차이로 헤어졌다
244,차 빌리다 어디,렌트카를 빌리는 위치은 어디에 있습니까?,차 빌리다 어디렌트카를 빌리는 위치은 어디에 있습니까?
245,차 빌리다 곳,렌트카를 빌리는 위치은 어디에 있습니까?,차 빌리다 곳렌트카를 빌리는 위치은 어디에 있습니까?
248,차 빌리다 어디,렌트카를 빌리는 장소는 어디에 있습니까?,차 빌리다 어디렌트카를 빌리는 장소는 어디에 있습니까?
249,차 빌리다 곳,렌트카를 빌리는 장소는 어디에 있습니까?,차 빌리다 곳렌트카를 빌리는 장소는 어디에 있습니까?
250,충분하다,충족합니다.,충분하다충족합니다.
251,충분하다,풍부합니다.,충분하다풍부합니다.
252,충분하다,충분합니다.,충분하다충분합니다.
253,맡다 일 완료 끝,맡은 의무을 거뜬히 해낸다,맡다 일 완료 끝맡은 의무을 거뜬히 해낸다
254,맡다 일 완료 끝,맡은 직분을 거뜬히 해낸다,맡다 일 완료 끝맡은 직분을 거뜬히 해낸다
255,맡다 일 완료 끝,맡은 업무을 거뜬히 해낸다,맡다 일 완료 끝맡은 업무을 거뜬히 해낸다
256,맡다 일 완료 끝,맡은 기능을 거뜬히 해낸다,맡다 일 완료 끝맡은 기능을 거뜬히 해낸다
257,맡다 일 완료 끝,맡은 임무을 거뜬히 해낸다,맡다 일 완료 끝맡은 임무을 거뜬히 해낸다
258,맡다 일 완료 끝,맡은 직무을 거뜬히 해낸다,맡다 일 완료 끝맡은 직무을 거뜬히 해낸다
259,맡다 일 완료 끝,맡은 구실을 거뜬히 해낸다,맡다 일 완료 끝맡은 구실을 거뜬히 해낸다
260,매일 살다 여전히 지겹다,매일 반복되는 매일이 지겹다,매일 살다 여전히 지겹다매일 반복되는 매일이 지겹다
261,매일 살다 여전히 지겹다,매일 반복되는 나날이 지겹다,매일 살다 여전히 지겹다매일 반복되는 나날이 지겹다
262,멀리 오다 수고 많다,먼길 오느라 노고 많았어,멀리 오다 수고 많다먼길 오느라 노고 많았어
263,다음 몇분,몇 분 뒤에 다음 역에 당도할까요?,다음 몇분몇 분 뒤에 다음 역에 당도할까요?
264,도착 가능 몇분,몇 분 뒤에 당도할까요?,도착 가능 몇분몇 분 뒤에 당도할까요?
265,모두 일 쉽다 아니다,모든 작업이 쉽게 이루어지지 않는다,모두 일 쉽다 아니다모든 작업이 쉽게 이루어지지 않는다
266,모두 일 쉽다 아니다,모든 노동이 쉽게 이루어지지 않는다,모두 일 쉽다 아니다모든 노동이 쉽게 이루어지지 않는다
267,음성 작다 안들리다,목청이 작아서 잘 안들린다,음성 작다 안들리다목청이 작아서 잘 안들린다
268,음성 작다 안들리다,음성이 작아서 잘 안들린다,음성 작다 안들리다음성이 작아서 잘 안들린다
271,몸 괜찮다 ?,신체는 괜찮아?,몸 괜찮다 ?신체는 괜찮아?
272,몸 힘들다 마음 편하다,몸뚱이는 힘들지만 마음을 편하다,몸 힘들다 마음 편하다몸뚱이는 힘들지만 마음을 편하다
273,몸 힘들다 마음 편하다,신체는 힘들지만 마음을 편하다,몸 힘들다 마음 편하다신체는 힘들지만 마음을 편하다
274,몸 힘들다 마음 편하다,몸은 힘들지만 심정을 편하다,몸 힘들다 마음 편하다몸은 힘들지만 심정을 편하다
277,몸 손묶다 갇히다,몸뚱이가 결박 당해있어요.,몸 손묶다 갇히다몸뚱이가 결박 당해있어요.
278,몸 손묶다 갇히다,신체가 결박 당해있어요.,몸 손묶다 갇히다신체가 결박 당해있어요.
279,몸 아프다 원인 모두 귀찮다,몸뚱이가 아파서 다 귀찮다,몸 아프다 원인 모두 귀찮다몸뚱이가 아파서 다 귀찮다
280,몸 아프다 원인 모두 귀찮다,신체가 아파서 다 귀찮다,몸 아프다 원인 모두 귀찮다신체가 아파서 다 귀찮다
281,몸 병 아프다,몸뚱이가 아프다,몸 병 아프다몸뚱이가 아프다
282,몸 병 아프다,신체가 아프다,몸 병 아프다신체가 아프다
283,무섭다 이야기 하지마 제발,무서운 이야기는 제발 그만둬요,무섭다 이야기 하지마 제발무서운 이야기는 제발 그만둬요
284,생각 무엇,무슨 사고해,생각 무엇무슨 사고해
285,문 몸 끼다,문에 신체가 끼었어요.,문 몸 끼다문에 신체가 끼었어요.
286,미래 위해 미리 준비 필요하다,향후를 위해 준비해야 한다,미래 위해 미리 준비 필요하다향후를 위해 준비해야 한다
287,미래 위해 미리 준비 필요하다,장래를 위해 준비해야 한다,미래 위해 미리 준비 필요하다장래를 위해 준비해야 한다
288,미래 위해 미리 준비 필요하다,앞날을 위해 준비해야 한다,미래 위해 미리 준비 필요하다앞날을 위해 준비해야 한다
289,미래 위해 미리 준비 필요하다,다음을 위해 준비해야 한다,미래 위해 미리 준비 필요하다다음을 위해 준비해야 한다
290,미래 위해 미리 준비 필요하다,미래를 위해 채비해야 한다,미래 위해 미리 준비 필요하다미래를 위해 채비해야 한다
291,미래 위해 미리 준비 필요하다,미래를 위해 장만해야 한다,미래 위해 미리 준비 필요하다미래를 위해 장만해야 한다
292,미래 위해 미리 준비 필요하다,미래를 위해 마련해야 한다,미래 위해 미리 준비 필요하다미래를 위해 마련해야 한다
293,낯선 밖다 걷다,밖에 모르는 인간이 서성거려요.,낯선 밖다 걷다밖에 모르는 인간이 서성거려요.
294,낯선 밖다 걷다,밖에 모르는 분이 서성거려요.,낯선 밖다 걷다밖에 모르는 분이 서성거려요.
298,지하철 반대 건너다 가다,반대편 정류소로 가려고 합니다.,지하철 반대 건너다 가다반대편 정류소로 가려고 합니다.
299,지하철 반대 건너다 가다,반대편 정류장으로 가려고 합니다.,지하철 반대 건너다 가다반대편 정류장으로 가려고 합니다.
300,지하철 반대 건너다 가다,반대편 정거장으로 가려고 합니다.,지하철 반대 건너다 가다반대편 정거장으로 가려고 합니다.
304,배우다 했었다 겸손,배운 인간이 더 겸손하다,배우다 했었다 겸손배운 인간이 더 겸손하다
305,버스 전 저기 곳 저기,버스정류소 못가서 내려주세요.,버스 전 저기 곳 저기버스정류소 못가서 내려주세요.
306,버스 전 곳 저기 내리다,버스정류소 못가서 내려주세요.,버스 전 곳 저기 내리다버스정류소 못가서 내려주세요.
307,버스 전 곳 저기 차내리다,버스정류소 못가서 내려주세요.,버스 전 곳 저기 차내리다버스정류소 못가서 내려주세요.
310,버스 곳 전 보다 내리다,버스정류소 못가서 내려주세요.,버스 곳 전 보다 내리다버스정류소 못가서 내려주세요.
311,버스 곳 전 보다 차내리다,버스정류소 못가서 내려주세요.,버스 곳 전 보다 차내리다버스정류소 못가서 내려주세요.
312,버스 전 곳 보다 내리다,버스정류소 못가서 내려주세요.,버스 전 곳 보다 내리다버스정류소 못가서 내려주세요.
313,버스 전 곳 보다 차내리다,버스정류소 못가서 내려주세요.,버스 전 곳 보다 차내리다버스정류소 못가서 내려주세요.
315,버스 전 저기 곳 저기,버스승차장 못가서 내려주세요.,버스 전 저기 곳 저기버스승차장 못가서 내려주세요.
316,버스 전 곳 저기 내리다,버스승차장 못가서 내려주세요.,버스 전 곳 저기 내리다버스승차장 못가서 내려주세요.
317,버스 전 곳 저기 차내리다,버스승차장 못가서 내려주세요.,버스 전 곳 저기 차내리다버스승차장 못가서 내려주세요.
320,버스 곳 전 보다 내리다,버스승차장 못가서 내려주세요.,버스 곳 전 보다 내리다버스승차장 못가서 내려주세요.
321,버스 곳 전 보다 차내리다,버스승차장 못가서 내려주세요.,버스 곳 전 보다 차내리다버스승차장 못가서 내려주세요.
322,버스 전 곳 보다 내리다,버스승차장 못가서 내려주세요.,버스 전 곳 보다 내리다버스승차장 못가서 내려주세요.
323,버스 전 곳 보다 차내리다,버스승차장 못가서 내려주세요.,버스 전 곳 보다 차내리다버스승차장 못가서 내려주세요.
325,버스 전 저기 곳 저기,버스정거장 못가서 내려주세요.,버스 전 저기 곳 저기버스정거장 못가서 내려주세요.
326,버스 전 곳 저기 내리다,버스정거장 못가서 내려주세요.,버스 전 곳 저기 내리다버스정거장 못가서 내려주세요.
327,버스 전 곳 저기 차내리다,버스정거장 못가서 내려주세요.,버스 전 곳 저기 차내리다버스정거장 못가서 내려주세요.
330,버스 곳 전 보다 내리다,버스정거장 못가서 내려주세요.,버스 곳 전 보다 내리다버스정거장 못가서 내려주세요.
331,버스 곳 전 보다 차내리다,버스정거장 못가서 내려주세요.,버스 곳 전 보다 차내리다버스정거장 못가서 내려주세요.
332,버스 전 곳 보다 내리다,버스정거장 못가서 내려주세요.,버스 전 곳 보다 내리다버스정거장 못가서 내려주세요.
333,버스 전 곳 보다 차내리다,버스정거장 못가서 내려주세요.,버스 전 곳 보다 차내리다버스정거장 못가서 내려주세요.
335,버스 곳 다음 여기,버스정류소 지나서 내려드릴까요?,버스 곳 다음 여기버스정류소 지나서 내려드릴까요?
336,버스 곳 다음 내리다,버스정류소 지나서 내려드릴까요?,버스 곳 다음 내리다버스정류소 지나서 내려드릴까요?
337,버스 곳 다음 차내리다,버스정류소 지나서 내려드릴까요?,버스 곳 다음 차내리다버스정류소 지나서 내려드릴까요?
338,버스 곳 저기 다음 곳,버스정류소 지나서 내려드릴까요?,버스 곳 저기 다음 곳버스정류소 지나서 내려드릴까요?
341,버스 곳 다음 여기,버스승차장 지나서 내려드릴까요?,버스 곳 다음 여기버스승차장 지나서 내려드릴까요?
342,버스 곳 다음 내리다,버스승차장 지나서 내려드릴까요?,버스 곳 다음 내리다버스승차장 지나서 내려드릴까요?
343,버스 곳 다음 차내리다,버스승차장 지나서 내려드릴까요?,버스 곳 다음 차내리다버스승차장 지나서 내려드릴까요?
344,버스 곳 저기 다음 곳,버스승차장 지나서 내려드릴까요?,버스 곳 저기 다음 곳버스승차장 지나서 내려드릴까요?
347,버스 곳 다음 여기,버스정거장 지나서 내려드릴까요?,버스 곳 다음 여기버스정거장 지나서 내려드릴까요?
348,버스 곳 다음 내리다,버스정거장 지나서 내려드릴까요?,버스 곳 다음 내리다버스정거장 지나서 내려드릴까요?
349,버스 곳 다음 차내리다,버스정거장 지나서 내려드릴까요?,버스 곳 다음 차내리다버스정거장 지나서 내려드릴까요?
350,버스 곳 저기 다음 곳,버스정거장 지나서 내려드릴까요?,버스 곳 저기 다음 곳버스정거장 지나서 내려드릴까요?
353,버스 곳 다음 여기,버스정류소 지나서 내려주세요.,버스 곳 다음 여기버스정류소 지나서 내려주세요.
354,버스 곳 다음 내리다,버스정류소 지나서 내려주세요.,버스 곳 다음 내리다버스정류소 지나서 내려주세요.
355,버스 곳 다음 차내리다,버스정류소 지나서 내려주세요.,버스 곳 다음 차내리다버스정류소 지나서 내려주세요.
356,버스 곳 저기 다음 곳,버스정류소 지나서 내려주세요.,버스 곳 저기 다음 곳버스정류소 지나서 내려주세요.
359,버스 곳 다음 여기,버스승차장 지나서 내려주세요.,버스 곳 다음 여기버스승차장 지나서 내려주세요.
360,버스 곳 다음 내리다,버스승차장 지나서 내려주세요.,버스 곳 다음 내리다버스승차장 지나서 내려주세요.
361,버스 곳 다음 차내리다,버스승차장 지나서 내려주세요.,버스 곳 다음 차내리다버스승차장 지나서 내려주세요.
362,버스 곳 저기 다음 곳,버스승차장 지나서 내려주세요.,버스 곳 저기 다음 곳버스승차장 지나서 내려주세요.
365,버스 곳 다음 여기,버스정거장 지나서 내려주세요.,버스 곳 다음 여기버스정거장 지나서 내려주세요.
366,버스 곳 다음 내리다,버스정거장 지나서 내려주세요.,버스 곳 다음 내리다버스정거장 지나서 내려주세요.
367,버스 곳 다음 차내리다,버스정거장 지나서 내려주세요.,버스 곳 다음 차내리다버스정거장 지나서 내려주세요.
368,버스 곳 저기 다음 곳,버스정거장 지나서 내려주세요.,버스 곳 저기 다음 곳버스정거장 지나서 내려주세요.
371,버스 곳 맞다,버스정류소에서 내려드릴까요?,버스 곳 맞다버스정류소에서 내려드릴까요?
372,버스 곳 내리다 맞다,버스정류소에서 내려드릴까요?,버스 곳 내리다 맞다버스정류소에서 내려드릴까요?
373,버스 곳 차내리다 맞다,버스정류소에서 내려드릴까요?,버스 곳 차내리다 맞다버스정류소에서 내려드릴까요?
374,버스 곳 맞다,버스승차장에서 내려드릴까요?,버스 곳 맞다버스승차장에서 내려드릴까요?
375,버스 곳 내리다 맞다,버스승차장에서 내려드릴까요?,버스 곳 내리다 맞다버스승차장에서 내려드릴까요?
376,버스 곳 차내리다 맞다,버스승차장에서 내려드릴까요?,버스 곳 차내리다 맞다버스승차장에서 내려드릴까요?
377,버스 곳 맞다,버스정거장에서 내려드릴까요?,버스 곳 맞다버스정거장에서 내려드릴까요?
378,버스 곳 내리다 맞다,버스정거장에서 내려드릴까요?,버스 곳 내리다 맞다버스정거장에서 내려드릴까요?
379,버스 곳 차내리다 맞다,버스정거장에서 내려드릴까요?,버스 곳 차내리다 맞다버스정거장에서 내려드릴까요?
380,버스 곳 맞다,버스정류소에서 내려주세요.,버스 곳 맞다버스정류소에서 내려주세요.
381,버스 곳 내리다 맞다,버스정류소에서 내려주세요.,버스 곳 내리다 맞다버스정류소에서 내려주세요.
382,버스 곳 차내리다 맞다,버스정류소에서 내려주세요.,버스 곳 차내리다 맞다버스정류소에서 내려주세요.
383,버스 곳 맞다,버스승차장에서 내려주세요.,버스 곳 맞다버스승차장에서 내려주세요.
384,버스 곳 내리다 맞다,버스승차장에서 내려주세요.,버스 곳 내리다 맞다버스승차장에서 내려주세요.
385,버스 곳 차내리다 맞다,버스승차장에서 내려주세요.,버스 곳 차내리다 맞다버스승차장에서 내려주세요.
386,버스 곳 맞다,버스정거장에서 내려주세요.,버스 곳 맞다버스정거장에서 내려주세요.
387,버스 곳 내리다 맞다,버스정거장에서 내려주세요.,버스 곳 내리다 맞다버스정거장에서 내려주세요.
